BIN_10.genome.CDS.2129,group01144
BIN_10.genome.CDS.1660,group00924
BIN_10.genome.CDS.1579,group04107
BIN_10.genome.CDS.1997,group00780
BIN_10.genome.CDS.1524,group00405
BIN_10.genome.CDS.1336,group01025
BIN_10.genome.CDS.165,group04074
BIN_10.genome.CDS.818,group04136
BIN_10.genome.CDS.1298,group00582
BIN_10.genome.CDS.1562,group00503
BIN_10.genome.CDS.1740,group00109
BIN_10.genome.CDS.1299,group04081
BIN_10.genome.CDS.472,group00108
BIN_10.genome.CDS.473,group02654
BIN_10.genome.CDS.1469,group02631
BIN_10.genome.CDS.1468,group00486
BIN_10.genome.CDS.1465,group00263
BIN_10.genome.CDS.1464,group00773
BIN_10.genome.CDS.1467,group00390
BIN_10.genome.CDS.1466,group01048
BIN_10.genome.CDS.1461,group00912
BIN_10.genome.CDS.1460,group04100
BIN_10.genome.CDS.1463,group01217
BIN_10.genome.CDS.1462,group00756
BIN_10.genome.CDS.1502,group01668
BIN_10.genome.CDS.68,group00432
BIN_10.genome.CDS.1500,group01324
BIN_10.genome.CDS.1501,group01143
BIN_10.genome.CDS.1506,group00768
BIN_10.genome.CDS.1918,group00250
BIN_10.genome.CDS.1504,group01185
BIN_10.genome.CDS.1505,group00714
BIN_10.genome.CDS.1263,group00533
BIN_10.genome.CDS.1262,group00533
BIN_10.genome.CDS.1261,group00532
BIN_10.genome.CDS.1916,group00160
BIN_10.genome.CDS.1267,group01238
BIN_10.genome.CDS.1910,group00379
BIN_10.genome.CDS.1265,group02141
BIN_10.genome.CDS.1264,group00105
BIN_10.genome.CDS.1861,group00537
BIN_10.genome.CDS.1860,group01003
BIN_10.genome.CDS.1863,group01512
BIN_10.genome.CDS.1862,group00539
BIN_10.genome.CDS.1865,group01108
BIN_10.genome.CDS.1864,group01319
BIN_10.genome.CDS.1867,group00862
BIN_10.genome.CDS.1866,group00383
BIN_10.genome.CDS.1869,group04130
BIN_10.genome.CDS.1748,group00013
BIN_10.genome.CDS.2086,group00047
BIN_10.genome.CDS.2087,group04156
BIN_10.genome.CDS.2085,group00068
BIN_10.genome.CDS.2082,group00291
BIN_10.genome.CDS.2083,group00080
BIN_10.genome.CDS.2080,group01741
BIN_10.genome.CDS.2081,group00491
BIN_10.genome.CDS.573,group00337
BIN_10.genome.CDS.1207,group00067
BIN_10.genome.CDS.2088,group00100
BIN_10.genome.CDS.2089,group00099
BIN_10.genome.CDS.1609,group00975
BIN_10.genome.CDS.1608,group00879
BIN_10.genome.CDS.683,group04124
BIN_10.genome.CDS.1218,group00579
BIN_10.genome.CDS.1219,group00596
BIN_10.genome.CDS.1216,group00569
BIN_10.genome.CDS.1600,group00002
BIN_10.genome.CDS.1603,group00445
BIN_10.genome.CDS.1602,group00268
BIN_10.genome.CDS.1212,group01888
BIN_10.genome.CDS.1213,group02012
BIN_10.genome.CDS.1607,group00461
BIN_10.genome.CDS.1606,group00492
BIN_10.genome.CDS.46,group00833
BIN_10.genome.CDS.44,group01137
BIN_10.genome.CDS.1692,group01631
BIN_10.genome.CDS.1693,group01365
BIN_10.genome.CDS.1690,group00938
BIN_10.genome.CDS.1691,group00228
BIN_10.genome.CDS.1696,group01669
BIN_10.genome.CDS.1697,group01494
BIN_10.genome.CDS.1694,group02638
BIN_10.genome.CDS.1695,group02639
BIN_10.genome.CDS.1698,group04117
BIN_10.genome.CDS.1699,group04116
BIN_10.genome.CDS.1599,group00215
BIN_10.genome.CDS.1598,group00057
BIN_10.genome.CDS.373,group00691
BIN_10.genome.CDS.270,group00805
BIN_10.genome.CDS.628,group04118
BIN_10.genome.CDS.1593,group02352
BIN_10.genome.CDS.1592,group00750
BIN_10.genome.CDS.1595,group00905
BIN_10.genome.CDS.1594,group00226
BIN_10.genome.CDS.1597,group00060
BIN_10.genome.CDS.1596,group00152
BIN_10.genome.CDS.1735,group00110
BIN_10.genome.CDS.1734,group00120
BIN_10.genome.CDS.1737,group00336
BIN_10.genome.CDS.1736,group00040
BIN_10.genome.CDS.1731,group00166
BIN_10.genome.CDS.1730,group00294
BIN_10.genome.CDS.1045,group00222
BIN_10.genome.CDS.1732,group00125
BIN_10.genome.CDS.1739,group00772
BIN_10.genome.CDS.1738,group00601
BIN_10.genome.CDS.1766,group00281
BIN_10.genome.CDS.2149,group00880
BIN_10.genome.CDS.2148,group00441
BIN_10.genome.CDS.2143,group00079
BIN_10.genome.CDS.2142,group00353
BIN_10.genome.CDS.2141,group00804
BIN_10.genome.CDS.2146,group00332
BIN_10.genome.CDS.2145,group00360
BIN_10.genome.CDS.1491,group00304
BIN_10.genome.CDS.1889,group00814
BIN_10.genome.CDS.978,group04155
BIN_10.genome.CDS.415,group00234
BIN_10.genome.CDS.207,group04082
BIN_10.genome.CDS.1888,group00232
BIN_10.genome.CDS.1372,group00715
BIN_10.genome.CDS.1285,group00075
BIN_10.genome.CDS.1284,group04075
BIN_10.genome.CDS.1287,group00164
BIN_10.genome.CDS.1286,group04080
BIN_10.genome.CDS.1281,group00705
BIN_10.genome.CDS.1282,group00705
BIN_10.genome.CDS.1322,group00669
BIN_10.genome.CDS.194,group00156
BIN_10.genome.CDS.1320,group01608
BIN_10.genome.CDS.1321,group00800
BIN_10.genome.CDS.1326,group00148
BIN_10.genome.CDS.1288,group00195
BIN_10.genome.CDS.1324,group00198
BIN_10.genome.CDS.1325,group00419
BIN_10.genome.CDS.1193,group00071
BIN_10.genome.CDS.1209,group00939
BIN_10.genome.CDS.2138,group01111
BIN_10.genome.CDS.2139,group00481
BIN_10.genome.CDS.2136,group00695
BIN_10.genome.CDS.1883,group00625
BIN_10.genome.CDS.2134,group00416
BIN_10.genome.CDS.2135,group00721
BIN_10.genome.CDS.2132,group00802
BIN_10.genome.CDS.2133,group01067
BIN_10.genome.CDS.2130,group00421
BIN_10.genome.CDS.1882,group00624
BIN_10.genome.CDS.2037,group00218
BIN_10.genome.CDS.2036,group01315
BIN_10.genome.CDS.2035,group01096
BIN_10.genome.CDS.2034,group01246
BIN_10.genome.CDS.2033,group01223
BIN_10.genome.CDS.1881,group00231
BIN_10.genome.CDS.2031,group00728
BIN_10.genome.CDS.2030,group00770
BIN_10.genome.CDS.2117,group00076
BIN_10.genome.CDS.2039,group00607
BIN_10.genome.CDS.2038,group00218
BIN_10.genome.CDS.107,group00271
BIN_10.genome.CDS.2144,group00130
BIN_10.genome.CDS.1765,group01017
BIN_10.genome.CDS.1399,group00642
BIN_10.genome.CDS.1641,group00112
BIN_10.genome.CDS.1398,group01409
BIN_10.genome.CDS.1139,group00858
BIN_10.genome.CDS.1138,group00313
BIN_10.genome.CDS.1137,group00659
BIN_10.genome.CDS.1136,group00314
BIN_10.genome.CDS.1135,group00293
BIN_10.genome.CDS.1134,group00144
BIN_10.genome.CDS.1133,group00377
BIN_10.genome.CDS.1132,group00498
BIN_10.genome.CDS.1131,group00599
BIN_10.genome.CDS.1130,group00719
BIN_10.genome.CDS.539,group01110
BIN_10.genome.CDS.2056,group00507
BIN_10.genome.CDS.531,group04110
BIN_10.genome.CDS.1421,group00467
BIN_10.genome.CDS.1420,group01070
BIN_10.genome.CDS.1423,group00745
BIN_10.genome.CDS.1422,group00746
BIN_10.genome.CDS.1425,group00678
BIN_10.genome.CDS.1424,group00952
BIN_10.genome.CDS.1427,group00577
BIN_10.genome.CDS.1426,group02132
BIN_10.genome.CDS.1810,group00007
BIN_10.genome.CDS.1428,group00199
BIN_10.genome.CDS.1812,group00614
BIN_10.genome.CDS.1813,group00116
BIN_10.genome.CDS.1815,group04125
BIN_10.genome.CDS.1816,group04126
BIN_10.genome.CDS.1817,group00182
BIN_10.genome.CDS.1390,group00193
BIN_10.genome.CDS.1483,group00588
BIN_10.genome.CDS.1123,group00488
BIN_10.genome.CDS.1868,group00942
BIN_10.genome.CDS.1494,group00530
BIN_10.genome.CDS.1495,group02632
BIN_10.genome.CDS.1496,group01473
BIN_10.genome.CDS.1497,group01130
BIN_10.genome.CDS.1559,group00929
BIN_10.genome.CDS.1558,group00396
BIN_10.genome.CDS.1492,group00422
BIN_10.genome.CDS.1493,group00530
BIN_10.genome.CDS.1555,group00135
BIN_10.genome.CDS.1886,group00161
BIN_10.genome.CDS.1557,group00978
BIN_10.genome.CDS.1556,group01028
BIN_10.genome.CDS.1498,group01166
BIN_10.genome.CDS.1499,group01353
BIN_10.genome.CDS.1553,group00827
BIN_10.genome.CDS.1552,group00003
BIN_10.genome.CDS.1252,group00826
BIN_10.genome.CDS.1253,group01091
BIN_10.genome.CDS.1250,group00458
BIN_10.genome.CDS.1251,group00887
BIN_10.genome.CDS.1257,group00243
BIN_10.genome.CDS.1254,group00088
BIN_10.genome.CDS.1255,group00908
BIN_10.genome.CDS.1393,group00084
BIN_10.genome.CDS.1392,group00086
BIN_10.genome.CDS.1391,group00188
BIN_10.genome.CDS.1259,group00468
BIN_10.genome.CDS.1397,group04095
BIN_10.genome.CDS.1396,group00205
BIN_10.genome.CDS.1395,group00627
BIN_10.genome.CDS.1394,group00356
BIN_10.genome.CDS.1951,group00687
BIN_10.genome.CDS.1950,group02098
BIN_10.genome.CDS.1953,group00167
BIN_10.genome.CDS.1952,group02355
BIN_10.genome.CDS.1955,group02017
BIN_10.genome.CDS.1954,group02356
BIN_10.genome.CDS.1957,group01974
BIN_10.genome.CDS.1956,group01798
BIN_10.genome.CDS.1959,group00690
BIN_10.genome.CDS.1958,group00614
BIN_10.genome.CDS.1269,group04072
BIN_10.genome.CDS.1268,group00401
BIN_10.genome.CDS.1223,group00521
BIN_10.genome.CDS.1745,group00192
BIN_10.genome.CDS.1507,group00961
BIN_10.genome.CDS.1670,group00442
BIN_10.genome.CDS.1778,group00795
BIN_10.genome.CDS.1672,group00979
BIN_10.genome.CDS.1673,group00176
BIN_10.genome.CDS.1674,group00784
BIN_10.genome.CDS.1675,group00730
BIN_10.genome.CDS.1676,group00052
BIN_10.genome.CDS.1677,group00590
BIN_10.genome.CDS.1678,group02015
BIN_10.genome.CDS.1770,group00216
BIN_10.genome.CDS.1773,group01269
BIN_10.genome.CDS.1772,group00578
BIN_10.genome.CDS.1775,group01589
BIN_10.genome.CDS.1774,group00015
BIN_10.genome.CDS.1777,group00795
BIN_10.genome.CDS.15,group04103
BIN_10.genome.CDS.1915,group00159
BIN_10.genome.CDS.1914,group00134
BIN_10.genome.CDS.1508,group00931
BIN_10.genome.CDS.527,group02358
BIN_10.genome.CDS.82,group00117
BIN_10.genome.CDS.1509,group00930
BIN_10.genome.CDS.1456,group01083
BIN_10.genome.CDS.2070,group00217
BIN_10.genome.CDS.329,group00023
BIN_10.genome.CDS.1911,group00392
BIN_10.genome.CDS.1523,group00031
BIN_10.genome.CDS.1266,group00230
BIN_10.genome.CDS.715,group04127
BIN_10.genome.CDS.1913,group04133
BIN_10.genome.CDS.1912,group00275
BIN_10.genome.CDS.1173,group00283
BIN_10.genome.CDS.1172,group00283
BIN_10.genome.CDS.2137,group00406
BIN_10.genome.CDS.1170,group00597
BIN_10.genome.CDS.1177,group00554
BIN_10.genome.CDS.1176,group00693
BIN_10.genome.CDS.1175,group01183
BIN_10.genome.CDS.1174,group04153
BIN_10.genome.CDS.1179,group00223
BIN_10.genome.CDS.1178,group00241
BIN_10.genome.CDS.2172,group00892
BIN_10.genome.CDS.2173,group00444
BIN_10.genome.CDS.2170,group00227
BIN_10.genome.CDS.2078,group01316
BIN_10.genome.CDS.2176,group00063
BIN_10.genome.CDS.2177,group00082
BIN_10.genome.CDS.2174,group00882
BIN_10.genome.CDS.2175,group00048
BIN_10.genome.CDS.2073,group00333
BIN_10.genome.CDS.819,group04135
BIN_10.genome.CDS.2178,group00150
BIN_10.genome.CDS.2179,group00129
BIN_10.genome.CDS.2077,group01410
BIN_10.genome.CDS.2076,group01320
BIN_10.genome.CDS.2075,group01387
BIN_10.genome.CDS.2074,group00050
BIN_10.genome.CDS.663,group04119
BIN_10.genome.CDS.149,group00321
BIN_10.genome.CDS.666,group01122
BIN_10.genome.CDS.889,group04144
BIN_10.genome.CDS.668,group01210
BIN_10.genome.CDS.1430,group01271
BIN_10.genome.CDS.1375,group04094
BIN_10.genome.CDS.1374,group01120
BIN_10.genome.CDS.1377,group01815
BIN_10.genome.CDS.1431,group01020
BIN_10.genome.CDS.1371,group00764
BIN_10.genome.CDS.1370,group00824
BIN_10.genome.CDS.1373,group04093
BIN_10.genome.CDS.675,group00282
BIN_10.genome.CDS.1436,group00303
BIN_10.genome.CDS.1379,group00300
BIN_10.genome.CDS.1378,group00194
BIN_10.genome.CDS.1828,group00711
BIN_10.genome.CDS.1779,group00605
BIN_10.genome.CDS.861,group04140
BIN_10.genome.CDS.2008,group00352
BIN_10.genome.CDS.2009,group00479
BIN_10.genome.CDS.2006,group00877
BIN_10.genome.CDS.2007,group00903
BIN_10.genome.CDS.2004,group00904
BIN_10.genome.CDS.2005,group00972
BIN_10.genome.CDS.2002,group00430
BIN_10.genome.CDS.2003,group01121
BIN_10.genome.CDS.2000,group01071
BIN_10.genome.CDS.2001,group01097
BIN_10.genome.CDS.1533,group00783
BIN_10.genome.CDS.1824,group00324
BIN_10.genome.CDS.1438,group00944
BIN_10.genome.CDS.1826,group00685
BIN_10.genome.CDS.1341,group01107
BIN_10.genome.CDS.1821,group00714
BIN_10.genome.CDS.175,group04078
BIN_10.genome.CDS.1820,group00452
BIN_10.genome.CDS.1490,group00344
BIN_10.genome.CDS.1771,group00114
BIN_10.genome.CDS.1823,group00563
BIN_10.genome.CDS.1679,group04113
BIN_10.genome.CDS.1534,group00210
BIN_10.genome.CDS.1108,group00014
BIN_10.genome.CDS.1109,group01218
BIN_10.genome.CDS.1458,group01008
BIN_10.genome.CDS.1459,group00676
BIN_10.genome.CDS.1554,group01039
BIN_10.genome.CDS.1451,group00179
BIN_10.genome.CDS.1452,group00180
BIN_10.genome.CDS.1453,group00238
BIN_10.genome.CDS.1454,group00913
BIN_10.genome.CDS.1455,group01021
BIN_10.genome.CDS.2220,group00014
BIN_10.genome.CDS.1457,group00835
BIN_10.genome.CDS.1511,group00538
BIN_10.genome.CDS.1929,group00449
BIN_10.genome.CDS.1513,group01139
BIN_10.genome.CDS.1512,group00727
BIN_10.genome.CDS.1515,group01101
BIN_10.genome.CDS.1514,group02142
BIN_10.genome.CDS.1517,group00646
BIN_10.genome.CDS.1516,group01768
BIN_10.genome.CDS.1519,group04104
BIN_10.genome.CDS.1921,group00949
BIN_10.genome.CDS.1922,group00245
BIN_10.genome.CDS.1642,group00524
BIN_10.genome.CDS.1924,group02144
BIN_10.genome.CDS.1926,group00437
BIN_10.genome.CDS.1927,group00348
BIN_10.genome.CDS.1858,group00201
BIN_10.genome.CDS.1859,group00628
BIN_10.genome.CDS.1854,group01042
BIN_10.genome.CDS.1855,group02642
BIN_10.genome.CDS.1856,group00478
BIN_10.genome.CDS.1857,group00572
BIN_10.genome.CDS.1850,group00229
BIN_10.genome.CDS.1851,group00806
BIN_10.genome.CDS.1852,group00123
BIN_10.genome.CDS.1853,group00948
BIN_10.genome.CDS.2095,group00717
BIN_10.genome.CDS.2094,group00239
BIN_10.genome.CDS.2097,group00744
BIN_10.genome.CDS.2096,group00839
BIN_10.genome.CDS.2091,group00566
BIN_10.genome.CDS.2090,group00700
BIN_10.genome.CDS.2093,group00271
BIN_10.genome.CDS.2092,group00675
BIN_10.genome.CDS.2099,group04158
BIN_10.genome.CDS.2098,group00474
BIN_10.genome.CDS.691,group04123
BIN_10.genome.CDS.696,group04121
BIN_10.genome.CDS.1208,group01262
BIN_10.genome.CDS.1205,group00163
BIN_10.genome.CDS.1204,group04152
BIN_10.genome.CDS.698,group01059
BIN_10.genome.CDS.1206,group00190
BIN_10.genome.CDS.1201,group01351
BIN_10.genome.CDS.1200,group01309
BIN_10.genome.CDS.1203,group01592
BIN_10.genome.CDS.1202,group01648
BIN_10.genome.CDS.1635,group04111
BIN_10.genome.CDS.1636,group02635
BIN_10.genome.CDS.1637,group00049
BIN_10.genome.CDS.1630,group00822
BIN_10.genome.CDS.1631,group00763
BIN_10.genome.CDS.1632,group00662
BIN_10.genome.CDS.1633,group01590
BIN_10.genome.CDS.1638,group00541
BIN_10.genome.CDS.1639,group00540
BIN_10.genome.CDS.56,group04146
BIN_10.genome.CDS.1681,group01030
BIN_10.genome.CDS.1680,group00613
BIN_10.genome.CDS.1683,group01816
BIN_10.genome.CDS.1685,group00729
BIN_10.genome.CDS.1684,group02143
BIN_10.genome.CDS.1687,group00792
BIN_10.genome.CDS.1686,group00037
BIN_10.genome.CDS.1689,group00073
BIN_10.genome.CDS.1688,group00643
BIN_10.genome.CDS.595,group04114
BIN_10.genome.CDS.1601,group00564
BIN_10.genome.CDS.1217,group04071
BIN_10.genome.CDS.368,group00397
BIN_10.genome.CDS.1214,group01310
BIN_10.genome.CDS.1550,group00487
BIN_10.genome.CDS.1700,group04115
BIN_10.genome.CDS.1701,group01383
BIN_10.genome.CDS.1702,group01400
BIN_10.genome.CDS.1703,group00866
BIN_10.genome.CDS.1704,group00181
BIN_10.genome.CDS.1705,group01901
BIN_10.genome.CDS.1706,group01000
BIN_10.genome.CDS.1707,group01644
BIN_10.genome.CDS.1708,group01023
BIN_10.genome.CDS.1709,group01052
BIN_10.genome.CDS.1650,group00236
BIN_10.genome.CDS.1604,group00326
BIN_10.genome.CDS.919,group04151
BIN_10.genome.CDS.918,group04148
BIN_10.genome.CDS.1870,group01451
BIN_10.genome.CDS.916,group04149
BIN_10.genome.CDS.185,group00075
BIN_10.genome.CDS.182,group04076
BIN_10.genome.CDS.1590,group00736
BIN_10.genome.CDS.183,group00810
BIN_10.genome.CDS.1339,group01402
BIN_10.genome.CDS.1623,group04109
BIN_10.genome.CDS.622,group02655
BIN_10.genome.CDS.188,group00078
BIN_10.genome.CDS.189,group00078
BIN_10.genome.CDS.1331,group00402
BIN_10.genome.CDS.1330,group04090
BIN_10.genome.CDS.1333,group00001
BIN_10.genome.CDS.1332,group04089
BIN_10.genome.CDS.1335,group00024
BIN_10.genome.CDS.1334,group00002
BIN_10.genome.CDS.181,group04077
