AAA044O16.genome.CDS.1804,group00808
AAA044O16.genome.CDS.1795,group00845
AAA044O16.genome.CDS.1639,group00226
AAA044O16.genome.CDS.1637,group00750
AAA044O16.genome.CDS.1636,group00455
AAA044O16.genome.CDS.1635,group00654
AAA044O16.genome.CDS.1634,group00578
AAA044O16.genome.CDS.1633,group00114
AAA044O16.genome.CDS.1632,group00049
AAA044O16.genome.CDS.1631,group00049
AAA044O16.genome.CDS.1630,group00010
AAA044O16.genome.CDS.1758,group00402
AAA044O16.genome.CDS.1759,group00435
AAA044O16.genome.CDS.1750,group01668
AAA044O16.genome.CDS.1751,group01439
AAA044O16.genome.CDS.1752,group01120
AAA044O16.genome.CDS.1754,group00652
AAA044O16.genome.CDS.1755,group00767
AAA044O16.genome.CDS.1756,group01140
AAA044O16.genome.CDS.1757,group00560
AAA044O16.genome.CDS.1918,group00443
AAA044O16.genome.CDS.1919,group00212
AAA044O16.genome.CDS.1916,group00380
AAA044O16.genome.CDS.1917,group00272
AAA044O16.genome.CDS.1914,group00388
AAA044O16.genome.CDS.1915,group00408
AAA044O16.genome.CDS.1912,group00506
AAA044O16.genome.CDS.1913,group00507
AAA044O16.genome.CDS.1910,group00779
AAA044O16.genome.CDS.1911,group00269
AAA044O16.genome.CDS.2399,group01016
AAA044O16.genome.CDS.2398,group01445
AAA044O16.genome.CDS.2395,group00687
AAA044O16.genome.CDS.2394,group01085
AAA044O16.genome.CDS.2397,group03838
AAA044O16.genome.CDS.2396,group02178
AAA044O16.genome.CDS.2391,group02369
AAA044O16.genome.CDS.2390,group02851
AAA044O16.genome.CDS.2393,group02852
AAA044O16.genome.CDS.2392,group01692
AAA044O16.genome.CDS.2009,group01674
AAA044O16.genome.CDS.2008,group00608
AAA044O16.genome.CDS.2005,group00255
AAA044O16.genome.CDS.2004,group02462
AAA044O16.genome.CDS.2007,group00907
AAA044O16.genome.CDS.2006,group02226
AAA044O16.genome.CDS.2001,group01174
AAA044O16.genome.CDS.2000,group00191
AAA044O16.genome.CDS.2003,group02847
AAA044O16.genome.CDS.2002,group02846
AAA044O16.genome.CDS.2625,group00064
AAA044O16.genome.CDS.2627,group00276
AAA044O16.genome.CDS.2626,group00962
AAA044O16.genome.CDS.2621,group00189
AAA044O16.genome.CDS.2620,group00476
AAA044O16.genome.CDS.2623,group00068
AAA044O16.genome.CDS.2622,group00047
AAA044O16.genome.CDS.2629,group00703
AAA044O16.genome.CDS.2628,group00677
AAA044O16.genome.CDS.2711,group00363
AAA044O16.genome.CDS.2710,group00545
AAA044O16.genome.CDS.2712,group00999
AAA044O16.genome.CDS.2715,group00306
AAA044O16.genome.CDS.2714,group00284
AAA044O16.genome.CDS.2717,group00425
AAA044O16.genome.CDS.2716,group00202
AAA044O16.genome.CDS.2719,group00362
AAA044O16.genome.CDS.2718,group00394
AAA044O16.genome.CDS.2539,group00471
AAA044O16.genome.CDS.2538,group00453
AAA044O16.genome.CDS.2531,group00160
AAA044O16.genome.CDS.2530,group00219
AAA044O16.genome.CDS.2533,group00134
AAA044O16.genome.CDS.2532,group00159
AAA044O16.genome.CDS.2535,group00275
AAA044O16.genome.CDS.2534,group00354
AAA044O16.genome.CDS.2537,group00012
AAA044O16.genome.CDS.2536,group00392
AAA044O16.genome.CDS.1620,group00698
AAA044O16.genome.CDS.1621,group00723
AAA044O16.genome.CDS.1622,group00644
AAA044O16.genome.CDS.1623,group00005
AAA044O16.genome.CDS.1624,group00822
AAA044O16.genome.CDS.1625,group00615
AAA044O16.genome.CDS.1626,group00763
AAA044O16.genome.CDS.1627,group00662
AAA044O16.genome.CDS.1628,group00540
AAA044O16.genome.CDS.1629,group00541
AAA044O16.genome.CDS.1729,group00866
AAA044O16.genome.CDS.1728,group01695
AAA044O16.genome.CDS.1725,group02300
AAA044O16.genome.CDS.1724,group02372
AAA044O16.genome.CDS.1727,group01631
AAA044O16.genome.CDS.1726,group01934
AAA044O16.genome.CDS.1721,group01398
AAA044O16.genome.CDS.1720,group00670
AAA044O16.genome.CDS.1723,group01666
AAA044O16.genome.CDS.1722,group01463
AAA044O16.genome.CDS.1431,group01165
AAA044O16.genome.CDS.1430,group00141
AAA044O16.genome.CDS.1433,group00491
AAA044O16.genome.CDS.1920,group00403
AAA044O16.genome.CDS.1435,group00080
AAA044O16.genome.CDS.1434,group00291
AAA044O16.genome.CDS.1925,group00809
AAA044O16.genome.CDS.1924,group00694
AAA044O16.genome.CDS.1439,group00823
AAA044O16.genome.CDS.1438,group00856
AAA044O16.genome.CDS.1929,group00803
AAA044O16.genome.CDS.1928,group00997
AAA044O16.genome.CDS.622,group01594
AAA044O16.genome.CDS.247,group01086
AAA044O16.genome.CDS.2388,group03839
AAA044O16.genome.CDS.2389,group01720
AAA044O16.genome.CDS.2386,group03840
AAA044O16.genome.CDS.2387,group01275
AAA044O16.genome.CDS.2384,group01719
AAA044O16.genome.CDS.2385,group03841
AAA044O16.genome.CDS.2382,group00207
AAA044O16.genome.CDS.2383,group01275
AAA044O16.genome.CDS.2380,group00187
AAA044O16.genome.CDS.2381,group00656
AAA044O16.genome.CDS.1813,group00990
AAA044O16.genome.CDS.1760,group02347
AAA044O16.genome.CDS.1811,group00967
AAA044O16.genome.CDS.1810,group00968
AAA044O16.genome.CDS.2018,group01405
AAA044O16.genome.CDS.2019,group00025
AAA044O16.genome.CDS.2016,group01627
AAA044O16.genome.CDS.2017,group01765
AAA044O16.genome.CDS.2014,group02021
AAA044O16.genome.CDS.2015,group02698
AAA044O16.genome.CDS.2012,group00102
AAA044O16.genome.CDS.2010,group01035
AAA044O16.genome.CDS.2011,group01808
AAA044O16.genome.CDS.1767,group03795
AAA044O16.genome.CDS.1766,group03796
AAA044O16.genome.CDS.2636,group00888
AAA044O16.genome.CDS.2637,group00308
AAA044O16.genome.CDS.2635,group00025
AAA044O16.genome.CDS.2632,group00277
AAA044O16.genome.CDS.2633,group00370
AAA044O16.genome.CDS.2630,group00998
AAA044O16.genome.CDS.2631,group00355
AAA044O16.genome.CDS.2638,group00536
AAA044O16.genome.CDS.2639,group01882
AAA044O16.genome.CDS.2702,group02328
AAA044O16.genome.CDS.2703,group02855
AAA044O16.genome.CDS.2700,group02050
AAA044O16.genome.CDS.2701,group03845
AAA044O16.genome.CDS.2706,group00357
AAA044O16.genome.CDS.2707,group00482
AAA044O16.genome.CDS.2704,group01026
AAA044O16.genome.CDS.2705,group01248
AAA044O16.genome.CDS.2708,group01168
AAA044O16.genome.CDS.2709,group00621
AAA044O16.genome.CDS.2528,group01097
AAA044O16.genome.CDS.2529,group00250
AAA044O16.genome.CDS.2522,group00329
AAA044O16.genome.CDS.2523,group00027
AAA044O16.genome.CDS.2520,group00204
AAA044O16.genome.CDS.2521,group00450
AAA044O16.genome.CDS.2526,group00437
AAA044O16.genome.CDS.2527,group00245
AAA044O16.genome.CDS.2524,group00240
AAA044O16.genome.CDS.2525,group00225
AAA044O16.genome.CDS.1655,group00325
AAA044O16.genome.CDS.1654,group00495
AAA044O16.genome.CDS.1657,group00006
AAA044O16.genome.CDS.1656,group00006
AAA044O16.genome.CDS.1651,group01126
AAA044O16.genome.CDS.1650,group00014
AAA044O16.genome.CDS.1653,group00007
AAA044O16.genome.CDS.1652,group00316
AAA044O16.genome.CDS.1659,group01123
AAA044O16.genome.CDS.1658,group00289
AAA044O16.genome.CDS.1738,group01244
AAA044O16.genome.CDS.1739,group01201
AAA044O16.genome.CDS.1736,group01260
AAA044O16.genome.CDS.1737,group00014
AAA044O16.genome.CDS.1734,group03800
AAA044O16.genome.CDS.1735,group02048
AAA044O16.genome.CDS.1732,group03801
AAA044O16.genome.CDS.1733,group00950
AAA044O16.genome.CDS.1730,group00812
AAA044O16.genome.CDS.1731,group01794
AAA044O16.genome.CDS.824,group00857
AAA044O16.genome.CDS.103,group00493
AAA044O16.genome.CDS.1934,group01025
AAA044O16.genome.CDS.1935,group00024
AAA044O16.genome.CDS.1420,group00050
AAA044O16.genome.CDS.1421,group00139
AAA044O16.genome.CDS.1426,group00516
AAA044O16.genome.CDS.1427,group00004
AAA044O16.genome.CDS.1932,group01402
AAA044O16.genome.CDS.1425,group00634
AAA044O16.genome.CDS.1428,group00016
AAA044O16.genome.CDS.1429,group00737
AAA044O16.genome.CDS.1938,group01182
AAA044O16.genome.CDS.1939,group01214
AAA044O16.genome.CDS.1936,group00707
AAA044O16.genome.CDS.923,group00209
AAA044O16.genome.CDS.922,group00209
AAA044O16.genome.CDS.1933,group00242
AAA044O16.genome.CDS.1264,group00749
AAA044O16.genome.CDS.2022,group00871
AAA044O16.genome.CDS.2021,group01400
AAA044O16.genome.CDS.2020,group02180
AAA044O16.genome.CDS.2027,group01583
AAA044O16.genome.CDS.2026,group00939
AAA044O16.genome.CDS.2025,group01620
AAA044O16.genome.CDS.2024,group00842
AAA044O16.genome.CDS.2029,group03828
AAA044O16.genome.CDS.2028,group00935
AAA044O16.genome.CDS.2737,group00151
AAA044O16.genome.CDS.2736,group00208
AAA044O16.genome.CDS.2735,group00273
AAA044O16.genome.CDS.2734,group00309
AAA044O16.genome.CDS.2733,group00274
AAA044O16.genome.CDS.2732,group02856
AAA044O16.genome.CDS.2731,group00121
AAA044O16.genome.CDS.2730,group00157
AAA044O16.genome.CDS.1486,group00447
AAA044O16.genome.CDS.2738,group00095
AAA044O16.genome.CDS.2287,group00427
AAA044O16.genome.CDS.2286,group00469
AAA044O16.genome.CDS.2285,group00733
AAA044O16.genome.CDS.2284,group00489
AAA044O16.genome.CDS.2283,group00490
AAA044O16.genome.CDS.2282,group01084
AAA044O16.genome.CDS.2281,group01512
AAA044O16.genome.CDS.2280,group01319
AAA044O16.genome.CDS.2289,group00038
AAA044O16.genome.CDS.2288,group00696
AAA044O16.genome.CDS.2519,group00373
AAA044O16.genome.CDS.2518,group00156
AAA044O16.genome.CDS.2517,group00124
AAA044O16.genome.CDS.2516,group00292
AAA044O16.genome.CDS.2515,group00513
AAA044O16.genome.CDS.2514,group00168
AAA044O16.genome.CDS.2513,group00078
AAA044O16.genome.CDS.2512,group00195
AAA044O16.genome.CDS.2511,group00164
AAA044O16.genome.CDS.2510,group00075
AAA044O16.genome.CDS.2359,group01915
AAA044O16.genome.CDS.2358,group03833
AAA044O16.genome.CDS.2609,group00084
AAA044O16.genome.CDS.2608,group01034
AAA044O16.genome.CDS.2351,group01072
AAA044O16.genome.CDS.2602,group00626
AAA044O16.genome.CDS.2601,group00963
AAA044O16.genome.CDS.2600,group00170
AAA044O16.genome.CDS.2607,group01033
AAA044O16.genome.CDS.2354,group00022
AAA044O16.genome.CDS.2605,group00848
AAA044O16.genome.CDS.2604,group00974
AAA044O16.genome.CDS.1391,group00172
AAA044O16.genome.CDS.1392,group00145
AAA044O16.genome.CDS.1393,group01004
AAA044O16.genome.CDS.1394,group00244
AAA044O16.genome.CDS.1395,group00708
AAA044O16.genome.CDS.1396,group00312
AAA044O16.genome.CDS.1398,group00887
AAA044O16.genome.CDS.1399,group00088
AAA044O16.genome.CDS.1646,group00215
AAA044O16.genome.CDS.1647,group00002
AAA044O16.genome.CDS.1644,group00060
AAA044O16.genome.CDS.1645,group00057
AAA044O16.genome.CDS.1642,group00905
AAA044O16.genome.CDS.1643,group00152
AAA044O16.genome.CDS.1640,group00497
AAA044O16.genome.CDS.1641,group00751
AAA044O16.genome.CDS.1648,group00361
AAA044O16.genome.CDS.1649,group00612
AAA044O16.genome.CDS.1703,group00885
AAA044O16.genome.CDS.1702,group00919
AAA044O16.genome.CDS.1701,group00920
AAA044O16.genome.CDS.1700,group00921
AAA044O16.genome.CDS.1707,group00853
AAA044O16.genome.CDS.1706,group00791
AAA044O16.genome.CDS.1705,group00847
AAA044O16.genome.CDS.1704,group00861
AAA044O16.genome.CDS.1709,group00872
AAA044O16.genome.CDS.1708,group00873
AAA044O16.genome.CDS.133,group00875
AAA044O16.genome.CDS.1417,group00718
AAA044O16.genome.CDS.1416,group01014
AAA044O16.genome.CDS.1415,group00217
AAA044O16.genome.CDS.1414,group00206
AAA044O16.genome.CDS.1413,group00320
AAA044O16.genome.CDS.1412,group01752
AAA044O16.genome.CDS.1411,group00184
AAA044O16.genome.CDS.1410,group00535
AAA044O16.genome.CDS.1419,group00333
AAA044O16.genome.CDS.1418,group00410
AAA044O16.genome.CDS.1899,group00198
AAA044O16.genome.CDS.1898,group00091
AAA044O16.genome.CDS.1893,group01209
AAA044O16.genome.CDS.1892,group02423
AAA044O16.genome.CDS.1891,group00538
AAA044O16.genome.CDS.1890,group00785
AAA044O16.genome.CDS.1897,group00175
AAA044O16.genome.CDS.1896,group01189
AAA044O16.genome.CDS.1895,group00434
AAA044O16.genome.CDS.1894,group01208
AAA044O16.genome.CDS.866,group02857
AAA044O16.genome.CDS.2034,group00036
AAA044O16.genome.CDS.2035,group02009
AAA044O16.genome.CDS.2036,group03827
AAA044O16.genome.CDS.2037,group01948
AAA044O16.genome.CDS.2030,group00813
AAA044O16.genome.CDS.2031,group01726
AAA044O16.genome.CDS.2032,group01046
AAA044O16.genome.CDS.2033,group01556
AAA044O16.genome.CDS.2038,group01155
AAA044O16.genome.CDS.2039,group01156
AAA044O16.genome.CDS.2298,group01351
AAA044O16.genome.CDS.2299,group01648
AAA044O16.genome.CDS.2290,group00529
AAA044O16.genome.CDS.2291,group00605
AAA044O16.genome.CDS.2292,group00660
AAA044O16.genome.CDS.2293,group00573
AAA044O16.genome.CDS.2294,group01256
AAA044O16.genome.CDS.2295,group00012
AAA044O16.genome.CDS.2296,group01281
AAA044O16.genome.CDS.2297,group01309
AAA044O16.genome.CDS.1093,group00228
AAA044O16.genome.CDS.1092,group00140
AAA044O16.genome.CDS.1090,group00203
AAA044O16.genome.CDS.2728,group00059
AAA044O16.genome.CDS.2729,group00158
AAA044O16.genome.CDS.2720,group00257
AAA044O16.genome.CDS.2721,group00381
AAA044O16.genome.CDS.2722,group00136
AAA044O16.genome.CDS.2723,group00657
AAA044O16.genome.CDS.2724,group00299
AAA044O16.genome.CDS.2725,group00106
AAA044O16.genome.CDS.2726,group00104
AAA044O16.genome.CDS.2727,group00852
AAA044O16.genome.CDS.2500,group00986
AAA044O16.genome.CDS.2501,group01739
AAA044O16.genome.CDS.2502,group01110
AAA044O16.genome.CDS.2503,group00181
AAA044O16.genome.CDS.2504,group03844
AAA044O16.genome.CDS.2505,group01018
AAA044O16.genome.CDS.2506,group01428
AAA044O16.genome.CDS.2507,group01117
AAA044O16.genome.CDS.2508,group01076
AAA044O16.genome.CDS.2509,group00182
AAA044O16.genome.CDS.1422,group00386
AAA044O16.genome.CDS.2348,group01465
AAA044O16.genome.CDS.2349,group01737
AAA044O16.genome.CDS.2618,group00571
AAA044O16.genome.CDS.2619,group00456
AAA044O16.genome.CDS.1423,group00439
AAA044O16.genome.CDS.2342,group01274
AAA044O16.genome.CDS.2343,group00472
AAA044O16.genome.CDS.2340,group01794
AAA044O16.genome.CDS.2341,group01534
AAA044O16.genome.CDS.2610,group00086
AAA044O16.genome.CDS.2347,group01559
AAA044O16.genome.CDS.2344,group01370
AAA044O16.genome.CDS.2345,group01941
AAA044O16.genome.CDS.1937,group00960
AAA044O16.genome.CDS.1930,group01107
AAA044O16.genome.CDS.1931,group01378
AAA044O16.genome.CDS.1679,group01088
AAA044O16.genome.CDS.1678,group00595
AAA044O16.genome.CDS.1424,group01009
AAA044O16.genome.CDS.1673,group00619
AAA044O16.genome.CDS.1672,group01390
AAA044O16.genome.CDS.1671,group00580
AAA044O16.genome.CDS.1670,group00523
AAA044O16.genome.CDS.1677,group00594
AAA044O16.genome.CDS.1676,group00522
AAA044O16.genome.CDS.1675,group00610
AAA044O16.genome.CDS.1674,group00618
AAA044O16.genome.CDS.1783,group02421
AAA044O16.genome.CDS.1834,group00790
AAA044O16.genome.CDS.1837,group01346
AAA044O16.genome.CDS.1780,group00390
AAA044O16.genome.CDS.1831,group02441
AAA044O16.genome.CDS.1830,group00686
AAA044O16.genome.CDS.2553,group00436
AAA044O16.genome.CDS.1785,group02223
AAA044O16.genome.CDS.2552,group00431
AAA044O16.genome.CDS.1832,group03786
AAA044O16.genome.CDS.2223,group01387
AAA044O16.genome.CDS.1816,group01015
AAA044O16.genome.CDS.1714,group00916
AAA044O16.genome.CDS.1715,group00844
AAA044O16.genome.CDS.1716,group00820
AAA044O16.genome.CDS.1717,group03781
AAA044O16.genome.CDS.1710,group00819
AAA044O16.genome.CDS.1711,group00895
AAA044O16.genome.CDS.1712,group00896
AAA044O16.genome.CDS.1713,group00894
AAA044O16.genome.CDS.2225,group00539
AAA044O16.genome.CDS.1718,group01227
AAA044O16.genome.CDS.1719,group02300
AAA044O16.genome.CDS.2224,group01320
AAA044O16.genome.CDS.2227,group00043
AAA044O16.genome.CDS.2554,group00089
AAA044O16.genome.CDS.1408,group00307
AAA044O16.genome.CDS.1409,group00534
AAA044O16.genome.CDS.1400,group00908
AAA044O16.genome.CDS.1401,group00321
AAA044O16.genome.CDS.1402,group00243
AAA044O16.genome.CDS.1403,group00030
AAA044O16.genome.CDS.1404,group00468
AAA044O16.genome.CDS.1405,group00470
AAA044O16.genome.CDS.1406,group00532
AAA044O16.genome.CDS.1407,group00533
AAA044O16.genome.CDS.655,group03823
AAA044O16.genome.CDS.1888,group00033
AAA044O16.genome.CDS.1889,group00914
AAA044O16.genome.CDS.1884,group01211
AAA044O16.genome.CDS.1885,group00259
AAA044O16.genome.CDS.1886,group01055
AAA044O16.genome.CDS.1887,group00755
AAA044O16.genome.CDS.1880,group00432
AAA044O16.genome.CDS.1881,group00734
AAA044O16.genome.CDS.1882,group00596
AAA044O16.genome.CDS.1883,group00579
AAA044O16.genome.CDS.1499,group00867
AAA044O16.genome.CDS.1498,group00518
AAA044O16.genome.CDS.1497,group00107
AAA044O16.genome.CDS.1948,group01478
AAA044O16.genome.CDS.1081,group00428
AAA044O16.genome.CDS.2199,group00251
AAA044O16.genome.CDS.2198,group00287
AAA044O16.genome.CDS.2193,group00322
AAA044O16.genome.CDS.2192,group00279
AAA044O16.genome.CDS.2191,group00924
AAA044O16.genome.CDS.2190,group00128
AAA044O16.genome.CDS.2197,group00220
AAA044O16.genome.CDS.2196,group01232
AAA044O16.genome.CDS.2195,group00459
AAA044O16.genome.CDS.2194,group00237
AAA044O16.genome.CDS.2759,group00371
AAA044O16.genome.CDS.2758,group00247
AAA044O16.genome.CDS.2755,group01082
AAA044O16.genome.CDS.2754,group00487
AAA044O16.genome.CDS.2757,group00793
AAA044O16.genome.CDS.2756,group00496
AAA044O16.genome.CDS.2751,group01680
AAA044O16.genome.CDS.2750,group00001
AAA044O16.genome.CDS.2753,group00001
AAA044O16.genome.CDS.2752,group00568
AAA044O16.genome.CDS.2575,group00548
AAA044O16.genome.CDS.2574,group02163
AAA044O16.genome.CDS.2577,group00246
AAA044O16.genome.CDS.2576,group00192
AAA044O16.genome.CDS.2571,group00205
AAA044O16.genome.CDS.2570,group00642
AAA044O16.genome.CDS.2573,group03848
AAA044O16.genome.CDS.2572,group00627
AAA044O16.genome.CDS.2579,group00765
AAA044O16.genome.CDS.2578,group00090
AAA044O16.genome.CDS.2379,group00061
AAA044O16.genome.CDS.2378,group00265
AAA044O16.genome.CDS.2377,group00083
AAA044O16.genome.CDS.2376,group00053
AAA044O16.genome.CDS.2375,group00349
AAA044O16.genome.CDS.2374,group00378
AAA044O16.genome.CDS.2373,group00300
AAA044O16.genome.CDS.2372,group00194
AAA044O16.genome.CDS.2371,group01031
AAA044O16.genome.CDS.2370,group00841
AAA044O16.genome.CDS.1668,group00282
AAA044O16.genome.CDS.1669,group00457
AAA044O16.genome.CDS.1664,group00004
AAA044O16.genome.CDS.1665,group00342
AAA044O16.genome.CDS.1666,group00724
AAA044O16.genome.CDS.1667,group01161
AAA044O16.genome.CDS.1660,group01149
AAA044O16.genome.CDS.1661,group01012
AAA044O16.genome.CDS.1662,group00984
AAA044O16.genome.CDS.1663,group00016
AAA044O16.genome.CDS.2409,group01030
AAA044O16.genome.CDS.2408,group01081
AAA044O16.genome.CDS.2401,group00236
AAA044O16.genome.CDS.2400,group01057
AAA044O16.genome.CDS.2403,group00933
AAA044O16.genome.CDS.2402,group00761
AAA044O16.genome.CDS.2405,group00433
AAA044O16.genome.CDS.2404,group01380
AAA044O16.genome.CDS.2407,group01135
AAA044O16.genome.CDS.2406,group00613
AAA044O16.genome.CDS.1479,group00422
AAA044O16.genome.CDS.1478,group00530
AAA044O16.genome.CDS.1475,group01251
AAA044O16.genome.CDS.1474,group01130
AAA044O16.genome.CDS.1477,group01616
AAA044O16.genome.CDS.1476,group01473
AAA044O16.genome.CDS.1471,group00584
AAA044O16.genome.CDS.1470,group00519
AAA044O16.genome.CDS.1985,group00271
AAA044O16.genome.CDS.1984,group01881
AAA044O16.genome.CDS.1987,group02674
AAA044O16.genome.CDS.1986,group02845
AAA044O16.genome.CDS.1981,group01061
AAA044O16.genome.CDS.1980,group00286
AAA044O16.genome.CDS.1983,group03804
AAA044O16.genome.CDS.1982,group01051
AAA044O16.genome.CDS.1989,group01481
AAA044O16.genome.CDS.1988,group01339
AAA044O16.genome.CDS.1871,group00521
AAA044O16.genome.CDS.1870,group01027
AAA044O16.genome.CDS.1873,group01441
AAA044O16.genome.CDS.1872,group00689
AAA044O16.genome.CDS.1875,group00760
AAA044O16.genome.CDS.1874,group00711
AAA044O16.genome.CDS.1877,group00774
AAA044O16.genome.CDS.1876,group01119
AAA044O16.genome.CDS.1879,group01041
AAA044O16.genome.CDS.1878,group01243
AAA044O16.genome.CDS.1501,group00858
AAA044O16.genome.CDS.1500,group00162
AAA044O16.genome.CDS.1503,group00659
AAA044O16.genome.CDS.1502,group00313
AAA044O16.genome.CDS.1505,group00293
AAA044O16.genome.CDS.1504,group00314
AAA044O16.genome.CDS.1507,group01079
AAA044O16.genome.CDS.1506,group00377
AAA044O16.genome.CDS.1509,group00079
AAA044O16.genome.CDS.1508,group00498
AAA044O16.genome.CDS.1825,group02810
AAA044O16.genome.CDS.1822,group01204
AAA044O16.genome.CDS.2188,group00375
AAA044O16.genome.CDS.2189,group00890
AAA044O16.genome.CDS.2184,group00429
AAA044O16.genome.CDS.2185,group00260
AAA044O16.genome.CDS.2186,group00766
AAA044O16.genome.CDS.2187,group00044
AAA044O16.genome.CDS.2180,group00531
AAA044O16.genome.CDS.2181,group00855
AAA044O16.genome.CDS.2182,group00649
AAA044O16.genome.CDS.2183,group01010
AAA044O16.genome.CDS.2748,group00549
AAA044O16.genome.CDS.2749,group00003
AAA044O16.genome.CDS.2746,group00463
AAA044O16.genome.CDS.2747,group00520
AAA044O16.genome.CDS.2744,group02465
AAA044O16.genome.CDS.2745,group01174
AAA044O16.genome.CDS.2742,group00082
AAA044O16.genome.CDS.2743,group00063
AAA044O16.genome.CDS.2740,group00129
AAA044O16.genome.CDS.2741,group00150
AAA044O16.genome.CDS.7,group00458
AAA044O16.genome.CDS.2566,group00155
AAA044O16.genome.CDS.2567,group00132
AAA044O16.genome.CDS.2564,group00781
AAA044O16.genome.CDS.2565,group00567
AAA044O16.genome.CDS.2562,group00100
AAA044O16.genome.CDS.2563,group00131
AAA044O16.genome.CDS.2560,group00700
AAA044O16.genome.CDS.2561,group00099
AAA044O16.genome.CDS.2568,group00127
AAA044O16.genome.CDS.2569,group00878
AAA044O16.genome.CDS.2360,group02850
AAA044O16.genome.CDS.2361,group02464
AAA044O16.genome.CDS.2362,group01393
AAA044O16.genome.CDS.2363,group01174
AAA044O16.genome.CDS.2364,group02702
AAA044O16.genome.CDS.2365,group00525
AAA044O16.genome.CDS.2366,group01833
AAA044O16.genome.CDS.2367,group00032
AAA044O16.genome.CDS.2368,group00502
AAA044O16.genome.CDS.2369,group00581
AAA044O16.genome.CDS.1691,group00557
AAA044O16.genome.CDS.1690,group00824
AAA044O16.genome.CDS.1693,group01241
AAA044O16.genome.CDS.1692,group00558
AAA044O16.genome.CDS.1695,group00945
AAA044O16.genome.CDS.1694,group01536
AAA044O16.genome.CDS.1697,group00709
AAA044O16.genome.CDS.1696,group00944
AAA044O16.genome.CDS.1699,group00991
AAA044O16.genome.CDS.1698,group00738
AAA044O16.genome.CDS.2418,group00666
AAA044O16.genome.CDS.2419,group00771
AAA044O16.genome.CDS.2412,group00037
AAA044O16.genome.CDS.2413,group00792
AAA044O16.genome.CDS.2410,group00337
AAA044O16.genome.CDS.2411,group01750
AAA044O16.genome.CDS.2416,group00800
AAA044O16.genome.CDS.2417,group01753
AAA044O16.genome.CDS.2414,group00643
AAA044O16.genome.CDS.2415,group00669
AAA044O16.genome.CDS.1469,group00720
AAA044O16.genome.CDS.1466,group00268
AAA044O16.genome.CDS.1467,group00564
AAA044O16.genome.CDS.1464,group00326
AAA044O16.genome.CDS.1465,group00445
AAA044O16.genome.CDS.1462,group00492
AAA044O16.genome.CDS.1463,group00404
AAA044O16.genome.CDS.1460,group00606
AAA044O16.genome.CDS.1461,group00461
AAA044O16.genome.CDS.2471,group00609
AAA044O16.genome.CDS.1996,group00266
AAA044O16.genome.CDS.1997,group00857
AAA044O16.genome.CDS.1994,group01747
AAA044O16.genome.CDS.1995,group03802
AAA044O16.genome.CDS.1992,group01205
AAA044O16.genome.CDS.1990,group01331
AAA044O16.genome.CDS.1991,group02461
AAA044O16.genome.CDS.1998,group03806
AAA044O16.genome.CDS.1999,group01957
AAA044O16.genome.CDS.1862,group01574
AAA044O16.genome.CDS.1863,group00710
AAA044O16.genome.CDS.1860,group00658
AAA044O16.genome.CDS.1861,group02349
AAA044O16.genome.CDS.1866,group00550
AAA044O16.genome.CDS.1867,group00393
AAA044O16.genome.CDS.1864,group00551
AAA044O16.genome.CDS.1865,group00617
AAA044O16.genome.CDS.1868,group00374
AAA044O16.genome.CDS.1869,group01467
AAA044O16.genome.CDS.1512,group00331
AAA044O16.genome.CDS.1513,group00441
AAA044O16.genome.CDS.1510,group00360
AAA044O16.genome.CDS.1511,group00332
AAA044O16.genome.CDS.1516,group00831
AAA044O16.genome.CDS.1517,group00697
AAA044O16.genome.CDS.1514,group00880
AAA044O16.genome.CDS.1515,group00811
AAA044O16.genome.CDS.1518,group00722
AAA044O16.genome.CDS.1519,group00964
AAA044O16.genome.CDS.216,group01230
AAA044O16.genome.CDS.215,group03852
AAA044O16.genome.CDS.2085,group00687
AAA044O16.genome.CDS.2084,group01832
AAA044O16.genome.CDS.2087,group03807
AAA044O16.genome.CDS.2086,group01085
AAA044O16.genome.CDS.2081,group03809
AAA044O16.genome.CDS.2080,group03810
AAA044O16.genome.CDS.2083,group02032
AAA044O16.genome.CDS.2082,group03808
AAA044O16.genome.CDS.2089,group01113
AAA044O16.genome.CDS.2088,group01740
AAA044O16.genome.CDS.2171,group00676
AAA044O16.genome.CDS.2170,group00912
AAA044O16.genome.CDS.2173,group00835
AAA044O16.genome.CDS.2172,group01008
AAA044O16.genome.CDS.2175,group01021
AAA044O16.genome.CDS.2174,group01083
AAA044O16.genome.CDS.2177,group00238
AAA044O16.genome.CDS.2176,group00913
AAA044O16.genome.CDS.2179,group00179
AAA044O16.genome.CDS.2178,group00180
AAA044O16.genome.CDS.2773,group01376
AAA044O16.genome.CDS.2772,group01419
AAA044O16.genome.CDS.2771,group00664
AAA044O16.genome.CDS.2770,group00000
AAA044O16.genome.CDS.2777,group00278
AAA044O16.genome.CDS.2776,group00632
AAA044O16.genome.CDS.2775,group01058
AAA044O16.genome.CDS.2774,group02256
AAA044O16.genome.CDS.2779,group00783
AAA044O16.genome.CDS.2778,group00210
AAA044O16.genome.CDS.2791,group01215
AAA044O16.genome.CDS.2790,group00563
AAA044O16.genome.CDS.1191,group00757
AAA044O16.genome.CDS.2314,group00039
AAA044O16.genome.CDS.2317,group00511
AAA044O16.genome.CDS.2311,group00285
