AAA027J17.genome.CDS.1638,group00580
AAA027J17.genome.CDS.1129,group01183
AAA027J17.genome.CDS.2028,group00498
AAA027J17.genome.CDS.2029,group01095
AAA027J17.genome.CDS.1150,group00106
AAA027J17.genome.CDS.1672,group00755
AAA027J17.genome.CDS.1771,group01038
AAA027J17.genome.CDS.1770,group00641
AAA027J17.genome.CDS.1773,group01163
AAA027J17.genome.CDS.1772,group01166
AAA027J17.genome.CDS.1775,group00582
AAA027J17.genome.CDS.1774,group00400
AAA027J17.genome.CDS.1777,group00035
AAA027J17.genome.CDS.1776,group03982
AAA027J17.genome.CDS.1779,group01162
AAA027J17.genome.CDS.1778,group00552
AAA027J17.genome.CDS.1083,group00960
AAA027J17.genome.CDS.1678,group00800
AAA027J17.genome.CDS.1172,group01664
AAA027J17.genome.CDS.1171,group01052
AAA027J17.genome.CDS.1170,group01305
AAA027J17.genome.CDS.968,group00599
AAA027J17.genome.CDS.1176,group01236
AAA027J17.genome.CDS.1175,group00660
AAA027J17.genome.CDS.1174,group00605
AAA027J17.genome.CDS.964,group00006
AAA027J17.genome.CDS.1671,group00945
AAA027J17.genome.CDS.966,group00803
AAA027J17.genome.CDS.1178,group02214
AAA027J17.genome.CDS.1674,group00558
AAA027J17.genome.CDS.1675,group00557
AAA027J17.genome.CDS.1127,group00283
AAA027J17.genome.CDS.1677,group00666
AAA027J17.genome.CDS.320,group00122
AAA027J17.genome.CDS.1344,group03989
AAA027J17.genome.CDS.1160,group00273
AAA027J17.genome.CDS.1161,group00208
AAA027J17.genome.CDS.1528,group00212
AAA027J17.genome.CDS.1514,group00015
AAA027J17.genome.CDS.1517,group00995
AAA027J17.genome.CDS.1516,group00119
AAA027J17.genome.CDS.1511,group00093
AAA027J17.genome.CDS.1510,group00092
AAA027J17.genome.CDS.1513,group00046
AAA027J17.genome.CDS.1512,group00055
AAA027J17.genome.CDS.1163,group00095
AAA027J17.genome.CDS.1519,group00269
AAA027J17.genome.CDS.1518,group00779
AAA027J17.genome.CDS.1908,group00898
AAA027J17.genome.CDS.1909,group00149
AAA027J17.genome.CDS.1458,group00264
AAA027J17.genome.CDS.1459,group01836
AAA027J17.genome.CDS.1902,group00336
AAA027J17.genome.CDS.1903,group00601
AAA027J17.genome.CDS.1900,group00110
AAA027J17.genome.CDS.1901,group00040
AAA027J17.genome.CDS.1450,group01136
AAA027J17.genome.CDS.1907,group00108
AAA027J17.genome.CDS.1904,group01230
AAA027J17.genome.CDS.1905,group00167
AAA027J17.genome.CDS.1991,group00554
AAA027J17.genome.CDS.1990,group01107
AAA027J17.genome.CDS.1993,group00881
AAA027J17.genome.CDS.1992,group00241
AAA027J17.genome.CDS.1995,group00719
AAA027J17.genome.CDS.1997,group00235
AAA027J17.genome.CDS.1996,group00200
AAA027J17.genome.CDS.1999,group00292
AAA027J17.genome.CDS.1998,group00124
AAA027J17.genome.CDS.1169,group01026
AAA027J17.genome.CDS.1685,group00164
AAA027J17.genome.CDS.1684,group00195
AAA027J17.genome.CDS.1687,group00182
AAA027J17.genome.CDS.1686,group00075
AAA027J17.genome.CDS.1681,group00513
AAA027J17.genome.CDS.1680,group00900
AAA027J17.genome.CDS.1683,group00078
AAA027J17.genome.CDS.1682,group00168
AAA027J17.genome.CDS.1689,group00915
AAA027J17.genome.CDS.1688,group00211
AAA027J17.genome.CDS.1429,group00044
AAA027J17.genome.CDS.1293,group00206
AAA027J17.genome.CDS.1359,group01400
AAA027J17.genome.CDS.1358,group01394
AAA027J17.genome.CDS.1296,group00184
AAA027J17.genome.CDS.1319,group00795
AAA027J17.genome.CDS.1294,group00320
AAA027J17.genome.CDS.1295,group01356
AAA027J17.genome.CDS.1353,group00903
AAA027J17.genome.CDS.1420,group00459
AAA027J17.genome.CDS.1423,group00279
AAA027J17.genome.CDS.1299,group00243
AAA027J17.genome.CDS.1357,group01158
AAA027J17.genome.CDS.1356,group00904
AAA027J17.genome.CDS.1957,group00313
AAA027J17.genome.CDS.1426,group00128
AAA027J17.genome.CDS.1392,group01387
AAA027J17.genome.CDS.501,group03994
AAA027J17.genome.CDS.1889,group00869
AAA027J17.genome.CDS.1199,group01039
AAA027J17.genome.CDS.1051,group01000
AAA027J17.genome.CDS.1052,group01302
AAA027J17.genome.CDS.1053,group00973
AAA027J17.genome.CDS.1054,group00681
AAA027J17.genome.CDS.1055,group00629
AAA027J17.genome.CDS.1056,group00096
AAA027J17.genome.CDS.1057,group00102
AAA027J17.genome.CDS.1191,group00952
AAA027J17.genome.CDS.1739,group00083
AAA027J17.genome.CDS.1193,group00481
AAA027J17.genome.CDS.1192,group00804
AAA027J17.genome.CDS.1195,group00406
AAA027J17.genome.CDS.1194,group01111
AAA027J17.genome.CDS.1197,group00721
AAA027J17.genome.CDS.1196,group00695
AAA027J17.genome.CDS.1883,group01119
AAA027J17.genome.CDS.1734,group00207
AAA027J17.genome.CDS.1881,group01681
AAA027J17.genome.CDS.1880,group00716
AAA027J17.genome.CDS.1470,group00732
AAA027J17.genome.CDS.1887,group01080
AAA027J17.genome.CDS.1578,group00281
AAA027J17.genome.CDS.1730,group01365
AAA027J17.genome.CDS.1438,group02669
AAA027J17.genome.CDS.1885,group00910
AAA027J17.genome.CDS.1229,group01278
AAA027J17.genome.CDS.1228,group01301
AAA027J17.genome.CDS.1227,group01277
AAA027J17.genome.CDS.1226,group00729
AAA027J17.genome.CDS.1225,group00789
AAA027J17.genome.CDS.1224,group00883
AAA027J17.genome.CDS.1223,group00788
AAA027J17.genome.CDS.1222,group00270
AAA027J17.genome.CDS.1221,group00726
AAA027J17.genome.CDS.1220,group00650
AAA027J17.genome.CDS.1878,group01870
AAA027J17.genome.CDS.1360,group03988
AAA027J17.genome.CDS.48,group00806
AAA027J17.genome.CDS.1721,group00230
AAA027J17.genome.CDS.1488,group00914
AAA027J17.genome.CDS.1361,group01958
AAA027J17.genome.CDS.1720,group00365
AAA027J17.genome.CDS.1634,group00595
AAA027J17.genome.CDS.1635,group00594
AAA027J17.genome.CDS.1636,group00457
AAA027J17.genome.CDS.1888,group00117
AAA027J17.genome.CDS.1630,group01161
AAA027J17.genome.CDS.1738,group00265
AAA027J17.genome.CDS.1632,group00282
AAA027J17.genome.CDS.1633,group00457
AAA027J17.genome.CDS.1735,group00656
AAA027J17.genome.CDS.1882,group01326
AAA027J17.genome.CDS.1737,group00061
AAA027J17.genome.CDS.1736,group00187
AAA027J17.genome.CDS.1731,group00613
AAA027J17.genome.CDS.1639,group03981
AAA027J17.genome.CDS.1733,group00337
AAA027J17.genome.CDS.1884,group01007
AAA027J17.genome.CDS.1704,group01108
AAA027J17.genome.CDS.2019,group00518
AAA027J17.genome.CDS.2018,group01146
AAA027J17.genome.CDS.1838,group00090
AAA027J17.genome.CDS.1839,group00765
AAA027J17.genome.CDS.1836,group00192
AAA027J17.genome.CDS.1837,group00246
AAA027J17.genome.CDS.1834,group00186
AAA027J17.genome.CDS.2016,group00223
AAA027J17.genome.CDS.1832,group00126
AAA027J17.genome.CDS.1870,group00510
AAA027J17.genome.CDS.1830,group00065
AAA027J17.genome.CDS.1831,group00146
AAA027J17.genome.CDS.1520,group00506
AAA027J17.genome.CDS.2015,group00583
AAA027J17.genome.CDS.1707,group01060
AAA027J17.genome.CDS.1945,group01012
AAA027J17.genome.CDS.2014,group00684
AAA027J17.genome.CDS.1863,group01037
AAA027J17.genome.CDS.1369,group00935
AAA027J17.genome.CDS.2017,group02030
AAA027J17.genome.CDS.1877,group00036
AAA027J17.genome.CDS.1641,group00610
AAA027J17.genome.CDS.1506,group00091
AAA027J17.genome.CDS.1643,group00619
AAA027J17.genome.CDS.1642,group00618
AAA027J17.genome.CDS.1645,group00688
AAA027J17.genome.CDS.1644,group00328
AAA027J17.genome.CDS.1647,group00715
AAA027J17.genome.CDS.1646,group00611
AAA027J17.genome.CDS.1649,group00824
AAA027J17.genome.CDS.1648,group00764
AAA027J17.genome.CDS.1875,group03984
AAA027J17.genome.CDS.1504,group01055
AAA027J17.genome.CDS.1521,group00507
AAA027J17.genome.CDS.1833,group00013
AAA027J17.genome.CDS.1946,group00984
AAA027J17.genome.CDS.1082,group00707
AAA027J17.genome.CDS.1944,group01149
AAA027J17.genome.CDS.1080,group03979
AAA027J17.genome.CDS.1942,group00674
AAA027J17.genome.CDS.1943,group01123
AAA027J17.genome.CDS.1085,group02428
AAA027J17.genome.CDS.1941,group00249
AAA027J17.genome.CDS.1120,group01347
AAA027J17.genome.CDS.1502,group01211
AAA027J17.genome.CDS.1122,group00653
AAA027J17.genome.CDS.1123,group00821
AAA027J17.genome.CDS.1124,group03975
AAA027J17.genome.CDS.1125,group00597
AAA027J17.genome.CDS.1126,group00464
AAA027J17.genome.CDS.1251,group00783
AAA027J17.genome.CDS.2011,group00509
AAA027J17.genome.CDS.1190,group01440
AAA027J17.genome.CDS.1117,group01282
AAA027J17.genome.CDS.1501,group00579
AAA027J17.genome.CDS.1089,group01458
AAA027J17.genome.CDS.379,group01327
AAA027J17.genome.CDS.2010,group01184
AAA027J17.genome.CDS.1465,group01244
AAA027J17.genome.CDS.1396,group00780
AAA027J17.genome.CDS.1395,group00266
AAA027J17.genome.CDS.1466,group01201
AAA027J17.genome.CDS.1393,group01320
AAA027J17.genome.CDS.1460,group00069
AAA027J17.genome.CDS.1463,group00602
AAA027J17.genome.CDS.1390,group00043
AAA027J17.genome.CDS.1014,group00936
AAA027J17.genome.CDS.1015,group01147
AAA027J17.genome.CDS.1540,group01499
AAA027J17.genome.CDS.1541,group01460
AAA027J17.genome.CDS.1546,group00427
AAA027J17.genome.CDS.1547,group00469
AAA027J17.genome.CDS.1399,group01366
AAA027J17.genome.CDS.1545,group00635
AAA027J17.genome.CDS.2013,group00377
AAA027J17.genome.CDS.1498,group00774
AAA027J17.genome.CDS.403,group01188
AAA027J17.genome.CDS.1490,group01312
AAA027J17.genome.CDS.1491,group03995
AAA027J17.genome.CDS.1492,group01526
AAA027J17.genome.CDS.1493,group00393
AAA027J17.genome.CDS.1494,group00374
AAA027J17.genome.CDS.1495,group01027
AAA027J17.genome.CDS.1496,group00521
AAA027J17.genome.CDS.1497,group00689
AAA027J17.genome.CDS.1637,group00523
AAA027J17.genome.CDS.986,group04000
AAA027J17.genome.CDS.2012,group03993
AAA027J17.genome.CDS.1398,group00857
AAA027J17.genome.CDS.1269,group00727
AAA027J17.genome.CDS.1268,group00538
AAA027J17.genome.CDS.1017,group00018
AAA027J17.genome.CDS.1640,group00522
AAA027J17.genome.CDS.1263,group00077
AAA027J17.genome.CDS.1262,group00101
AAA027J17.genome.CDS.1261,group00196
AAA027J17.genome.CDS.1260,group00213
AAA027J17.genome.CDS.1267,group01068
AAA027J17.genome.CDS.1266,group00930
AAA027J17.genome.CDS.1265,group00931
AAA027J17.genome.CDS.1264,group00019
AAA027J17.genome.CDS.1453,group01193
AAA027J17.genome.CDS.1128,group00432
AAA027J17.genome.CDS.1158,group00274
AAA027J17.genome.CDS.1069,group00658
AAA027J17.genome.CDS.1301,group00908
AAA027J17.genome.CDS.1302,group00088
AAA027J17.genome.CDS.1303,group00887
AAA027J17.genome.CDS.1304,group00458
AAA027J17.genome.CDS.1305,group00312
AAA027J17.genome.CDS.1306,group00708
AAA027J17.genome.CDS.1307,group00244
AAA027J17.genome.CDS.1061,group01047
AAA027J17.genome.CDS.1309,group00145
AAA027J17.genome.CDS.1063,group01074
AAA027J17.genome.CDS.1062,group01770
AAA027J17.genome.CDS.1065,group00345
AAA027J17.genome.CDS.1064,group01373
AAA027J17.genome.CDS.1067,group00346
AAA027J17.genome.CDS.1859,group01011
AAA027J17.genome.CDS.1983,group00986
AAA027J17.genome.CDS.1601,group01611
AAA027J17.genome.CDS.1847,group00913
AAA027J17.genome.CDS.999,group00763
AAA027J17.genome.CDS.2040,group00370
AAA027J17.genome.CDS.1844,group00772
AAA027J17.genome.CDS.1843,group01518
AAA027J17.genome.CDS.2047,group04003
AAA027J17.genome.CDS.1841,group00109
AAA027J17.genome.CDS.2045,group00026
AAA027J17.genome.CDS.1986,group00325
AAA027J17.genome.CDS.2048,group00876
AAA027J17.genome.CDS.2049,group00276
AAA027J17.genome.CDS.1849,group01083
AAA027J17.genome.CDS.1848,group01021
AAA027J17.genome.CDS.1012,group00575
AAA027J17.genome.CDS.384,group03987
AAA027J17.genome.CDS.1947,group00016
AAA027J17.genome.CDS.1081,group02639
AAA027J17.genome.CDS.1769,group00587
AAA027J17.genome.CDS.1857,group00486
AAA027J17.genome.CDS.1087,group01114
AAA027J17.genome.CDS.1988,group00473
AAA027J17.genome.CDS.1013,group01118
AAA027J17.genome.CDS.1086,group00029
AAA027J17.genome.CDS.1762,group00955
AAA027J17.genome.CDS.1763,group00817
AAA027J17.genome.CDS.1760,group00929
AAA027J17.genome.CDS.1761,group00396
AAA027J17.genome.CDS.1766,group00135
AAA027J17.genome.CDS.1767,group00234
AAA027J17.genome.CDS.1764,group00978
AAA027J17.genome.CDS.1765,group01028
AAA027J17.genome.CDS.1768,group00305
AAA027J17.genome.CDS.1084,group02765
AAA027J17.genome.CDS.1355,group00972
AAA027J17.genome.CDS.1718,group00682
AAA027J17.genome.CDS.79,group01528
AAA027J17.genome.CDS.1164,group01168
AAA027J17.genome.CDS.1165,group00482
AAA027J17.genome.CDS.1166,group00357
AAA027J17.genome.CDS.1167,group01132
AAA027J17.genome.CDS.1609,group01235
AAA027J17.genome.CDS.1608,group01199
AAA027J17.genome.CDS.1162,group00151
AAA027J17.genome.CDS.1121,group00536
AAA027J17.genome.CDS.1605,group00392
AAA027J17.genome.CDS.1604,group00012
AAA027J17.genome.CDS.1607,group00970
AAA027J17.genome.CDS.1606,group00275
AAA027J17.genome.CDS.1168,group01248
AAA027J17.genome.CDS.1600,group00699
AAA027J17.genome.CDS.1603,group00453
AAA027J17.genome.CDS.1602,group00471
AAA027J17.genome.CDS.1298,group00030
AAA027J17.genome.CDS.1088,group01725
AAA027J17.genome.CDS.1948,group00004
AAA027J17.genome.CDS.1949,group00587
AAA027J17.genome.CDS.1331,group01034
AAA027J17.genome.CDS.1111,group01330
AAA027J17.genome.CDS.1110,group01269
AAA027J17.genome.CDS.1113,group01057
AAA027J17.genome.CDS.1112,group01262
AAA027J17.genome.CDS.1115,group01399
AAA027J17.genome.CDS.1503,group00259
AAA027J17.genome.CDS.1500,group00596
AAA027J17.genome.CDS.1116,group01382
AAA027J17.genome.CDS.1119,group00598
AAA027J17.genome.CDS.1118,group00785
AAA027J17.genome.CDS.1508,group00419
AAA027J17.genome.CDS.1509,group00148
AAA027J17.genome.CDS.1940,group00407
AAA027J17.genome.CDS.1939,group00218
AAA027J17.genome.CDS.1938,group00607
AAA027J17.genome.CDS.1937,group01093
AAA027J17.genome.CDS.1936,group00655
AAA027J17.genome.CDS.1935,group03985
AAA027J17.genome.CDS.1934,group00100
AAA027J17.genome.CDS.1933,group00099
AAA027J17.genome.CDS.1932,group00700
AAA027J17.genome.CDS.1931,group00566
AAA027J17.genome.CDS.1930,group00675
AAA027J17.genome.CDS.1982,group00181
AAA027J17.genome.CDS.1173,group01615
AAA027J17.genome.CDS.1980,group00794
AAA027J17.genome.CDS.1981,group00696
AAA027J17.genome.CDS.1599,group00674
AAA027J17.genome.CDS.1987,group00997
AAA027J17.genome.CDS.1984,group00524
AAA027J17.genome.CDS.1679,group00669
AAA027J17.genome.CDS.1595,group01195
AAA027J17.genome.CDS.1594,group00477
AAA027J17.genome.CDS.1597,group00426
AAA027J17.genome.CDS.1596,group00318
AAA027J17.genome.CDS.1591,group00529
AAA027J17.genome.CDS.1590,group00573
AAA027J17.genome.CDS.1593,group00696
AAA027J17.genome.CDS.1592,group00038
AAA027J17.genome.CDS.1696,group00165
AAA027J17.genome.CDS.1697,group00411
AAA027J17.genome.CDS.1694,group00070
AAA027J17.genome.CDS.1695,group00054
AAA027J17.genome.CDS.1692,group00262
AAA027J17.genome.CDS.1693,group00851
AAA027J17.genome.CDS.1690,group00452
AAA027J17.genome.CDS.1691,group00028
AAA027J17.genome.CDS.1177,group02766
AAA027J17.genome.CDS.1215,group00483
AAA027J17.genome.CDS.1698,group00369
AAA027J17.genome.CDS.1699,group00399
