bin_7_acI-B2.genome.CDS.1369,group00700
bin_7_acI-B2.genome.CDS.2872,group01137
bin_7_acI-B2.genome.CDS.2873,group00487
bin_7_acI-B2.genome.CDS.2870,group00275
bin_7_acI-B2.genome.CDS.2871,group04903
bin_7_acI-B2.genome.CDS.2876,group04902
bin_7_acI-B2.genome.CDS.2877,group01136
bin_7_acI-B2.genome.CDS.2874,group01082
bin_7_acI-B2.genome.CDS.2875,group00650
bin_7_acI-B2.genome.CDS.1253,group04958
bin_7_acI-B2.genome.CDS.1252,group00481
bin_7_acI-B2.genome.CDS.2878,group01346
bin_7_acI-B2.genome.CDS.2879,group01054
bin_7_acI-B2.genome.CDS.1704,group04983
bin_7_acI-B2.genome.CDS.2719,group00042
bin_7_acI-B2.genome.CDS.3529,group02916
bin_7_acI-B2.genome.CDS.3528,group02762
bin_7_acI-B2.genome.CDS.3527,group02293
bin_7_acI-B2.genome.CDS.3526,group01787
bin_7_acI-B2.genome.CDS.3525,group01636
bin_7_acI-B2.genome.CDS.3627,group00307
bin_7_acI-B2.genome.CDS.3523,group01960
bin_7_acI-B2.genome.CDS.3522,group01582
bin_7_acI-B2.genome.CDS.3521,group02285
bin_7_acI-B2.genome.CDS.3520,group01337
bin_7_acI-B2.genome.CDS.73,group00476
bin_7_acI-B2.genome.CDS.2716,group00746
bin_7_acI-B2.genome.CDS.1386,group00041
bin_7_acI-B2.genome.CDS.1383,group00166
bin_7_acI-B2.genome.CDS.1382,group00757
bin_7_acI-B2.genome.CDS.3544,group00074
bin_7_acI-B2.genome.CDS.3839,group01143
bin_7_acI-B2.genome.CDS.3838,group00105
bin_7_acI-B2.genome.CDS.3389,group00636
bin_7_acI-B2.genome.CDS.3388,group00056
bin_7_acI-B2.genome.CDS.3831,group00866
bin_7_acI-B2.genome.CDS.3830,group04984
bin_7_acI-B2.genome.CDS.3381,group00062
bin_7_acI-B2.genome.CDS.3832,group01967
bin_7_acI-B2.genome.CDS.3835,group01238
bin_7_acI-B2.genome.CDS.3386,group00570
bin_7_acI-B2.genome.CDS.3385,group00509
bin_7_acI-B2.genome.CDS.3836,group00230
bin_7_acI-B2.genome.CDS.2010,group00674
bin_7_acI-B2.genome.CDS.2011,group01252
bin_7_acI-B2.genome.CDS.2012,group01419
bin_7_acI-B2.genome.CDS.2013,group01376
bin_7_acI-B2.genome.CDS.2014,group01377
bin_7_acI-B2.genome.CDS.2015,group01378
bin_7_acI-B2.genome.CDS.2016,group02076
bin_7_acI-B2.genome.CDS.2017,group02077
bin_7_acI-B2.genome.CDS.2018,group01580
bin_7_acI-B2.genome.CDS.2019,group02270
bin_7_acI-B2.genome.CDS.2128,group00397
bin_7_acI-B2.genome.CDS.2129,group04823
bin_7_acI-B2.genome.CDS.2124,group00486
bin_7_acI-B2.genome.CDS.2125,group04963
bin_7_acI-B2.genome.CDS.2126,group01755
bin_7_acI-B2.genome.CDS.2127,group01943
bin_7_acI-B2.genome.CDS.2120,group02164
bin_7_acI-B2.genome.CDS.2121,group04944
bin_7_acI-B2.genome.CDS.2122,group04964
bin_7_acI-B2.genome.CDS.2123,group00390
bin_7_acI-B2.genome.CDS.2461,group04862
bin_7_acI-B2.genome.CDS.2460,group04863
bin_7_acI-B2.genome.CDS.2463,group02987
bin_7_acI-B2.genome.CDS.2462,group01815
bin_7_acI-B2.genome.CDS.2465,group01153
bin_7_acI-B2.genome.CDS.2464,group02988
bin_7_acI-B2.genome.CDS.2467,group02938
bin_7_acI-B2.genome.CDS.2466,group01152
bin_7_acI-B2.genome.CDS.2469,group01374
bin_7_acI-B2.genome.CDS.2468,group01315
bin_7_acI-B2.genome.CDS.237,group01029
bin_7_acI-B2.genome.CDS.234,group00864
bin_7_acI-B2.genome.CDS.127,group01047
bin_7_acI-B2.genome.CDS.126,group04834
bin_7_acI-B2.genome.CDS.129,group01074
bin_7_acI-B2.genome.CDS.128,group01700
bin_7_acI-B2.genome.CDS.2267,group00337
bin_7_acI-B2.genome.CDS.2266,group00037
bin_7_acI-B2.genome.CDS.2265,group00792
bin_7_acI-B2.genome.CDS.2264,group00643
bin_7_acI-B2.genome.CDS.2263,group04849
bin_7_acI-B2.genome.CDS.2262,group04848
bin_7_acI-B2.genome.CDS.2261,group00353
bin_7_acI-B2.genome.CDS.2260,group00308
bin_7_acI-B2.genome.CDS.2269,group01081
bin_7_acI-B2.genome.CDS.2268,group01030
bin_7_acI-B2.genome.CDS.3026,group02944
bin_7_acI-B2.genome.CDS.3027,group02081
bin_7_acI-B2.genome.CDS.3024,group00222
bin_7_acI-B2.genome.CDS.3025,group02272
bin_7_acI-B2.genome.CDS.3022,group01383
bin_7_acI-B2.genome.CDS.3023,group04918
bin_7_acI-B2.genome.CDS.3020,group01494
bin_7_acI-B2.genome.CDS.3021,group01382
bin_7_acI-B2.genome.CDS.3028,group04917
bin_7_acI-B2.genome.CDS.3029,group04921
bin_7_acI-B2.genome.CDS.835,group00932
bin_7_acI-B2.genome.CDS.344,group00476
bin_7_acI-B2.genome.CDS.2393,group02427
bin_7_acI-B2.genome.CDS.2392,group01003
bin_7_acI-B2.genome.CDS.2391,group02160
bin_7_acI-B2.genome.CDS.2390,group00073
bin_7_acI-B2.genome.CDS.2397,group01469
bin_7_acI-B2.genome.CDS.2396,group04854
bin_7_acI-B2.genome.CDS.2394,group01586
bin_7_acI-B2.genome.CDS.2399,group02986
bin_7_acI-B2.genome.CDS.2398,group01726
bin_7_acI-B2.genome.CDS.2489,group01639
bin_7_acI-B2.genome.CDS.2488,group04866
bin_7_acI-B2.genome.CDS.2487,group01584
bin_7_acI-B2.genome.CDS.2486,group01007
bin_7_acI-B2.genome.CDS.2485,group00910
bin_7_acI-B2.genome.CDS.2484,group00686
bin_7_acI-B2.genome.CDS.2483,group01080
bin_7_acI-B2.genome.CDS.2482,group00909
bin_7_acI-B2.genome.CDS.2481,group00117
bin_7_acI-B2.genome.CDS.2480,group04865
bin_7_acI-B2.genome.CDS.3732,group00441
bin_7_acI-B2.genome.CDS.2648,group00764
bin_7_acI-B2.genome.CDS.3730,group00332
bin_7_acI-B2.genome.CDS.3731,group00331
bin_7_acI-B2.genome.CDS.3736,group00769
bin_7_acI-B2.genome.CDS.3737,group00290
bin_7_acI-B2.genome.CDS.3734,group00811
bin_7_acI-B2.genome.CDS.3735,group00964
bin_7_acI-B2.genome.CDS.2641,group00366
bin_7_acI-B2.genome.CDS.2640,group00252
bin_7_acI-B2.genome.CDS.3738,group04974
bin_7_acI-B2.genome.CDS.3739,group02277
bin_7_acI-B2.genome.CDS.2645,group00844
bin_7_acI-B2.genome.CDS.2644,group04883
bin_7_acI-B2.genome.CDS.2647,group00824
bin_7_acI-B2.genome.CDS.2646,group00820
bin_7_acI-B2.genome.CDS.3853,group04994
bin_7_acI-B2.genome.CDS.3852,group04995
bin_7_acI-B2.genome.CDS.3327,group01090
bin_7_acI-B2.genome.CDS.3326,group01630
bin_7_acI-B2.genome.CDS.2735,group01071
bin_7_acI-B2.genome.CDS.2734,group02538
bin_7_acI-B2.genome.CDS.2737,group01565
bin_7_acI-B2.genome.CDS.2736,group01804
bin_7_acI-B2.genome.CDS.2731,group01537
bin_7_acI-B2.genome.CDS.2730,group01286
bin_7_acI-B2.genome.CDS.2733,group00629
bin_7_acI-B2.genome.CDS.2732,group00681
bin_7_acI-B2.genome.CDS.2739,group00339
bin_7_acI-B2.genome.CDS.2738,group01581
bin_7_acI-B2.genome.CDS.3608,group00710
bin_7_acI-B2.genome.CDS.3606,group00709
bin_7_acI-B2.genome.CDS.3607,group01606
bin_7_acI-B2.genome.CDS.3604,group00945
bin_7_acI-B2.genome.CDS.3605,group00944
bin_7_acI-B2.genome.CDS.3602,group01236
bin_7_acI-B2.genome.CDS.3603,group00755
bin_7_acI-B2.genome.CDS.3600,group00557
bin_7_acI-B2.genome.CDS.3601,group00558
bin_7_acI-B2.genome.CDS.3062,group00195
bin_7_acI-B2.genome.CDS.3518,group01279
bin_7_acI-B2.genome.CDS.3519,group01702
bin_7_acI-B2.genome.CDS.3188,group01109
bin_7_acI-B2.genome.CDS.1460,group02075
bin_7_acI-B2.genome.CDS.3513,group01703
bin_7_acI-B2.genome.CDS.3510,group01046
bin_7_acI-B2.genome.CDS.3511,group00510
bin_7_acI-B2.genome.CDS.3516,group01536
bin_7_acI-B2.genome.CDS.3517,group01583
bin_7_acI-B2.genome.CDS.3514,group01637
bin_7_acI-B2.genome.CDS.3515,group01249
bin_7_acI-B2.genome.CDS.1602,group00599
bin_7_acI-B2.genome.CDS.3183,group02516
bin_7_acI-B2.genome.CDS.2512,group02983
bin_7_acI-B2.genome.CDS.2869,group04904
bin_7_acI-B2.genome.CDS.2868,group00213
bin_7_acI-B2.genome.CDS.2865,group01231
bin_7_acI-B2.genome.CDS.2864,group00793
bin_7_acI-B2.genome.CDS.2867,group00371
bin_7_acI-B2.genome.CDS.2866,group00247
bin_7_acI-B2.genome.CDS.2861,group00583
bin_7_acI-B2.genome.CDS.2860,group00319
bin_7_acI-B2.genome.CDS.2863,group00496
bin_7_acI-B2.genome.CDS.2862,group00001
bin_7_acI-B2.genome.CDS.1114,group04939
bin_7_acI-B2.genome.CDS.1113,group04940
bin_7_acI-B2.genome.CDS.4012,group01487
bin_7_acI-B2.genome.CDS.2006,group02294
bin_7_acI-B2.genome.CDS.2005,group01579
bin_7_acI-B2.genome.CDS.4013,group01287
bin_7_acI-B2.genome.CDS.2008,group02295
bin_7_acI-B2.genome.CDS.4010,group00027
bin_7_acI-B2.genome.CDS.3282,group01143
bin_7_acI-B2.genome.CDS.3283,group00105
bin_7_acI-B2.genome.CDS.3280,group02517
bin_7_acI-B2.genome.CDS.3281,group00956
bin_7_acI-B2.genome.CDS.3286,group00230
bin_7_acI-B2.genome.CDS.3287,group04956
bin_7_acI-B2.genome.CDS.3284,group00105
bin_7_acI-B2.genome.CDS.3285,group00365
bin_7_acI-B2.genome.CDS.2964,group00093
bin_7_acI-B2.genome.CDS.3288,group00368
bin_7_acI-B2.genome.CDS.3289,group04955
bin_7_acI-B2.genome.CDS.4017,group01205
bin_7_acI-B2.genome.CDS.4014,group01786
bin_7_acI-B2.genome.CDS.4015,group01707
bin_7_acI-B2.genome.CDS.2139,group01581
bin_7_acI-B2.genome.CDS.2138,group04835
bin_7_acI-B2.genome.CDS.2137,group00821
bin_7_acI-B2.genome.CDS.2136,group00508
bin_7_acI-B2.genome.CDS.2135,group00020
bin_7_acI-B2.genome.CDS.2134,group00395
bin_7_acI-B2.genome.CDS.2133,group01225
bin_7_acI-B2.genome.CDS.2132,group00021
bin_7_acI-B2.genome.CDS.2131,group00653
bin_7_acI-B2.genome.CDS.2130,group01274
bin_7_acI-B2.genome.CDS.227,group00476
bin_7_acI-B2.genome.CDS.130,group04833
bin_7_acI-B2.genome.CDS.2252,group00276
bin_7_acI-B2.genome.CDS.2253,group00677
bin_7_acI-B2.genome.CDS.2250,group00068
bin_7_acI-B2.genome.CDS.3358,group00020
bin_7_acI-B2.genome.CDS.2257,group00370
bin_7_acI-B2.genome.CDS.3354,group00029
bin_7_acI-B2.genome.CDS.3355,group01044
bin_7_acI-B2.genome.CDS.3356,group00395
bin_7_acI-B2.genome.CDS.2259,group00025
bin_7_acI-B2.genome.CDS.3350,group04959
bin_7_acI-B2.genome.CDS.3351,group00628
bin_7_acI-B2.genome.CDS.3352,group01759
bin_7_acI-B2.genome.CDS.3353,group01661
bin_7_acI-B2.genome.CDS.3031,group00503
bin_7_acI-B2.genome.CDS.3033,group00254
bin_7_acI-B2.genome.CDS.3032,group00094
bin_7_acI-B2.genome.CDS.3035,group00191
bin_7_acI-B2.genome.CDS.3034,group00081
bin_7_acI-B2.genome.CDS.3037,group00539
bin_7_acI-B2.genome.CDS.3036,group00142
bin_7_acI-B2.genome.CDS.3039,group00149
bin_7_acI-B2.genome.CDS.3038,group00253
bin_7_acI-B2.genome.CDS.351,group00864
bin_7_acI-B2.genome.CDS.354,group01029
bin_7_acI-B2.genome.CDS.3729,group00360
bin_7_acI-B2.genome.CDS.3728,group00079
bin_7_acI-B2.genome.CDS.3725,group00144
bin_7_acI-B2.genome.CDS.3724,group00293
bin_7_acI-B2.genome.CDS.3727,group00498
bin_7_acI-B2.genome.CDS.3726,group00377
bin_7_acI-B2.genome.CDS.3721,group00313
bin_7_acI-B2.genome.CDS.3720,group00858
bin_7_acI-B2.genome.CDS.3723,group00314
bin_7_acI-B2.genome.CDS.3722,group00659
bin_7_acI-B2.genome.CDS.3808,group02084
bin_7_acI-B2.genome.CDS.2740,group01125
bin_7_acI-B2.genome.CDS.2741,group01102
bin_7_acI-B2.genome.CDS.2742,group01047
bin_7_acI-B2.genome.CDS.2743,group01700
bin_7_acI-B2.genome.CDS.2744,group01074
bin_7_acI-B2.genome.CDS.2745,group01373
bin_7_acI-B2.genome.CDS.2746,group00345
bin_7_acI-B2.genome.CDS.2747,group00346
bin_7_acI-B2.genome.CDS.2748,group00347
bin_7_acI-B2.genome.CDS.2749,group00821
bin_7_acI-B2.genome.CDS.3619,group00596
bin_7_acI-B2.genome.CDS.3618,group00734
bin_7_acI-B2.genome.CDS.3611,group00617
bin_7_acI-B2.genome.CDS.3610,group00551
bin_7_acI-B2.genome.CDS.3613,group00393
bin_7_acI-B2.genome.CDS.3615,group01027
bin_7_acI-B2.genome.CDS.3614,group00374
bin_7_acI-B2.genome.CDS.3617,group00689
bin_7_acI-B2.genome.CDS.3359,group01577
bin_7_acI-B2.genome.CDS.3505,group00912
bin_7_acI-B2.genome.CDS.3504,group00676
bin_7_acI-B2.genome.CDS.3507,group00055
bin_7_acI-B2.genome.CDS.3357,group02763
bin_7_acI-B2.genome.CDS.3501,group01083
bin_7_acI-B2.genome.CDS.3500,group01021
bin_7_acI-B2.genome.CDS.3503,group01008
bin_7_acI-B2.genome.CDS.3502,group00835
bin_7_acI-B2.genome.CDS.3509,group01253
bin_7_acI-B2.genome.CDS.3508,group00046
bin_7_acI-B2.genome.CDS.2924,group02085
bin_7_acI-B2.genome.CDS.2925,group01784
bin_7_acI-B2.genome.CDS.2926,group00843
bin_7_acI-B2.genome.CDS.2927,group00435
bin_7_acI-B2.genome.CDS.2920,group00980
bin_7_acI-B2.genome.CDS.2921,group01344
bin_7_acI-B2.genome.CDS.2922,group02284
bin_7_acI-B2.genome.CDS.2923,group00402
bin_7_acI-B2.genome.CDS.2928,group01338
bin_7_acI-B2.genome.CDS.2929,group01785
bin_7_acI-B2.genome.CDS.2818,group02151
bin_7_acI-B2.genome.CDS.2810,group02337
bin_7_acI-B2.genome.CDS.2811,group04894
bin_7_acI-B2.genome.CDS.2812,group02757
bin_7_acI-B2.genome.CDS.2813,group04893
bin_7_acI-B2.genome.CDS.2814,group02420
bin_7_acI-B2.genome.CDS.2815,group04892
bin_7_acI-B2.genome.CDS.2816,group02391
bin_7_acI-B2.genome.CDS.2817,group04891
bin_7_acI-B2.genome.CDS.2038,group00886
bin_7_acI-B2.genome.CDS.2039,group00938
bin_7_acI-B2.genome.CDS.2036,group02271
bin_7_acI-B2.genome.CDS.2037,group01343
bin_7_acI-B2.genome.CDS.2034,group01580
bin_7_acI-B2.genome.CDS.2035,group02270
bin_7_acI-B2.genome.CDS.2032,group02076
bin_7_acI-B2.genome.CDS.2033,group02077
bin_7_acI-B2.genome.CDS.2030,group00711
bin_7_acI-B2.genome.CDS.2031,group00760
bin_7_acI-B2.genome.CDS.827,group02536
bin_7_acI-B2.genome.CDS.3943,group00524
bin_7_acI-B2.genome.CDS.3942,group00112
bin_7_acI-B2.genome.CDS.2142,group01102
bin_7_acI-B2.genome.CDS.3299,group01134
bin_7_acI-B2.genome.CDS.3298,group01026
bin_7_acI-B2.genome.CDS.3295,group00544
bin_7_acI-B2.genome.CDS.3294,group00592
bin_7_acI-B2.genome.CDS.3297,group00357
bin_7_acI-B2.genome.CDS.3296,group00163
bin_7_acI-B2.genome.CDS.3291,group01877
bin_7_acI-B2.genome.CDS.3290,group02088
bin_7_acI-B2.genome.CDS.3293,group00116
bin_7_acI-B2.genome.CDS.3292,group00639
bin_7_acI-B2.genome.CDS.2108,group01312
bin_7_acI-B2.genome.CDS.2109,group01283
bin_7_acI-B2.genome.CDS.2102,group01230
bin_7_acI-B2.genome.CDS.2103,group01184
bin_7_acI-B2.genome.CDS.2100,group00937
bin_7_acI-B2.genome.CDS.2101,group00167
bin_7_acI-B2.genome.CDS.2106,group04915
bin_7_acI-B2.genome.CDS.2107,group00958
bin_7_acI-B2.genome.CDS.2105,group00369
bin_7_acI-B2.genome.CDS.2249,group00047
bin_7_acI-B2.genome.CDS.2248,group00189
bin_7_acI-B2.genome.CDS.2245,group00571
bin_7_acI-B2.genome.CDS.2244,group00143
bin_7_acI-B2.genome.CDS.2246,group00456
bin_7_acI-B2.genome.CDS.2241,group02082
bin_7_acI-B2.genome.CDS.2240,group00591
bin_7_acI-B2.genome.CDS.2243,group00485
bin_7_acI-B2.genome.CDS.2242,group00630
bin_7_acI-B2.genome.CDS.3390,group00011
bin_7_acI-B2.genome.CDS.3827,group01704
bin_7_acI-B2.genome.CDS.580,group04881
bin_7_acI-B2.genome.CDS.3392,group00340
bin_7_acI-B2.genome.CDS.3825,group00010
bin_7_acI-B2.genome.CDS.3822,group02158
bin_7_acI-B2.genome.CDS.3823,group01931
bin_7_acI-B2.genome.CDS.3820,group04985
bin_7_acI-B2.genome.CDS.3349,group00987
bin_7_acI-B2.genome.CDS.3348,group02388
bin_7_acI-B2.genome.CDS.3347,group00038
bin_7_acI-B2.genome.CDS.3346,group01292
bin_7_acI-B2.genome.CDS.3345,group04960
bin_7_acI-B2.genome.CDS.3397,group01141
bin_7_acI-B2.genome.CDS.3343,group01210
bin_7_acI-B2.genome.CDS.3342,group04957
bin_7_acI-B2.genome.CDS.3341,group00996
bin_7_acI-B2.genome.CDS.3340,group00185
bin_7_acI-B2.genome.CDS.3406,group00736
bin_7_acI-B2.genome.CDS.3758,group00766
bin_7_acI-B2.genome.CDS.3759,group00260
bin_7_acI-B2.genome.CDS.3750,group00146
bin_7_acI-B2.genome.CDS.3751,group00065
bin_7_acI-B2.genome.CDS.3752,group00338
bin_7_acI-B2.genome.CDS.3753,group00258
bin_7_acI-B2.genome.CDS.3754,group00128
bin_7_acI-B2.genome.CDS.3755,group00890
bin_7_acI-B2.genome.CDS.3756,group00375
bin_7_acI-B2.genome.CDS.3757,group00044
bin_7_acI-B2.genome.CDS.3198,group02509
bin_7_acI-B2.genome.CDS.3199,group01690
bin_7_acI-B2.genome.CDS.3196,group02287
bin_7_acI-B2.genome.CDS.3197,group01068
bin_7_acI-B2.genome.CDS.3194,group01181
bin_7_acI-B2.genome.CDS.3195,group04932
bin_7_acI-B2.genome.CDS.3193,group01201
bin_7_acI-B2.genome.CDS.3190,group00454
bin_7_acI-B2.genome.CDS.2753,group00838
bin_7_acI-B2.genome.CDS.2752,group00021
bin_7_acI-B2.genome.CDS.2751,group04888
bin_7_acI-B2.genome.CDS.2750,group00020
bin_7_acI-B2.genome.CDS.2757,group00678
bin_7_acI-B2.genome.CDS.2756,group01274
bin_7_acI-B2.genome.CDS.2755,group00653
bin_7_acI-B2.genome.CDS.2754,group01124
bin_7_acI-B2.genome.CDS.2759,group01325
bin_7_acI-B2.genome.CDS.2758,group00785
bin_7_acI-B2.genome.CDS.2068,group01530
bin_7_acI-B2.genome.CDS.3411,group00758
bin_7_acI-B2.genome.CDS.3410,group00420
bin_7_acI-B2.genome.CDS.3570,group00153
bin_7_acI-B2.genome.CDS.3571,group00713
bin_7_acI-B2.genome.CDS.3572,group02512
bin_7_acI-B2.genome.CDS.3573,group00661
bin_7_acI-B2.genome.CDS.3574,group02513
bin_7_acI-B2.genome.CDS.3575,group00795
bin_7_acI-B2.genome.CDS.3576,group01186
bin_7_acI-B2.genome.CDS.3577,group01185
bin_7_acI-B2.genome.CDS.3578,group00981
bin_7_acI-B2.genome.CDS.3579,group00071
bin_7_acI-B2.genome.CDS.2937,group01205
bin_7_acI-B2.genome.CDS.2936,group01159
bin_7_acI-B2.genome.CDS.2935,group01707
bin_7_acI-B2.genome.CDS.2934,group01786
bin_7_acI-B2.genome.CDS.2933,group01287
bin_7_acI-B2.genome.CDS.2932,group01487
bin_7_acI-B2.genome.CDS.2931,group01495
bin_7_acI-B2.genome.CDS.2930,group00027
bin_7_acI-B2.genome.CDS.2939,group01642
bin_7_acI-B2.genome.CDS.2938,group00687
bin_7_acI-B2.genome.CDS.2809,group00954
bin_7_acI-B2.genome.CDS.2808,group01995
bin_7_acI-B2.genome.CDS.3408,group00385
bin_7_acI-B2.genome.CDS.3409,group00233
bin_7_acI-B2.genome.CDS.2803,group02275
bin_7_acI-B2.genome.CDS.3405,group00798
bin_7_acI-B2.genome.CDS.2801,group00702
bin_7_acI-B2.genome.CDS.3407,group00889
bin_7_acI-B2.genome.CDS.2807,group04895
bin_7_acI-B2.genome.CDS.3401,group00475
bin_7_acI-B2.genome.CDS.2805,group00939
bin_7_acI-B2.genome.CDS.2804,group01158
bin_7_acI-B2.genome.CDS.3045,group01184
bin_7_acI-B2.genome.CDS.2029,group01203
bin_7_acI-B2.genome.CDS.2028,group01701
bin_7_acI-B2.genome.CDS.2021,group01343
bin_7_acI-B2.genome.CDS.2020,group02271
bin_7_acI-B2.genome.CDS.2023,group00938
bin_7_acI-B2.genome.CDS.2022,group00886
bin_7_acI-B2.genome.CDS.2025,group00033
bin_7_acI-B2.genome.CDS.2024,group00479
bin_7_acI-B2.genome.CDS.2027,group01131
bin_7_acI-B2.genome.CDS.2026,group00950
bin_7_acI-B2.genome.CDS.3996,group02283
bin_7_acI-B2.genome.CDS.3997,group02542
bin_7_acI-B2.genome.CDS.3994,group00996
bin_7_acI-B2.genome.CDS.3995,group00185
bin_7_acI-B2.genome.CDS.3992,group00270
bin_7_acI-B2.genome.CDS.3993,group00726
bin_7_acI-B2.genome.CDS.3990,group00788
bin_7_acI-B2.genome.CDS.3991,group00911
bin_7_acI-B2.genome.CDS.3998,group00941
bin_7_acI-B2.genome.CDS.3999,group01864
bin_7_acI-B2.genome.CDS.3978,group00392
bin_7_acI-B2.genome.CDS.3979,group00012
bin_7_acI-B2.genome.CDS.3974,group00657
bin_7_acI-B2.genome.CDS.3975,group00299
bin_7_acI-B2.genome.CDS.3976,group00106
bin_7_acI-B2.genome.CDS.3977,group00104
bin_7_acI-B2.genome.CDS.3970,group00362
bin_7_acI-B2.genome.CDS.3971,group00257
bin_7_acI-B2.genome.CDS.3972,group00381
bin_7_acI-B2.genome.CDS.3973,group00136
bin_7_acI-B2.genome.CDS.2115,group01959
bin_7_acI-B2.genome.CDS.2114,group02079
bin_7_acI-B2.genome.CDS.2117,group01381
bin_7_acI-B2.genome.CDS.2116,group02080
bin_7_acI-B2.genome.CDS.2111,group01781
bin_7_acI-B2.genome.CDS.2110,group01493
bin_7_acI-B2.genome.CDS.2113,group01380
bin_7_acI-B2.genome.CDS.2112,group01535
bin_7_acI-B2.genome.CDS.2119,group01134
bin_7_acI-B2.genome.CDS.2118,group01052
bin_7_acI-B2.genome.CDS.2238,group01007
bin_7_acI-B2.genome.CDS.2239,group01584
bin_7_acI-B2.genome.CDS.2230,group02081
bin_7_acI-B2.genome.CDS.2231,group04845
bin_7_acI-B2.genome.CDS.2232,group00869
bin_7_acI-B2.genome.CDS.2233,group00117
bin_7_acI-B2.genome.CDS.2234,group00909
bin_7_acI-B2.genome.CDS.2235,group01080
bin_7_acI-B2.genome.CDS.2236,group00686
bin_7_acI-B2.genome.CDS.2237,group00910
bin_7_acI-B2.genome.CDS.3378,group00122
bin_7_acI-B2.genome.CDS.3379,group00098
bin_7_acI-B2.genome.CDS.3372,group04962
bin_7_acI-B2.genome.CDS.3373,group04961
bin_7_acI-B2.genome.CDS.3370,group01967
bin_7_acI-B2.genome.CDS.3371,group02088
bin_7_acI-B2.genome.CDS.3376,group00172
bin_7_acI-B2.genome.CDS.3377,group00115
bin_7_acI-B2.genome.CDS.3374,group00116
bin_7_acI-B2.genome.CDS.3375,group00592
bin_7_acI-B2.genome.CDS.2586,group00953
bin_7_acI-B2.genome.CDS.2587,group02596
bin_7_acI-B2.genome.CDS.2584,group00672
bin_7_acI-B2.genome.CDS.2585,group01554
bin_7_acI-B2.genome.CDS.2582,group01197
bin_7_acI-B2.genome.CDS.2583,group02241
bin_7_acI-B2.genome.CDS.2580,group01364
bin_7_acI-B2.genome.CDS.2581,group01453
bin_7_acI-B2.genome.CDS.2588,group02110
bin_7_acI-B2.genome.CDS.2589,group04878
bin_7_acI-B2.genome.CDS.371,group01861
bin_7_acI-B2.genome.CDS.206,group02272
bin_7_acI-B2.genome.CDS.751,group01049
bin_7_acI-B2.genome.CDS.2344,group02742
bin_7_acI-B2.genome.CDS.2345,group00846
bin_7_acI-B2.genome.CDS.2346,group01300
bin_7_acI-B2.genome.CDS.2347,group01783
bin_7_acI-B2.genome.CDS.2340,group00453
bin_7_acI-B2.genome.CDS.2342,group01420
bin_7_acI-B2.genome.CDS.2348,group04853
bin_7_acI-B2.genome.CDS.2349,group00723
bin_7_acI-B2.genome.CDS.3749,group00126
bin_7_acI-B2.genome.CDS.3748,group00013
bin_7_acI-B2.genome.CDS.3743,group01200
bin_7_acI-B2.genome.CDS.3742,group01862
bin_7_acI-B2.genome.CDS.3741,group02537
bin_7_acI-B2.genome.CDS.3740,group02083
bin_7_acI-B2.genome.CDS.3747,group00186
bin_7_acI-B2.genome.CDS.3746,group00813
bin_7_acI-B2.genome.CDS.3745,group00102
bin_7_acI-B2.genome.CDS.3744,group01245
bin_7_acI-B2.genome.CDS.3189,group00384
bin_7_acI-B2.genome.CDS.2693,group01240
bin_7_acI-B2.genome.CDS.2690,group02513
bin_7_acI-B2.genome.CDS.2691,group00045
bin_7_acI-B2.genome.CDS.2696,group00917
bin_7_acI-B2.genome.CDS.2697,group00683
bin_7_acI-B2.genome.CDS.2694,group00914
bin_7_acI-B2.genome.CDS.2695,group00017
bin_7_acI-B2.genome.CDS.3181,group04937
bin_7_acI-B2.genome.CDS.3180,group04938
bin_7_acI-B2.genome.CDS.2698,group00539
bin_7_acI-B2.genome.CDS.3182,group04936
bin_7_acI-B2.genome.CDS.3185,group02087
bin_7_acI-B2.genome.CDS.3184,group02516
bin_7_acI-B2.genome.CDS.3187,group04935
bin_7_acI-B2.genome.CDS.3186,group02394
bin_7_acI-B2.genome.CDS.2568,group00866
bin_7_acI-B2.genome.CDS.2569,group01603
bin_7_acI-B2.genome.CDS.2564,group04875
bin_7_acI-B2.genome.CDS.2565,group01377
bin_7_acI-B2.genome.CDS.2566,group01378
bin_7_acI-B2.genome.CDS.2567,group04880
bin_7_acI-B2.genome.CDS.2560,group00674
bin_7_acI-B2.genome.CDS.2561,group01252
bin_7_acI-B2.genome.CDS.2562,group01419
bin_7_acI-B2.genome.CDS.2563,group01376
bin_7_acI-B2.genome.CDS.2768,group00220
bin_7_acI-B2.genome.CDS.2769,group00459
bin_7_acI-B2.genome.CDS.2766,group00251
bin_7_acI-B2.genome.CDS.2767,group00287
bin_7_acI-B2.genome.CDS.2764,group01869
bin_7_acI-B2.genome.CDS.2765,group00043
bin_7_acI-B2.genome.CDS.2762,group01387
bin_7_acI-B2.genome.CDS.2763,group01299
bin_7_acI-B2.genome.CDS.2760,group01410
bin_7_acI-B2.genome.CDS.2761,group01320
bin_7_acI-B2.genome.CDS.3563,group00038
bin_7_acI-B2.genome.CDS.3562,group00529
bin_7_acI-B2.genome.CDS.3561,group02511
bin_7_acI-B2.genome.CDS.3567,group00140
bin_7_acI-B2.genome.CDS.3566,group00026
bin_7_acI-B2.genome.CDS.3565,group00203
bin_7_acI-B2.genome.CDS.3564,group00794
