AAA028A23.genome.CDS.1185,group00380
AAA028A23.genome.CDS.1365,group00262
AAA028A23.genome.CDS.1364,group00851
AAA028A23.genome.CDS.1367,group00452
AAA028A23.genome.CDS.1366,group00028
AAA028A23.genome.CDS.1369,group00211
AAA028A23.genome.CDS.1368,group00915
AAA028A23.genome.CDS.830,group01356
AAA028A23.genome.CDS.1721,group02797
AAA028A23.genome.CDS.1720,group00482
AAA028A23.genome.CDS.1723,group02430
AAA028A23.genome.CDS.1722,group04290
AAA028A23.genome.CDS.1725,group00453
AAA028A23.genome.CDS.1724,group00574
AAA028A23.genome.CDS.1727,group00277
AAA028A23.genome.CDS.1726,group01005
AAA028A23.genome.CDS.1480,group01037
AAA028A23.genome.CDS.1568,group00156
AAA028A23.genome.CDS.1036,group00325
AAA028A23.genome.CDS.1337,group00094
AAA028A23.genome.CDS.1718,group00280
AAA028A23.genome.CDS.888,group00964
AAA028A23.genome.CDS.889,group00722
AAA028A23.genome.CDS.1719,group00276
AAA028A23.genome.CDS.882,group00640
AAA028A23.genome.CDS.880,group00526
AAA028A23.genome.CDS.881,group00665
AAA028A23.genome.CDS.886,group00290
AAA028A23.genome.CDS.887,group00769
AAA028A23.genome.CDS.884,group00876
AAA028A23.genome.CDS.885,group00222
AAA028A23.genome.CDS.1686,group00308
AAA028A23.genome.CDS.1687,group00052
AAA028A23.genome.CDS.773,group04284
AAA028A23.genome.CDS.1682,group00630
AAA028A23.genome.CDS.1683,group00591
AAA028A23.genome.CDS.1680,group00023
AAA028A23.genome.CDS.1681,group00216
AAA028A23.genome.CDS.70,group00415
AAA028A23.genome.CDS.1500,group00501
AAA028A23.genome.CDS.1688,group00730
AAA028A23.genome.CDS.1689,group01168
AAA028A23.genome.CDS.1528,group00946
AAA028A23.genome.CDS.1538,group00003
AAA028A23.genome.CDS.1539,group00549
AAA028A23.genome.CDS.1534,group00494
AAA028A23.genome.CDS.1535,group00667
AAA028A23.genome.CDS.1536,group00874
AAA028A23.genome.CDS.1537,group00001
AAA028A23.genome.CDS.1530,group00171
AAA028A23.genome.CDS.1531,group00008
AAA028A23.genome.CDS.1532,group00298
AAA028A23.genome.CDS.1533,group00462
AAA028A23.genome.CDS.1515,group00288
AAA028A23.genome.CDS.1499,group00968
AAA028A23.genome.CDS.1189,group00506
AAA028A23.genome.CDS.946,group01214
AAA028A23.genome.CDS.945,group00957
AAA028A23.genome.CDS.944,group01202
AAA028A23.genome.CDS.943,group02799
AAA028A23.genome.CDS.942,group01983
AAA028A23.genome.CDS.941,group02798
AAA028A23.genome.CDS.940,group02428
AAA028A23.genome.CDS.1181,group00212
AAA028A23.genome.CDS.1180,group00403
AAA028A23.genome.CDS.1183,group00443
AAA028A23.genome.CDS.1182,group00949
AAA028A23.genome.CDS.125,group01770
AAA028A23.genome.CDS.1184,group00272
AAA028A23.genome.CDS.1187,group00388
AAA028A23.genome.CDS.1186,group00408
AAA028A23.genome.CDS.1435,group00125
AAA028A23.genome.CDS.1434,group00757
AAA028A23.genome.CDS.1437,group00120
AAA028A23.genome.CDS.1436,group00335
AAA028A23.genome.CDS.1431,group00041
AAA028A23.genome.CDS.1430,group00085
AAA028A23.genome.CDS.1433,group00166
AAA028A23.genome.CDS.1432,group00294
AAA028A23.genome.CDS.1439,group04273
AAA028A23.genome.CDS.181,group01086
AAA028A23.genome.CDS.264,group00890
AAA028A23.genome.CDS.1201,group00419
AAA028A23.genome.CDS.1510,group00775
AAA028A23.genome.CDS.1038,group00289
AAA028A23.genome.CDS.1220,group00188
AAA028A23.genome.CDS.1548,group04276
AAA028A23.genome.CDS.1222,group01375
AAA028A23.genome.CDS.1223,group01501
AAA028A23.genome.CDS.1224,group01563
AAA028A23.genome.CDS.1225,group01562
AAA028A23.genome.CDS.1226,group01713
AAA028A23.genome.CDS.1227,group00592
AAA028A23.genome.CDS.1541,group00463
AAA028A23.genome.CDS.1229,group00163
AAA028A23.genome.CDS.1543,group00622
AAA028A23.genome.CDS.1542,group00517
AAA028A23.genome.CDS.1545,group00194
AAA028A23.genome.CDS.1544,group04274
AAA028A23.genome.CDS.1547,group04277
AAA028A23.genome.CDS.1546,group00300
AAA028A23.genome.CDS.1044,group00004
AAA028A23.genome.CDS.1045,group00342
AAA028A23.genome.CDS.1046,group01161
AAA028A23.genome.CDS.1047,group00282
AAA028A23.genome.CDS.1040,group01149
AAA028A23.genome.CDS.1328,group01162
AAA028A23.genome.CDS.1042,group00984
AAA028A23.genome.CDS.1043,group00016
AAA028A23.genome.CDS.1325,group00582
AAA028A23.genome.CDS.1324,group00400
AAA028A23.genome.CDS.1327,group00552
AAA028A23.genome.CDS.1326,group00035
AAA028A23.genome.CDS.1048,group00457
AAA028A23.genome.CDS.1320,group00641
AAA028A23.genome.CDS.1323,group01163
AAA028A23.genome.CDS.1322,group01166
AAA028A23.genome.CDS.1498,group00990
AAA028A23.genome.CDS.1257,group00919
AAA028A23.genome.CDS.1256,group00885
AAA028A23.genome.CDS.809,group00853
AAA028A23.genome.CDS.1642,group00245
AAA028A23.genome.CDS.1139,group01067
AAA028A23.genome.CDS.1640,group00250
AAA028A23.genome.CDS.1641,group01097
AAA028A23.genome.CDS.1646,group00068
AAA028A23.genome.CDS.1644,group00225
AAA028A23.genome.CDS.1645,group00047
AAA028A23.genome.CDS.1130,group00804
AAA028A23.genome.CDS.1131,group00481
AAA028A23.genome.CDS.1132,group01111
AAA028A23.genome.CDS.1649,group00277
AAA028A23.genome.CDS.1134,group00695
AAA028A23.genome.CDS.1135,group00721
AAA028A23.genome.CDS.1136,group00416
AAA028A23.genome.CDS.1137,group01039
AAA028A23.genome.CDS.1484,group00739
AAA028A23.genome.CDS.1485,group01084
AAA028A23.genome.CDS.1486,group00490
AAA028A23.genome.CDS.1487,group00489
AAA028A23.genome.CDS.1521,group00560
AAA028A23.genome.CDS.1481,group00418
AAA028A23.genome.CDS.1482,group00528
AAA028A23.genome.CDS.1483,group00417
AAA028A23.genome.CDS.1488,group00733
AAA028A23.genome.CDS.1489,group00469
AAA028A23.genome.CDS.846,group00381
AAA028A23.genome.CDS.847,group00136
AAA028A23.genome.CDS.845,group04271
AAA028A23.genome.CDS.1259,group00921
AAA028A23.genome.CDS.848,group00657
AAA028A23.genome.CDS.849,group00299
AAA028A23.genome.CDS.1031,group00002
AAA028A23.genome.CDS.1030,group00215
AAA028A23.genome.CDS.1033,group00938
AAA028A23.genome.CDS.1032,group00612
AAA028A23.genome.CDS.1035,group00495
AAA028A23.genome.CDS.1034,group00007
AAA028A23.genome.CDS.766,group04283
AAA028A23.genome.CDS.937,group02179
AAA028A23.genome.CDS.1039,group01123
AAA028A23.genome.CDS.1637,group00078
AAA028A23.genome.CDS.1507,group00623
AAA028A23.genome.CDS.983,group00096
AAA028A23.genome.CDS.982,group00102
AAA028A23.genome.CDS.981,group00073
AAA028A23.genome.CDS.980,group00352
AAA028A23.genome.CDS.987,group01302
AAA028A23.genome.CDS.986,group00973
AAA028A23.genome.CDS.985,group00681
AAA028A23.genome.CDS.984,group00629
AAA028A23.genome.CDS.1398,group00599
AAA028A23.genome.CDS.989,group00815
AAA028A23.genome.CDS.988,group01000
AAA028A23.genome.CDS.1399,group00261
AAA028A23.genome.CDS.1138,group01314
AAA028A23.genome.CDS.947,group01182
AAA028A23.genome.CDS.1268,group00755
AAA028A23.genome.CDS.1269,group01300
AAA028A23.genome.CDS.1188,group00507
AAA028A23.genome.CDS.1264,group00738
AAA028A23.genome.CDS.1265,group00709
AAA028A23.genome.CDS.979,group00479
AAA028A23.genome.CDS.1267,group00945
AAA028A23.genome.CDS.1260,group00991
AAA028A23.genome.CDS.1261,group04292
AAA028A23.genome.CDS.1262,group00847
AAA028A23.genome.CDS.1263,group00791
AAA028A23.genome.CDS.938,group04280
AAA028A23.genome.CDS.939,group01372
AAA028A23.genome.CDS.936,group01332
AAA028A23.genome.CDS.1466,group01006
AAA028A23.genome.CDS.935,group01884
AAA028A23.genome.CDS.930,group00530
AAA028A23.genome.CDS.931,group01560
AAA028A23.genome.CDS.1505,group00782
AAA028A23.genome.CDS.1504,group01187
AAA028A23.genome.CDS.1468,group00232
AAA028A23.genome.CDS.1506,group00602
AAA028A23.genome.CDS.1501,group00264
AAA028A23.genome.CDS.1392,group00823
AAA028A23.genome.CDS.1503,group00069
AAA028A23.genome.CDS.1502,group01836
AAA028A23.genome.CDS.1462,group00696
AAA028A23.genome.CDS.1463,group00038
AAA028A23.genome.CDS.1461,group00794
AAA028A23.genome.CDS.1509,group00845
AAA028A23.genome.CDS.1467,group00863
AAA028A23.genome.CDS.1464,group00529
AAA028A23.genome.CDS.1465,group00573
