AAA028G02.genome.CDS.1340,group03393
AAA028G02.genome.CDS.1483,group00639
AAA028G02.genome.CDS.1482,group00645
AAA028G02.genome.CDS.1598,group00889
AAA028G02.genome.CDS.1741,group03351
AAA028G02.genome.CDS.2634,group00832
AAA028G02.genome.CDS.2255,group00852
AAA028G02.genome.CDS.2501,group00540
AAA028G02.genome.CDS.1365,group03409
AAA028G02.genome.CDS.2487,group00581
AAA028G02.genome.CDS.2609,group00608
AAA028G02.genome.CDS.1391,group00472
AAA028G02.genome.CDS.1390,group01534
AAA028G02.genome.CDS.1393,group01941
AAA028G02.genome.CDS.1392,group01370
AAA028G02.genome.CDS.1395,group01559
AAA028G02.genome.CDS.1394,group01515
AAA028G02.genome.CDS.1397,group01737
AAA028G02.genome.CDS.1396,group01465
AAA028G02.genome.CDS.2246,group00394
AAA028G02.genome.CDS.1360,group01393
AAA028G02.genome.CDS.2244,group00202
AAA028G02.genome.CDS.2245,group00425
AAA028G02.genome.CDS.2242,group00284
AAA028G02.genome.CDS.1959,group02814
AAA028G02.genome.CDS.1368,group01304
AAA028G02.genome.CDS.2399,group01441
AAA028G02.genome.CDS.1435,group01458
AAA028G02.genome.CDS.1901,group00214
AAA028G02.genome.CDS.1902,group00281
AAA028G02.genome.CDS.1958,group02684
AAA028G02.genome.CDS.1904,group00174
AAA028G02.genome.CDS.1362,group02850
AAA028G02.genome.CDS.1906,group00893
AAA028G02.genome.CDS.1907,group00074
AAA028G02.genome.CDS.1908,group00801
AAA028G02.genome.CDS.1909,group00946
AAA028G02.genome.CDS.1363,group01915
AAA028G02.genome.CDS.1877,group00776
AAA028G02.genome.CDS.1997,group00367
AAA028G02.genome.CDS.1643,group00954
AAA028G02.genome.CDS.1995,group00440
AAA028G02.genome.CDS.1994,group00460
AAA028G02.genome.CDS.1993,group02188
AAA028G02.genome.CDS.1992,group00929
AAA028G02.genome.CDS.1991,group01750
AAA028G02.genome.CDS.1857,group00035
AAA028G02.genome.CDS.1747,group00346
AAA028G02.genome.CDS.1369,group03406
AAA028G02.genome.CDS.1999,group00775
AAA028G02.genome.CDS.1998,group00732
AAA028G02.genome.CDS.1416,group01491
AAA028G02.genome.CDS.1417,group03412
AAA028G02.genome.CDS.1414,group01617
AAA028G02.genome.CDS.2564,group00896
AAA028G02.genome.CDS.1412,group01586
AAA028G02.genome.CDS.2562,group00916
AAA028G02.genome.CDS.1410,group02264
AAA028G02.genome.CDS.2560,group00820
AAA028G02.genome.CDS.2484,group00637
AAA028G02.genome.CDS.1556,group00356
AAA028G02.genome.CDS.1555,group02210
AAA028G02.genome.CDS.1554,group00934
AAA028G02.genome.CDS.1553,group03332
AAA028G02.genome.CDS.2481,group01049
AAA028G02.genome.CDS.1418,group03411
AAA028G02.genome.CDS.1419,group01056
AAA028G02.genome.CDS.2014,group00968
AAA028G02.genome.CDS.1471,group00230
AAA028G02.genome.CDS.1850,group00438
AAA028G02.genome.CDS.1428,group01085
AAA028G02.genome.CDS.2018,group01193
AAA028G02.genome.CDS.1918,group00462
AAA028G02.genome.CDS.2531,group00289
AAA028G02.genome.CDS.2266,group00095
AAA028G02.genome.CDS.2502,group00541
AAA028G02.genome.CDS.2260,group02856
AAA028G02.genome.CDS.1954,group01695
AAA028G02.genome.CDS.1762,group00756
AAA028G02.genome.CDS.1439,group01469
AAA028G02.genome.CDS.1355,group02934
AAA028G02.genome.CDS.1869,group00500
AAA028G02.genome.CDS.1763,group01217
AAA028G02.genome.CDS.2262,group00309
AAA028G02.genome.CDS.2203,group00018
AAA028G02.genome.CDS.1863,group00512
AAA028G02.genome.CDS.1862,group00177
AAA028G02.genome.CDS.1861,group00301
AAA028G02.genome.CDS.1860,group00051
AAA028G02.genome.CDS.1867,group00942
AAA028G02.genome.CDS.1866,group00862
AAA028G02.genome.CDS.1865,group00383
AAA028G02.genome.CDS.1864,group00725
AAA028G02.genome.CDS.2389,group03388
AAA028G02.genome.CDS.2505,group00049
AAA028G02.genome.CDS.1531,group01542
AAA028G02.genome.CDS.1356,group01666
AAA028G02.genome.CDS.2499,group00763
AAA028G02.genome.CDS.1858,group00552
AAA028G02.genome.CDS.2632,group00539
AAA028G02.genome.CDS.2206,group00969
AAA028G02.genome.CDS.1910,group00039
AAA028G02.genome.CDS.2507,group00578
AAA028G02.genome.CDS.2207,group00834
AAA028G02.genome.CDS.1828,group01188
AAA028G02.genome.CDS.2639,group00167
AAA028G02.genome.CDS.2638,group00937
AAA028G02.genome.CDS.2204,group00555
AAA028G02.genome.CDS.2633,group00253
AAA028G02.genome.CDS.2268,group00129
AAA028G02.genome.CDS.2631,group01066
AAA028G02.genome.CDS.2630,group00142
AAA028G02.genome.CDS.2637,group00108
AAA028G02.genome.CDS.2636,group00898
AAA028G02.genome.CDS.2635,group00149
AAA028G02.genome.CDS.2269,group00150
AAA028G02.genome.CDS.1733,group00899
AAA028G02.genome.CDS.1732,group02291
AAA028G02.genome.CDS.1731,group01829
AAA028G02.genome.CDS.1730,group03343
AAA028G02.genome.CDS.1922,group00622
AAA028G02.genome.CDS.2503,group00010
AAA028G02.genome.CDS.1735,group03342
AAA028G02.genome.CDS.1734,group01812
AAA028G02.genome.CDS.1739,group03353
AAA028G02.genome.CDS.1738,group02457
AAA028G02.genome.CDS.2208,group00586
AAA028G02.genome.CDS.2239,group00363
AAA028G02.genome.CDS.2066,group00437
AAA028G02.genome.CDS.2067,group00245
AAA028G02.genome.CDS.2064,group00240
AAA028G02.genome.CDS.2065,group00225
AAA028G02.genome.CDS.2062,group00329
AAA028G02.genome.CDS.2063,group00027
AAA028G02.genome.CDS.2060,group00204
AAA028G02.genome.CDS.2348,group00445
AAA028G02.genome.CDS.2347,group00268
AAA028G02.genome.CDS.1628,group00231
AAA028G02.genome.CDS.353,group01383
AAA028G02.genome.CDS.2344,group00720
AAA028G02.genome.CDS.2343,group00519
AAA028G02.genome.CDS.2342,group00584
AAA028G02.genome.CDS.2068,group01097
AAA028G02.genome.CDS.1457,group03417
AAA028G02.genome.CDS.2181,group00839
AAA028G02.genome.CDS.2180,group01406
AAA028G02.genome.CDS.2183,group01212
AAA028G02.genome.CDS.2182,group00744
AAA028G02.genome.CDS.2185,group00474
AAA028G02.genome.CDS.2184,group01213
AAA028G02.genome.CDS.2187,group01636
AAA028G02.genome.CDS.2186,group01075
AAA028G02.genome.CDS.2189,group01840
AAA028G02.genome.CDS.1737,group01475
AAA028G02.genome.CDS.1423,group02326
AAA028G02.genome.CDS.1736,group01229
AAA028G02.genome.CDS.1607,group00475
AAA028G02.genome.CDS.1606,group00735
AAA028G02.genome.CDS.1366,group03408
AAA028G02.genome.CDS.1604,group00620
AAA028G02.genome.CDS.1603,group00798
AAA028G02.genome.CDS.1602,group00736
AAA028G02.genome.CDS.794,group00757
AAA028G02.genome.CDS.1600,group01252
AAA028G02.genome.CDS.2288,group00640
AAA028G02.genome.CDS.1609,group00810
AAA028G02.genome.CDS.1608,group00704
AAA028G02.genome.CDS.2470,group00921
AAA028G02.genome.CDS.2270,group00082
AAA028G02.genome.CDS.2158,group00476
AAA028G02.genome.CDS.2439,group01004
AAA028G02.genome.CDS.1905,group00285
AAA028G02.genome.CDS.2010,group00927
AAA028G02.genome.CDS.1569,group00687
AAA028G02.genome.CDS.1509,group00186
AAA028G02.genome.CDS.2552,group01088
AAA028G02.genome.CDS.2118,group00765
AAA028G02.genome.CDS.2119,group00317
AAA028G02.genome.CDS.1404,group00003
AAA028G02.genome.CDS.2112,group00205
AAA028G02.genome.CDS.2113,group00627
AAA028G02.genome.CDS.1580,group00053
AAA028G02.genome.CDS.2111,group00642
AAA028G02.genome.CDS.2116,group00246
AAA028G02.genome.CDS.2550,group00594
AAA028G02.genome.CDS.1921,group00874
AAA028G02.genome.CDS.2115,group00192
AAA028G02.genome.CDS.1012,group03372
AAA028G02.genome.CDS.2435,group00050
AAA028G02.genome.CDS.2551,group00595
AAA028G02.genome.CDS.2434,group00333
AAA028G02.genome.CDS.1401,group00546
AAA028G02.genome.CDS.2437,group00172
AAA028G02.genome.CDS.2557,group00715
AAA028G02.genome.CDS.2448,group00243
AAA028G02.genome.CDS.2522,group00612
AAA028G02.genome.CDS.1519,group01491
AAA028G02.genome.CDS.2520,group00002
AAA028G02.genome.CDS.2527,group00495
AAA028G02.genome.CDS.2526,group00007
AAA028G02.genome.CDS.2525,group00316
AAA028G02.genome.CDS.2524,group01126
AAA028G02.genome.CDS.2440,group00244
AAA028G02.genome.CDS.1512,group02194
AAA028G02.genome.CDS.2529,group00006
AAA028G02.genome.CDS.1510,group02417
AAA028G02.genome.CDS.1517,group02203
AAA028G02.genome.CDS.2445,group00088
AAA028G02.genome.CDS.2446,group00908
AAA028G02.genome.CDS.2539,group00724
AAA028G02.genome.CDS.2493,group00698
AAA028G02.genome.CDS.2433,group00410
AAA028G02.genome.CDS.2492,group00255
AAA028G02.genome.CDS.2106,group00567
AAA028G02.genome.CDS.2558,group00764
AAA028G02.genome.CDS.1561,group00516
AAA028G02.genome.CDS.2349,group00326
AAA028G02.genome.CDS.1566,group02264
AAA028G02.genome.CDS.2431,group01014
AAA028G02.genome.CDS.2061,group00450
AAA028G02.genome.CDS.1408,group03414
AAA028G02.genome.CDS.1691,group02429
AAA028G02.genome.CDS.1692,group00987
AAA028G02.genome.CDS.1693,group01638
AAA028G02.genome.CDS.1694,group00290
AAA028G02.genome.CDS.1695,group01513
AAA028G02.genome.CDS.1696,group01292
AAA028G02.genome.CDS.1697,group00038
AAA028G02.genome.CDS.1698,group02844
AAA028G02.genome.CDS.1699,group01917
AAA028G02.genome.CDS.2494,group00723
AAA028G02.genome.CDS.2345,group00565
AAA028G02.genome.CDS.1941,group00713
AAA028G02.genome.CDS.1996,group00288
AAA028G02.genome.CDS.1438,group01106
AAA028G02.genome.CDS.2565,group00895
AAA028G02.genome.CDS.2089,group00318
AAA028G02.genome.CDS.2430,group00217
AAA028G02.genome.CDS.2488,group00502
AAA028G02.genome.CDS.1939,group00221
AAA028G02.genome.CDS.1831,group01410
AAA028G02.genome.CDS.1832,group01320
AAA028G02.genome.CDS.1833,group01387
AAA028G02.genome.CDS.1834,group01299
AAA028G02.genome.CDS.1835,group00539
AAA028G02.genome.CDS.1836,group00043
AAA028G02.genome.CDS.1837,group00504
AAA028G02.genome.CDS.1931,group00002
AAA028G02.genome.CDS.1839,group01447
AAA028G02.genome.CDS.1933,group00794
AAA028G02.genome.CDS.1932,group00635
AAA028G02.genome.CDS.1935,group00026
AAA028G02.genome.CDS.1934,group00203
AAA028G02.genome.CDS.1937,group00140
AAA028G02.genome.CDS.1936,group00026
AAA028G02.genome.CDS.2555,group00688
AAA028G02.genome.CDS.2462,group01241
AAA028G02.genome.CDS.1948,group01110
AAA028G02.genome.CDS.1949,group00181
AAA028G02.genome.CDS.2463,group01536
AAA028G02.genome.CDS.1944,group00112
AAA028G02.genome.CDS.2295,group00831
AAA028G02.genome.CDS.1946,group00986
AAA028G02.genome.CDS.1947,group01739
AAA028G02.genome.CDS.1940,group00153
AAA028G02.genome.CDS.2460,group00557
AAA028G02.genome.CDS.1943,group00661
AAA028G02.genome.CDS.944,group00799
AAA028G02.genome.CDS.1347,group03404
AAA028G02.genome.CDS.1344,group03402
AAA028G02.genome.CDS.2234,group00357
AAA028G02.genome.CDS.2233,group01248
AAA028G02.genome.CDS.2232,group01026
AAA028G02.genome.CDS.2231,group01052
AAA028G02.genome.CDS.1341,group00141
AAA028G02.genome.CDS.1467,group02937
AAA028G02.genome.CDS.1466,group03326
AAA028G02.genome.CDS.1464,group03327
AAA028G02.genome.CDS.1463,group03328
AAA028G02.genome.CDS.1462,group03329
AAA028G02.genome.CDS.1348,group02933
AAA028G02.genome.CDS.1460,group03331
AAA028G02.genome.CDS.2336,group01473
AAA028G02.genome.CDS.2083,group00218
AAA028G02.genome.CDS.2432,group00718
AAA028G02.genome.CDS.1533,group01205
AAA028G02.genome.CDS.2227,group00838
AAA028G02.genome.CDS.2465,group00945
AAA028G02.genome.CDS.2289,group00875
AAA028G02.genome.CDS.1548,group01520
AAA028G02.genome.CDS.1830,group01316
AAA028G02.genome.CDS.1571,group02852
AAA028G02.genome.CDS.2188,group00712
AAA028G02.genome.CDS.2250,group00136
AAA028G02.genome.CDS.2087,group00477
AAA028G02.genome.CDS.1371,group01032
AAA028G02.genome.CDS.2279,group00296
AAA028G02.genome.CDS.1538,group02247
AAA028G02.genome.CDS.2523,group00014
AAA028G02.genome.CDS.2309,group00313
AAA028G02.genome.CDS.2308,group00659
AAA028G02.genome.CDS.2117,group00090
AAA028G02.genome.CDS.2303,group00498
AAA028G02.genome.CDS.2302,group00079
AAA028G02.genome.CDS.2301,group00360
AAA028G02.genome.CDS.2300,group00332
AAA028G02.genome.CDS.2307,group00314
AAA028G02.genome.CDS.2306,group00293
AAA028G02.genome.CDS.2305,group00377
AAA028G02.genome.CDS.2304,group01079
AAA028G02.genome.CDS.1769,group00486
AAA028G02.genome.CDS.2278,group00412
AAA028G02.genome.CDS.1605,group00343
AAA028G02.genome.CDS.1768,group00390
AAA028G02.genome.CDS.1642,group00748
AAA028G02.genome.CDS.1641,group00983
AAA028G02.genome.CDS.1640,group00224
AAA028G02.genome.CDS.1647,group01221
AAA028G02.genome.CDS.1646,group01278
AAA028G02.genome.CDS.1645,group01301
AAA028G02.genome.CDS.1644,group01277
AAA028G02.genome.CDS.1760,group00676
AAA028G02.genome.CDS.1761,group00912
AAA028G02.genome.CDS.1649,group00009
AAA028G02.genome.CDS.1648,group00510
AAA028G02.genome.CDS.1764,group00773
AAA028G02.genome.CDS.1765,group00263
AAA028G02.genome.CDS.1766,group03361
AAA028G02.genome.CDS.1767,group01048
AAA028G02.genome.CDS.2156,group03374
AAA028G02.genome.CDS.2157,group00456
AAA028G02.genome.CDS.2154,group00143
AAA028G02.genome.CDS.2155,group00571
AAA028G02.genome.CDS.2152,group00630
AAA028G02.genome.CDS.1601,group01098
AAA028G02.genome.CDS.2150,group00193
AAA028G02.genome.CDS.2151,group00591
AAA028G02.genome.CDS.2017,group00990
AAA028G02.genome.CDS.2016,group01064
AAA028G02.genome.CDS.2015,group00967
AAA028G02.genome.CDS.1530,group01481
AAA028G02.genome.CDS.2013,group00971
AAA028G02.genome.CDS.2012,group00926
AAA028G02.genome.CDS.2011,group01019
AAA028G02.genome.CDS.2159,group00189
AAA028G02.genome.CDS.2660,group00175
AAA028G02.genome.CDS.2661,group00091
AAA028G02.genome.CDS.2662,group00198
AAA028G02.genome.CDS.2663,group00419
AAA028G02.genome.CDS.2664,group00148
AAA028G02.genome.CDS.2665,group00092
AAA028G02.genome.CDS.2666,group00093
AAA028G02.genome.CDS.2667,group00055
AAA028G02.genome.CDS.2668,group00046
AAA028G02.genome.CDS.2669,group00015
AAA028G02.genome.CDS.2202,group00483
AAA028G02.genome.CDS.2404,group01243
AAA028G02.genome.CDS.2405,group01041
AAA028G02.genome.CDS.2406,group00432
AAA028G02.genome.CDS.2407,group00734
AAA028G02.genome.CDS.2400,group00711
AAA028G02.genome.CDS.2401,group00760
AAA028G02.genome.CDS.2402,group01119
AAA028G02.genome.CDS.2403,group00774
AAA028G02.genome.CDS.2408,group00596
AAA028G02.genome.CDS.2409,group00670
AAA028G02.genome.CDS.2027,group01824
AAA028G02.genome.CDS.2619,group02236
AAA028G02.genome.CDS.1346,group03400
AAA028G02.genome.CDS.1498,group00111
AAA028G02.genome.CDS.1499,group01572
AAA028G02.genome.CDS.1496,group02802
AAA028G02.genome.CDS.1497,group03334
AAA028G02.genome.CDS.1494,group03336
AAA028G02.genome.CDS.1495,group03335
AAA028G02.genome.CDS.1492,group03338
AAA028G02.genome.CDS.1493,group03337
AAA028G02.genome.CDS.1490,group01611
AAA028G02.genome.CDS.1491,group02803
AAA028G02.genome.CDS.2618,group02225
AAA028G02.genome.CDS.1795,group00044
AAA028G02.genome.CDS.1794,group00766
AAA028G02.genome.CDS.1797,group00890
AAA028G02.genome.CDS.1796,group00375
AAA028G02.genome.CDS.1370,group00543
AAA028G02.genome.CDS.1790,group03370
AAA028G02.genome.CDS.1793,group00260
AAA028G02.genome.CDS.1792,group00429
AAA028G02.genome.CDS.1799,group00924
AAA028G02.genome.CDS.1798,group00128
AAA028G02.genome.CDS.2578,group00428
AAA028G02.genome.CDS.2272,group00048
AAA028G02.genome.CDS.1380,group02376
AAA028G02.genome.CDS.1381,group01895
AAA028G02.genome.CDS.2277,group00297
AAA028G02.genome.CDS.2276,group00227
AAA028G02.genome.CDS.2275,group00892
AAA028G02.genome.CDS.2274,group00444
AAA028G02.genome.CDS.2570,group01467
AAA028G02.genome.CDS.2571,group00374
AAA028G02.genome.CDS.1421,group00639
AAA028G02.genome.CDS.1389,group01794
AAA028G02.genome.CDS.2574,group00617
AAA028G02.genome.CDS.1426,group01987
AAA028G02.genome.CDS.2449,group00030
AAA028G02.genome.CDS.2577,group00854
AAA028G02.genome.CDS.1975,group01132
AAA028G02.genome.CDS.1974,group01365
AAA028G02.genome.CDS.1977,group01091
AAA028G02.genome.CDS.2380,group01117
AAA028G02.genome.CDS.1971,group02637
AAA028G02.genome.CDS.1970,group01181
AAA028G02.genome.CDS.1973,group01511
AAA028G02.genome.CDS.1972,group00073
AAA028G02.genome.CDS.2447,group00321
AAA028G02.genome.CDS.1661,group01627
AAA028G02.genome.CDS.1979,group00917
AAA028G02.genome.CDS.1978,group00826
AAA028G02.genome.CDS.1409,group03413
AAA028G02.genome.CDS.2322,group00588
AAA028G02.genome.CDS.1771,group02013
AAA028G02.genome.CDS.1951,group02941
AAA028G02.genome.CDS.1549,group01696
AAA028G02.genome.CDS.1345,group03401
AAA028G02.genome.CDS.1540,group00935
AAA028G02.genome.CDS.1989,group01667
AAA028G02.genome.CDS.2473,group00885
AAA028G02.genome.CDS.1543,group00842
AAA028G02.genome.CDS.2475,group00847
AAA028G02.genome.CDS.2474,group00861
AAA028G02.genome.CDS.1546,group01400
AAA028G02.genome.CDS.2476,group00791
AAA028G02.genome.CDS.1980,group01439
AAA028G02.genome.CDS.2478,group00936
AAA028G02.genome.CDS.1982,group00805
AAA028G02.genome.CDS.1983,group00652
AAA028G02.genome.CDS.1984,group00767
AAA028G02.genome.CDS.1985,group01140
AAA028G02.genome.CDS.37,group03407
AAA028G02.genome.CDS.1987,group00402
AAA028G02.genome.CDS.1881,group00739
AAA028G02.genome.CDS.2201,group00076
AAA028G02.genome.CDS.2223,group02853
AAA028G02.genome.CDS.2597,group00628
AAA028G02.genome.CDS.1377,group01543
AAA028G02.genome.CDS.2594,group00478
AAA028G02.genome.CDS.1376,group00537
AAA028G02.genome.CDS.1809,group00442
AAA028G02.genome.CDS.1808,group00372
AAA028G02.genome.CDS.1882,group01084
AAA028G02.genome.CDS.1375,group01837
AAA028G02.genome.CDS.1581,group00349
AAA028G02.genome.CDS.1801,group00322
AAA028G02.genome.CDS.1885,group01397
AAA028G02.genome.CDS.1803,group00459
AAA028G02.genome.CDS.1802,group00237
AAA028G02.genome.CDS.1805,group00220
AAA028G02.genome.CDS.1804,group01232
AAA028G02.genome.CDS.1807,group00251
AAA028G02.genome.CDS.1806,group00287
AAA028G02.genome.CDS.2585,group00350
AAA028G02.genome.CDS.2584,group00267
AAA028G02.genome.CDS.2587,group00229
AAA028G02.genome.CDS.2586,group00609
AAA028G02.genome.CDS.1878,group00418
AAA028G02.genome.CDS.2580,group00303
AAA028G02.genome.CDS.2583,group00673
AAA028G02.genome.CDS.2582,group00902
AAA028G02.genome.CDS.1431,group01828
AAA028G02.genome.CDS.1875,group01005
AAA028G02.genome.CDS.1876,group01138
AAA028G02.genome.CDS.2050,group00075
AAA028G02.genome.CDS.2589,group00123
AAA028G02.genome.CDS.2588,group00806
AAA028G02.genome.CDS.1872,group00833
AAA028G02.genome.CDS.1873,group00743
AAA028G02.genome.CDS.1929,group00001
AAA028G02.genome.CDS.1339,group03394
AAA028G02.genome.CDS.2453,group00643
AAA028G02.genome.CDS.1337,group03396
AAA028G02.genome.CDS.1336,group03397
AAA028G02.genome.CDS.1335,group03376
AAA028G02.genome.CDS.1334,group03377
AAA028G02.genome.CDS.1333,group03378
AAA028G02.genome.CDS.1332,group03379
AAA028G02.genome.CDS.1331,group03380
AAA028G02.genome.CDS.1840,group00310
AAA028G02.genome.CDS.2273,group00882
AAA028G02.genome.CDS.1382,group03405
AAA028G02.genome.CDS.2628,group00081
AAA028G02.genome.CDS.2629,group00191
AAA028G02.genome.CDS.2579,group00351
AAA028G02.genome.CDS.2624,group00759
AAA028G02.genome.CDS.531,group02857
AAA028G02.genome.CDS.2626,group00094
AAA028G02.genome.CDS.2627,group00254
AAA028G02.genome.CDS.2620,group00479
AAA028G02.genome.CDS.2026,group00868
AAA028G02.genome.CDS.2622,group01414
AAA028G02.genome.CDS.2623,group00077
AAA028G02.genome.CDS.1724,group01229
AAA028G02.genome.CDS.1725,group00899
AAA028G02.genome.CDS.1726,group01078
AAA028G02.genome.CDS.1727,group01146
AAA028G02.genome.CDS.1721,group00554
AAA028G02.genome.CDS.1722,group00241
AAA028G02.genome.CDS.1723,group00223
AAA028G02.genome.CDS.1383,group01807
AAA028G02.genome.CDS.1386,group02153
AAA028G02.genome.CDS.1728,group01656
AAA028G02.genome.CDS.1729,group03344
AAA028G02.genome.CDS.1558,group03341
AAA028G02.genome.CDS.2299,group00331
AAA028G02.genome.CDS.2298,group00441
AAA028G02.genome.CDS.2352,group00461
AAA028G02.genome.CDS.2353,group00606
AAA028G02.genome.CDS.2354,group00183
AAA028G02.genome.CDS.2355,group00879
AAA028G02.genome.CDS.2356,group00975
AAA028G02.genome.CDS.1448,group01799
AAA028G02.genome.CDS.2291,group00222
AAA028G02.genome.CDS.2290,group00876
AAA028G02.genome.CDS.2293,group00722
AAA028G02.genome.CDS.2292,group00769
AAA028G02.genome.CDS.1508,group00013
AAA028G02.genome.CDS.2294,group00697
AAA028G02.genome.CDS.2297,group00880
AAA028G02.genome.CDS.2296,group00811
AAA028G02.genome.CDS.2192,group00883
AAA028G02.genome.CDS.2193,group00788
AAA028G02.genome.CDS.2059,group00373
AAA028G02.genome.CDS.2191,group00789
AAA028G02.genome.CDS.2196,group00726
AAA028G02.genome.CDS.2197,group00650
AAA028G02.genome.CDS.2194,group00911
AAA028G02.genome.CDS.1422,group00451
AAA028G02.genome.CDS.2053,group00078
AAA028G02.genome.CDS.2215,group00416
AAA028G02.genome.CDS.2051,group00164
AAA028G02.genome.CDS.2199,group00749
AAA028G02.genome.CDS.2057,group00124
AAA028G02.genome.CDS.2572,group00393
AAA028G02.genome.CDS.2055,group00513
AAA028G02.genome.CDS.2054,group00168
AAA028G02.genome.CDS.1751,group03356
AAA028G02.genome.CDS.1750,group03357
AAA028G02.genome.CDS.1753,group01741
AAA028G02.genome.CDS.1420,group01554
AAA028G02.genome.CDS.1755,group00913
AAA028G02.genome.CDS.1754,group00238
AAA028G02.genome.CDS.1757,group01083
AAA028G02.genome.CDS.1756,group01021
AAA028G02.genome.CDS.1759,group01008
AAA028G02.genome.CDS.1758,group00835
AAA028G02.genome.CDS.2216,group00721
AAA028G02.genome.CDS.2028,group01204
AAA028G02.genome.CDS.2575,group00113
AAA028G02.genome.CDS.1618,group02184
AAA028G02.genome.CDS.1619,group01331
AAA028G02.genome.CDS.1591,group00358
AAA028G02.genome.CDS.1590,group00448
AAA028G02.genome.CDS.1597,group00385
AAA028G02.genome.CDS.1596,group00233
AAA028G02.genome.CDS.1595,group00420
AAA028G02.genome.CDS.1440,group00729
AAA028G02.genome.CDS.1610,group00705
AAA028G02.genome.CDS.1612,group01900
AAA028G02.genome.CDS.1613,group00977
AAA028G02.genome.CDS.1614,group00982
AAA028G02.genome.CDS.1615,group00169
AAA028G02.genome.CDS.1616,group00638
AAA028G02.genome.CDS.1617,group00340
AAA028G02.genome.CDS.2129,group00110
AAA028G02.genome.CDS.2128,group00040
AAA028G02.genome.CDS.131,group03325
AAA028G02.genome.CDS.2126,group01539
AAA028G02.genome.CDS.2125,group01457
AAA028G02.genome.CDS.2142,group00334
AAA028G02.genome.CDS.2123,group00336
AAA028G02.genome.CDS.2122,group00601
AAA028G02.genome.CDS.2121,group00772
AAA028G02.genome.CDS.2120,group00109
AAA028G02.genome.CDS.2659,group00538
AAA028G02.genome.CDS.2658,group00785
AAA028G02.genome.CDS.1976,group01284
AAA028G02.genome.CDS.1950,group03366
AAA028G02.genome.CDS.2023,group01626
AAA028G02.genome.CDS.2651,group02950
AAA028G02.genome.CDS.2650,group03398
AAA028G02.genome.CDS.2653,group00579
AAA028G02.genome.CDS.2652,group02466
AAA028G02.genome.CDS.2655,group00259
AAA028G02.genome.CDS.2654,group01211
AAA028G02.genome.CDS.2657,group00755
AAA028G02.genome.CDS.2656,group01055
AAA028G02.genome.CDS.2534,group01012
AAA028G02.genome.CDS.2535,group00984
AAA028G02.genome.CDS.2536,group00016
AAA028G02.genome.CDS.2537,group00004
AAA028G02.genome.CDS.2530,group00006
AAA028G02.genome.CDS.2438,group00145
AAA028G02.genome.CDS.2532,group01123
AAA028G02.genome.CDS.2533,group01149
AAA028G02.genome.CDS.1504,group00065
AAA028G02.genome.CDS.1505,group00146
AAA028G02.genome.CDS.1506,group00126
AAA028G02.genome.CDS.1507,group01621
AAA028G02.genome.CDS.1500,group00147
AAA028G02.genome.CDS.1501,group00066
AAA028G02.genome.CDS.1502,group00258
AAA028G02.genome.CDS.1503,group00338
AAA028G02.genome.CDS.1387,group02152
AAA028G02.genome.CDS.2175,group00308
AAA028G02.genome.CDS.1518,group01023
AAA028G02.genome.CDS.2567,group00872
AAA028G02.genome.CDS.2153,group00485
AAA028G02.genome.CDS.1456,group02235
AAA028G02.genome.CDS.1470,group03339
AAA028G02.genome.CDS.2569,group00853
AAA028G02.genome.CDS.1468,group03324
AAA028G02.genome.CDS.1578,group00265
AAA028G02.genome.CDS.1472,group00365
AAA028G02.genome.CDS.1384,group02092
AAA028G02.genome.CDS.2350,group00404
AAA028G02.genome.CDS.1513,group01716
AAA028G02.genome.CDS.2542,group00457
AAA028G02.genome.CDS.1429,group02327
AAA028G02.genome.CDS.2441,group00708
AAA028G02.genome.CDS.1474,group00682
AAA028G02.genome.CDS.2443,group00458
AAA028G02.genome.CDS.1701,group01918
AAA028G02.genome.CDS.2442,group00312
AAA028G02.genome.CDS.2544,group00580
AAA028G02.genome.CDS.2383,group03382
AAA028G02.genome.CDS.2229,group01358
AAA028G02.genome.CDS.1379,group01832
AAA028G02.genome.CDS.1378,group00795
AAA028G02.genome.CDS.2387,group01271
AAA028G02.genome.CDS.2386,group01020
AAA028G02.genome.CDS.2385,group03384
AAA028G02.genome.CDS.2384,group00710
AAA028G02.genome.CDS.1373,group00593
AAA028G02.genome.CDS.2221,group00804
AAA028G02.genome.CDS.2222,group00353
AAA028G02.genome.CDS.2388,group00023
AAA028G02.genome.CDS.2224,group00020
AAA028G02.genome.CDS.2225,group02829
AAA028G02.genome.CDS.2226,group00021
AAA028G02.genome.CDS.1516,group01848
AAA028G02.genome.CDS.1845,group00947
AAA028G02.genome.CDS.1844,group00007
AAA028G02.genome.CDS.1928,group00003
AAA028G02.genome.CDS.1846,group00614
AAA028G02.genome.CDS.1841,group01059
AAA028G02.genome.CDS.1515,group02041
AAA028G02.genome.CDS.1843,group00849
AAA028G02.genome.CDS.1842,group00796
AAA028G02.genome.CDS.2444,group00887
AAA028G02.genome.CDS.1923,group00517
AAA028G02.genome.CDS.1920,group00667
AAA028G02.genome.CDS.1514,group01085
AAA028G02.genome.CDS.1926,group00520
AAA028G02.genome.CDS.1848,group00641
AAA028G02.genome.CDS.1924,group03368
AAA028G02.genome.CDS.1925,group00463
AAA028G02.genome.CDS.1415,group01678
