AAA028E20.genome.CDS.1160,group00126
AAA028E20.genome.CDS.1077,group02378
AAA028E20.genome.CDS.1074,group01574
AAA028E20.genome.CDS.1075,group02200
AAA028E20.genome.CDS.1072,group00710
AAA028E20.genome.CDS.1073,group01606
AAA028E20.genome.CDS.1070,group00617
AAA028E20.genome.CDS.1178,group00884
AAA028E20.genome.CDS.1177,group00012
AAA028E20.genome.CDS.1176,group01483
AAA028E20.genome.CDS.1175,group02317
AAA028E20.genome.CDS.1174,group00271
AAA028E20.genome.CDS.1173,group03859
AAA028E20.genome.CDS.1078,group00658
AAA028E20.genome.CDS.1170,group00906
AAA028E20.genome.CDS.1788,group00056
AAA028E20.genome.CDS.1789,group00636
AAA028E20.genome.CDS.1780,group03887
AAA028E20.genome.CDS.1781,group00684
AAA028E20.genome.CDS.1782,group00583
AAA028E20.genome.CDS.1783,group00319
AAA028E20.genome.CDS.1784,group01475
AAA028E20.genome.CDS.1785,group01164
AAA028E20.genome.CDS.1786,group01146
AAA028E20.genome.CDS.1787,group00542
AAA028E20.genome.CDS.1586,group02065
AAA028E20.genome.CDS.302,group00976
AAA028E20.genome.CDS.1037,group00119
AAA028E20.genome.CDS.1587,group01173
AAA028E20.genome.CDS.1149,group00115
AAA028E20.genome.CDS.1678,group00821
AAA028E20.genome.CDS.1679,group00576
AAA028E20.genome.CDS.1674,group01511
AAA028E20.genome.CDS.1675,group01174
AAA028E20.genome.CDS.1676,group01174
AAA028E20.genome.CDS.1677,group00778
AAA028E20.genome.CDS.1670,group01739
AAA028E20.genome.CDS.1671,group01110
AAA028E20.genome.CDS.1672,group00181
AAA028E20.genome.CDS.1673,group00866
AAA028E20.genome.CDS.903,group02208
AAA028E20.genome.CDS.1064,group00689
AAA028E20.genome.CDS.1795,group03893
AAA028E20.genome.CDS.1032,group00507
AAA028E20.genome.CDS.1775,group01185
AAA028E20.genome.CDS.1774,group00178
AAA028E20.genome.CDS.1777,group00400
AAA028E20.genome.CDS.1776,group01163
AAA028E20.genome.CDS.1771,group00438
AAA028E20.genome.CDS.1770,group01038
AAA028E20.genome.CDS.1773,group00302
AAA028E20.genome.CDS.1772,group00865
AAA028E20.genome.CDS.1472,group00061
AAA028E20.genome.CDS.1473,group00265
AAA028E20.genome.CDS.1470,group00656
AAA028E20.genome.CDS.1471,group00187
AAA028E20.genome.CDS.1779,group00035
AAA028E20.genome.CDS.1778,group00582
AAA028E20.genome.CDS.1474,group00083
AAA028E20.genome.CDS.1475,group00053
AAA028E20.genome.CDS.999,group00317
AAA028E20.genome.CDS.998,group03894
AAA028E20.genome.CDS.995,group02173
AAA028E20.genome.CDS.994,group01997
AAA028E20.genome.CDS.997,group02447
AAA028E20.genome.CDS.996,group02163
AAA028E20.genome.CDS.991,group01446
AAA028E20.genome.CDS.990,group02130
AAA028E20.genome.CDS.993,group01354
AAA028E20.genome.CDS.992,group01400
AAA028E20.genome.CDS.1609,group01084
AAA028E20.genome.CDS.1608,group00739
AAA028E20.genome.CDS.1601,group00356
AAA028E20.genome.CDS.1083,group01074
AAA028E20.genome.CDS.1603,group00829
AAA028E20.genome.CDS.1602,group01501
AAA028E20.genome.CDS.1605,group00418
AAA028E20.genome.CDS.1604,group00222
AAA028E20.genome.CDS.1607,group00417
AAA028E20.genome.CDS.1606,group00528
AAA028E20.genome.CDS.1357,group00287
AAA028E20.genome.CDS.1356,group00220
AAA028E20.genome.CDS.1355,group00459
AAA028E20.genome.CDS.1354,group00237
AAA028E20.genome.CDS.1353,group00322
AAA028E20.genome.CDS.1352,group00279
AAA028E20.genome.CDS.1351,group00924
AAA028E20.genome.CDS.1350,group00128
AAA028E20.genome.CDS.1282,group01106
AAA028E20.genome.CDS.1698,group01284
AAA028E20.genome.CDS.1359,group00372
AAA028E20.genome.CDS.1358,group00251
AAA028E20.genome.CDS.1156,group00258
AAA028E20.genome.CDS.1264,group00406
AAA028E20.genome.CDS.1740,group00836
AAA028E20.genome.CDS.1218,group00063
AAA028E20.genome.CDS.1219,group00082
AAA028E20.genome.CDS.1216,group00882
AAA028E20.genome.CDS.1217,group00048
AAA028E20.genome.CDS.1214,group00892
AAA028E20.genome.CDS.1212,group00297
AAA028E20.genome.CDS.1213,group00227
AAA028E20.genome.CDS.1210,group00296
AAA028E20.genome.CDS.1211,group00412
AAA028E20.genome.CDS.1821,group00367
AAA028E20.genome.CDS.1820,group00288
AAA028E20.genome.CDS.1823,group00775
AAA028E20.genome.CDS.1822,group00732
AAA028E20.genome.CDS.1825,group00623
AAA028E20.genome.CDS.827,group01410
AAA028E20.genome.CDS.1827,group01437
AAA028E20.genome.CDS.1826,group03895
AAA028E20.genome.CDS.1829,group00833
AAA028E20.genome.CDS.1828,group00743
AAA028E20.genome.CDS.1089,group00770
AAA028E20.genome.CDS.1123,group00850
AAA028E20.genome.CDS.1280,group00508
AAA028E20.genome.CDS.1502,group00868
AAA028E20.genome.CDS.1503,group03871
AAA028E20.genome.CDS.1500,group01759
AAA028E20.genome.CDS.1501,group01037
AAA028E20.genome.CDS.1506,group01122
AAA028E20.genome.CDS.1507,group01605
AAA028E20.genome.CDS.1504,group01297
AAA028E20.genome.CDS.1505,group02783
AAA028E20.genome.CDS.1508,group01113
AAA028E20.genome.CDS.1509,group00983
AAA028E20.genome.CDS.1139,group00454
AAA028E20.genome.CDS.1138,group00384
AAA028E20.genome.CDS.1382,group01788
AAA028E20.genome.CDS.1600,group00071
AAA028E20.genome.CDS.1133,group00846
AAA028E20.genome.CDS.1132,group00931
AAA028E20.genome.CDS.1131,group00961
AAA028E20.genome.CDS.1130,group00768
AAA028E20.genome.CDS.1137,group01109
AAA028E20.genome.CDS.1136,group00940
AAA028E20.genome.CDS.1135,group01139
AAA028E20.genome.CDS.1134,group01421
AAA028E20.genome.CDS.1188,group02779
AAA028E20.genome.CDS.1189,group02780
AAA028E20.genome.CDS.1186,group02444
AAA028E20.genome.CDS.1187,group01958
AAA028E20.genome.CDS.1184,group00294
AAA028E20.genome.CDS.1185,group01394
AAA028E20.genome.CDS.1182,group03858
AAA028E20.genome.CDS.1183,group01608
AAA028E20.genome.CDS.1180,group00000
AAA028E20.genome.CDS.1181,group01520
AAA028E20.genome.CDS.576,group01661
AAA028E20.genome.CDS.1398,group00872
AAA028E20.genome.CDS.1029,group00380
AAA028E20.genome.CDS.939,group00541
AAA028E20.genome.CDS.1009,group00182
AAA028E20.genome.CDS.1008,group00211
AAA028E20.genome.CDS.1007,group00373
AAA028E20.genome.CDS.1006,group00204
AAA028E20.genome.CDS.1005,group00450
AAA028E20.genome.CDS.1549,group00475
AAA028E20.genome.CDS.1003,group00870
AAA028E20.genome.CDS.1002,group00090
AAA028E20.genome.CDS.1001,group00765
AAA028E20.genome.CDS.1000,group00317
AAA028E20.genome.CDS.1630,group01017
AAA028E20.genome.CDS.1631,group00174
AAA028E20.genome.CDS.1591,group00013
AAA028E20.genome.CDS.1436,group01359
AAA028E20.genome.CDS.1437,group01068
AAA028E20.genome.CDS.1434,group01589
AAA028E20.genome.CDS.1435,group01057
AAA028E20.genome.CDS.1432,group00795
AAA028E20.genome.CDS.1433,group01210
AAA028E20.genome.CDS.1430,group00613
AAA028E20.genome.CDS.1431,group00433
AAA028E20.genome.CDS.1388,group00715
AAA028E20.genome.CDS.1541,group03878
AAA028E20.genome.CDS.1023,group00603
AAA028E20.genome.CDS.1438,group01190
AAA028E20.genome.CDS.1439,group01338
AAA028E20.genome.CDS.1699,group01091
AAA028E20.genome.CDS.1418,group00771
AAA028E20.genome.CDS.1757,group01299
AAA028E20.genome.CDS.1637,group00039
AAA028E20.genome.CDS.1024,group01092
AAA028E20.genome.CDS.959,group00014
AAA028E20.genome.CDS.958,group00612
AAA028E20.genome.CDS.1414,group01241
AAA028E20.genome.CDS.33,group00455
AAA028E20.genome.CDS.1755,group01320
AAA028E20.genome.CDS.1730,group00591
AAA028E20.genome.CDS.951,group00152
AAA028E20.genome.CDS.950,group00905
AAA028E20.genome.CDS.953,group00057
AAA028E20.genome.CDS.952,group00060
AAA028E20.genome.CDS.955,group01022
AAA028E20.genome.CDS.954,group00215
AAA028E20.genome.CDS.957,group00361
AAA028E20.genome.CDS.956,group00002
AAA028E20.genome.CDS.49,group00316
AAA028E20.genome.CDS.1645,group00462
AAA028E20.genome.CDS.1644,group00298
AAA028E20.genome.CDS.1728,group00188
AAA028E20.genome.CDS.1646,group00494
AAA028E20.genome.CDS.1641,group00511
AAA028E20.genome.CDS.1640,group00209
AAA028E20.genome.CDS.1643,group00008
AAA028E20.genome.CDS.1642,group00171
AAA028E20.genome.CDS.1722,group00295
AAA028E20.genome.CDS.1723,group00334
AAA028E20.genome.CDS.1720,group00101
AAA028E20.genome.CDS.1721,group00196
AAA028E20.genome.CDS.1726,group00084
AAA028E20.genome.CDS.1727,group00086
AAA028E20.genome.CDS.1724,group00170
AAA028E20.genome.CDS.1725,group01034
AAA028E20.genome.CDS.1010,group00075
AAA028E20.genome.CDS.1011,group00190
AAA028E20.genome.CDS.1409,group00738
AAA028E20.genome.CDS.1416,group00557
AAA028E20.genome.CDS.1313,group01130
AAA028E20.genome.CDS.1312,group00245
AAA028E20.genome.CDS.1311,group00286
AAA028E20.genome.CDS.1310,group00250
AAA028E20.genome.CDS.1317,group00530
AAA028E20.genome.CDS.1316,group01616
AAA028E20.genome.CDS.1315,group01473
AAA028E20.genome.CDS.1314,group01251
AAA028E20.genome.CDS.1319,group00548
AAA028E20.genome.CDS.1318,group00192
AAA028E20.genome.CDS.1700,group01346
AAA028E20.genome.CDS.1468,group01634
AAA028E20.genome.CDS.1151,group00145
AAA028E20.genome.CDS.1019,group00473
AAA028E20.genome.CDS.1153,group00111
AAA028E20.genome.CDS.1267,group00416
AAA028E20.genome.CDS.820,group00864
AAA028E20.genome.CDS.1265,group00695
AAA028E20.genome.CDS.1152,group01611
AAA028E20.genome.CDS.1263,group01111
AAA028E20.genome.CDS.1389,group00764
AAA028E20.genome.CDS.1261,group00804
AAA028E20.genome.CDS.1260,group00353
AAA028E20.genome.CDS.1384,group01901
AAA028E20.genome.CDS.1385,group00328
AAA028E20.genome.CDS.1386,group00688
AAA028E20.genome.CDS.1387,group00611
AAA028E20.genome.CDS.1381,group01815
AAA028E20.genome.CDS.1269,group01067
AAA028E20.genome.CDS.1268,group01330
AAA028E20.genome.CDS.1461,group01643
AAA028E20.genome.CDS.1405,group00919
AAA028E20.genome.CDS.1759,group00569
AAA028E20.genome.CDS.1460,group01642
AAA028E20.genome.CDS.1546,group00620
AAA028E20.genome.CDS.1547,group00343
AAA028E20.genome.CDS.1544,group01136
AAA028E20.genome.CDS.1545,group03879
AAA028E20.genome.CDS.1542,group02209
AAA028E20.genome.CDS.1543,group00015
AAA028E20.genome.CDS.1540,group01390
AAA028E20.genome.CDS.1824,group00845
AAA028E20.genome.CDS.1259,group01283
AAA028E20.genome.CDS.1411,group00944
AAA028E20.genome.CDS.383,group00027
AAA028E20.genome.CDS.32,group00455
