AAA044N04.genome.CDS.2453,group01018
AAA044N04.genome.CDS.2071,group00128
AAA044N04.genome.CDS.2072,group00890
AAA044N04.genome.CDS.2073,group00375
AAA044N04.genome.CDS.2074,group00044
AAA044N04.genome.CDS.2075,group00766
AAA044N04.genome.CDS.2077,group00429
AAA044N04.genome.CDS.2078,group00649
AAA044N04.genome.CDS.2170,group01147
AAA044N04.genome.CDS.2173,group00702
AAA044N04.genome.CDS.1652,group00064
AAA044N04.genome.CDS.2175,group00747
AAA044N04.genome.CDS.2174,group00017
AAA044N04.genome.CDS.2177,group00746
AAA044N04.genome.CDS.2176,group00042
AAA044N04.genome.CDS.2108,group03533
AAA044N04.genome.CDS.2109,group03532
AAA044N04.genome.CDS.2458,group01072
AAA044N04.genome.CDS.2525,group00326
AAA044N04.genome.CDS.2104,group00691
AAA044N04.genome.CDS.2105,group00311
AAA044N04.genome.CDS.2454,group00022
AAA044N04.genome.CDS.2107,group00671
AAA044N04.genome.CDS.2100,group00397
AAA044N04.genome.CDS.2502,group00235
AAA044N04.genome.CDS.2102,group00752
AAA044N04.genome.CDS.2451,group00003
AAA044N04.genome.CDS.1712,group00406
AAA044N04.genome.CDS.1794,group00130
AAA044N04.genome.CDS.2281,group00300
AAA044N04.genome.CDS.2534,group00367
AAA044N04.genome.CDS.1931,group00863
AAA044N04.genome.CDS.2129,group00751
AAA044N04.genome.CDS.2093,group00773
AAA044N04.genome.CDS.2232,group00814
AAA044N04.genome.CDS.1665,group00536
AAA044N04.genome.CDS.1426,group00960
AAA044N04.genome.CDS.2230,group00327
AAA044N04.genome.CDS.1427,group01852
AAA044N04.genome.CDS.2479,group00050
AAA044N04.genome.CDS.1667,group00574
AAA044N04.genome.CDS.1660,group00370
AAA044N04.genome.CDS.2237,group00341
AAA044N04.genome.CDS.2226,group01307
AAA044N04.genome.CDS.2478,group01611
AAA044N04.genome.CDS.1846,group00402
AAA044N04.genome.CDS.2013,group00500
AAA044N04.genome.CDS.1847,group00435
AAA044N04.genome.CDS.2473,group02423
AAA044N04.genome.CDS.1021,group01057
AAA044N04.genome.CDS.1780,group00875
AAA044N04.genome.CDS.1808,group00556
AAA044N04.genome.CDS.1809,group00415
AAA044N04.genome.CDS.2356,group00503
AAA044N04.genome.CDS.1804,group00867
AAA044N04.genome.CDS.1805,group00518
AAA044N04.genome.CDS.1806,group00107
AAA044N04.genome.CDS.1807,group00527
AAA044N04.genome.CDS.1800,group00659
AAA044N04.genome.CDS.1801,group00313
AAA044N04.genome.CDS.1802,group00858
AAA044N04.genome.CDS.1803,group00162
AAA044N04.genome.CDS.1368,group01350
AAA044N04.genome.CDS.1926,group00280
AAA044N04.genome.CDS.1778,group00665
AAA044N04.genome.CDS.1593,group00567
AAA044N04.genome.CDS.1970,group03535
AAA044N04.genome.CDS.1376,group00537
AAA044N04.genome.CDS.1377,group01542
AAA044N04.genome.CDS.1374,group02410
AAA044N04.genome.CDS.1375,group01317
AAA044N04.genome.CDS.1372,group00005
AAA044N04.genome.CDS.1373,group01594
AAA044N04.genome.CDS.1370,group01418
AAA044N04.genome.CDS.1371,group03525
AAA044N04.genome.CDS.1277,group00615
AAA044N04.genome.CDS.2260,group00735
AAA044N04.genome.CDS.1378,group01210
AAA044N04.genome.CDS.1379,group01108
AAA044N04.genome.CDS.1879,group01668
AAA044N04.genome.CDS.1878,group00866
AAA044N04.genome.CDS.1796,group01079
AAA044N04.genome.CDS.1797,group00377
AAA044N04.genome.CDS.1790,group00441
AAA044N04.genome.CDS.1975,group02202
AAA044N04.genome.CDS.1976,group02194
AAA044N04.genome.CDS.1977,group01716
AAA044N04.genome.CDS.1655,group00677
AAA044N04.genome.CDS.1870,group01743
AAA044N04.genome.CDS.1873,group01201
AAA044N04.genome.CDS.1656,group00703
AAA044N04.genome.CDS.1798,group00293
AAA044N04.genome.CDS.1650,group00068
AAA044N04.genome.CDS.1877,group01511
AAA044N04.genome.CDS.1876,group01751
AAA044N04.genome.CDS.2492,group00491
AAA044N04.genome.CDS.2287,group00061
AAA044N04.genome.CDS.2258,group00704
AAA044N04.genome.CDS.1629,group00334
AAA044N04.genome.CDS.1496,group00869
AAA044N04.genome.CDS.1987,group01054
AAA044N04.genome.CDS.2012,group00833
AAA044N04.genome.CDS.1475,group00021
AAA044N04.genome.CDS.1474,group00838
AAA044N04.genome.CDS.1477,group00020
AAA044N04.genome.CDS.1986,group01346
AAA044N04.genome.CDS.1471,group01022
AAA044N04.genome.CDS.1470,group00785
AAA044N04.genome.CDS.1473,group01124
AAA044N04.genome.CDS.1472,group01022
AAA044N04.genome.CDS.1772,group00376
AAA044N04.genome.CDS.2496,group01615
AAA044N04.genome.CDS.488,group00799
AAA044N04.genome.CDS.1771,group00252
AAA044N04.genome.CDS.1479,group00653
AAA044N04.genome.CDS.1777,group00553
AAA044N04.genome.CDS.1774,group00526
AAA044N04.genome.CDS.1775,group01503
AAA044N04.genome.CDS.2386,group00190
AAA044N04.genome.CDS.2387,group00067
AAA044N04.genome.CDS.2384,group00182
AAA044N04.genome.CDS.2259,group00475
AAA044N04.genome.CDS.1578,group00426
AAA044N04.genome.CDS.2383,group00211
AAA044N04.genome.CDS.2380,group00028
AAA044N04.genome.CDS.2381,group00452
AAA044N04.genome.CDS.1574,group01093
AAA044N04.genome.CDS.1575,group00655
AAA044N04.genome.CDS.1576,group00477
AAA044N04.genome.CDS.1577,group00318
AAA044N04.genome.CDS.1570,group00249
AAA044N04.genome.CDS.1571,group00407
AAA044N04.genome.CDS.1572,group00218
AAA044N04.genome.CDS.2389,group00147
AAA044N04.genome.CDS.1488,group00554
AAA044N04.genome.CDS.1489,group00241
AAA044N04.genome.CDS.1920,group00893
AAA044N04.genome.CDS.1480,group00778
AAA044N04.genome.CDS.1927,group00409
AAA044N04.genome.CDS.1482,group00597
AAA044N04.genome.CDS.1483,group00464
AAA044N04.genome.CDS.1484,group00283
AAA044N04.genome.CDS.1485,group00432
AAA044N04.genome.CDS.2215,group01470
AAA044N04.genome.CDS.1487,group00693
AAA044N04.genome.CDS.2254,group00977
AAA044N04.genome.CDS.242,group00105
AAA044N04.genome.CDS.2257,group00810
AAA044N04.genome.CDS.2250,group00638
AAA044N04.genome.CDS.2251,group00169
AAA044N04.genome.CDS.2252,group00982
AAA044N04.genome.CDS.2253,group01455
AAA044N04.genome.CDS.2315,group01081
AAA044N04.genome.CDS.2314,group01135
AAA044N04.genome.CDS.2317,group01148
AAA044N04.genome.CDS.1292,group01088
AAA044N04.genome.CDS.2311,group00795
AAA044N04.genome.CDS.2310,group01210
AAA044N04.genome.CDS.2313,group00613
AAA044N04.genome.CDS.2312,group00433
AAA044N04.genome.CDS.1509,group00925
AAA044N04.genome.CDS.1508,group00941
AAA044N04.genome.CDS.2035,group00947
AAA044N04.genome.CDS.1501,group00686
AAA044N04.genome.CDS.1500,group00981
AAA044N04.genome.CDS.1503,group01186
AAA044N04.genome.CDS.1502,group00683
AAA044N04.genome.CDS.1505,group00631
AAA044N04.genome.CDS.1727,group00621
AAA044N04.genome.CDS.1507,group01007
AAA044N04.genome.CDS.1506,group00910
AAA044N04.genome.CDS.2427,group00391
AAA044N04.genome.CDS.2134,group00455
AAA044N04.genome.CDS.2425,group00760
AAA044N04.genome.CDS.2136,group00578
AAA044N04.genome.CDS.2131,group00226
AAA044N04.genome.CDS.2422,group00797
AAA044N04.genome.CDS.2421,group00391
AAA044N04.genome.CDS.2420,group00065
AAA044N04.genome.CDS.2139,group00010
AAA044N04.genome.CDS.2138,group00049
AAA044N04.genome.CDS.2429,group00651
AAA044N04.genome.CDS.2428,group00589
AAA044N04.genome.CDS.2221,group00954
AAA044N04.genome.CDS.2220,group01432
AAA044N04.genome.CDS.2223,group00748
AAA044N04.genome.CDS.2222,group01834
AAA044N04.genome.CDS.2225,group00983
AAA044N04.genome.CDS.2224,group01113
AAA044N04.genome.CDS.2555,group02760
AAA044N04.genome.CDS.2554,group02043
AAA044N04.genome.CDS.2229,group00033
AAA044N04.genome.CDS.2228,group00224
AAA044N04.genome.CDS.2559,group00701
AAA044N04.genome.CDS.2558,group00324
AAA044N04.genome.CDS.2233,group00232
AAA044N04.genome.CDS.2388,group00111
AAA044N04.genome.CDS.791,group00260
AAA044N04.genome.CDS.2269,group00758
AAA044N04.genome.CDS.1573,group00607
AAA044N04.genome.CDS.2181,group00199
AAA044N04.genome.CDS.1863,group01091
AAA044N04.genome.CDS.2112,group02420
AAA044N04.genome.CDS.1729,group00363
AAA044N04.genome.CDS.1922,group00174
AAA044N04.genome.CDS.2049,group01166
AAA044N04.genome.CDS.2048,group00816
AAA044N04.genome.CDS.1520,group01377
AAA044N04.genome.CDS.2041,group01447
AAA044N04.genome.CDS.2040,group00310
AAA044N04.genome.CDS.2043,group00504
AAA044N04.genome.CDS.1685,group00911
AAA044N04.genome.CDS.2045,group00266
AAA044N04.genome.CDS.2044,group00043
AAA044N04.genome.CDS.2047,group01571
AAA044N04.genome.CDS.2046,group00857
AAA044N04.genome.CDS.2399,group01505
AAA044N04.genome.CDS.1788,group00811
AAA044N04.genome.CDS.2038,group00796
AAA044N04.genome.CDS.2039,group01059
AAA044N04.genome.CDS.2034,group00614
AAA044N04.genome.CDS.2261,group00343
AAA044N04.genome.CDS.2036,group00007
AAA044N04.genome.CDS.2037,group00849
AAA044N04.genome.CDS.2030,group00438
AAA044N04.genome.CDS.1921,group00285
AAA044N04.genome.CDS.2292,group00933
AAA044N04.genome.CDS.2033,group00690
AAA044N04.genome.CDS.1964,group02755
AAA044N04.genome.CDS.1481,group03522
AAA044N04.genome.CDS.1449,group01345
AAA044N04.genome.CDS.2398,group01482
AAA044N04.genome.CDS.1653,group00962
AAA044N04.genome.CDS.1478,group00813
AAA044N04.genome.CDS.1885,group00524
AAA044N04.genome.CDS.2463,group01032
AAA044N04.genome.CDS.1602,group00627
AAA044N04.genome.CDS.1332,group00576
AAA044N04.genome.CDS.1600,group00992
AAA044N04.genome.CDS.1601,group00205
AAA044N04.genome.CDS.1606,group00090
AAA044N04.genome.CDS.1607,group00765
AAA044N04.genome.CDS.1604,group00192
AAA044N04.genome.CDS.1605,group00246
AAA044N04.genome.CDS.1608,group00317
AAA044N04.genome.CDS.1609,group00109
AAA044N04.genome.CDS.1598,group00642
AAA044N04.genome.CDS.1330,group00587
AAA044N04.genome.CDS.2401,group01428
AAA044N04.genome.CDS.1835,group00720
AAA044N04.genome.CDS.1834,group00519
AAA044N04.genome.CDS.1837,group00565
AAA044N04.genome.CDS.1836,group00837
AAA044N04.genome.CDS.1830,group01130
AAA044N04.genome.CDS.1833,group00584
AAA044N04.genome.CDS.2538,group01040
AAA044N04.genome.CDS.1336,group00891
AAA044N04.genome.CDS.1114,group01117
AAA044N04.genome.CDS.1883,group01739
AAA044N04.genome.CDS.1112,group01438
AAA044N04.genome.CDS.2256,group00705
AAA044N04.genome.CDS.1441,group01497
AAA044N04.genome.CDS.1898,group00001
AAA044N04.genome.CDS.1938,group00696
AAA044N04.genome.CDS.1939,group00427
AAA044N04.genome.CDS.1288,group00611
AAA044N04.genome.CDS.1289,group00688
AAA044N04.genome.CDS.1286,group00764
AAA044N04.genome.CDS.2319,group00478
AAA044N04.genome.CDS.1284,group00820
AAA044N04.genome.CDS.1285,group00824
AAA044N04.genome.CDS.1930,group00216
AAA044N04.genome.CDS.1283,group00844
AAA044N04.genome.CDS.1932,group01006
AAA044N04.genome.CDS.1933,group00573
AAA044N04.genome.CDS.1736,group00394
AAA044N04.genome.CDS.1737,group00362
AAA044N04.genome.CDS.1734,group00202
AAA044N04.genome.CDS.1735,group00425
AAA044N04.genome.CDS.1732,group00284
AAA044N04.genome.CDS.1622,group00085
AAA044N04.genome.CDS.1730,group00999
AAA044N04.genome.CDS.2439,group00514
AAA044N04.genome.CDS.569,group03540
AAA044N04.genome.CDS.1738,group00257
AAA044N04.genome.CDS.2198,group00806
AAA044N04.genome.CDS.1309,group01012
AAA044N04.genome.CDS.1308,group00984
AAA044N04.genome.CDS.1307,group00016
AAA044N04.genome.CDS.1306,group00004
AAA044N04.genome.CDS.1305,group00342
AAA044N04.genome.CDS.1304,group00724
AAA044N04.genome.CDS.1303,group01161
AAA044N04.genome.CDS.1302,group00282
AAA044N04.genome.CDS.1301,group00457
AAA044N04.genome.CDS.1300,group00523
AAA044N04.genome.CDS.1949,group01023
AAA044N04.genome.CDS.1948,group01108
AAA044N04.genome.CDS.2316,group02705
AAA044N04.genome.CDS.1795,group00498
AAA044N04.genome.CDS.1364,group01119
AAA044N04.genome.CDS.1941,group00733
AAA044N04.genome.CDS.1940,group00469
AAA044N04.genome.CDS.1943,group02414
AAA044N04.genome.CDS.1942,group00489
AAA044N04.genome.CDS.1945,group01084
AAA044N04.genome.CDS.1944,group00490
AAA044N04.genome.CDS.1947,group01319
AAA044N04.genome.CDS.1946,group01512
AAA044N04.genome.CDS.2169,group00936
AAA044N04.genome.CDS.591,group02207
AAA044N04.genome.CDS.1718,group01242
AAA044N04.genome.CDS.1450,group00096
AAA044N04.genome.CDS.1452,group01106
AAA044N04.genome.CDS.1719,group01112
AAA044N04.genome.CDS.1545,group00124
AAA044N04.genome.CDS.1544,group00292
AAA044N04.genome.CDS.1428,group00395
AAA044N04.genome.CDS.1429,group00021
AAA044N04.genome.CDS.1541,group00168
AAA044N04.genome.CDS.1540,group00078
AAA044N04.genome.CDS.1543,group00513
AAA044N04.genome.CDS.1542,group01823
AAA044N04.genome.CDS.1422,group00242
AAA044N04.genome.CDS.1423,group01025
AAA044N04.genome.CDS.1420,group01378
AAA044N04.genome.CDS.1421,group01402
AAA044N04.genome.CDS.1549,group00450
AAA044N04.genome.CDS.1548,group00204
AAA044N04.genome.CDS.1424,group00024
AAA044N04.genome.CDS.1425,group00707
AAA044N04.genome.CDS.1334,group00770
AAA044N04.genome.CDS.1625,group01062
AAA044N04.genome.CDS.2342,group00727
AAA044N04.genome.CDS.2343,group00538
AAA044N04.genome.CDS.2340,group00430
AAA044N04.genome.CDS.2341,group00144
AAA044N04.genome.CDS.2346,group01440
AAA044N04.genome.CDS.2347,group01618
AAA044N04.genome.CDS.2344,group02206
AAA044N04.genome.CDS.2345,group00672
AAA044N04.genome.CDS.1710,group00721
AAA044N04.genome.CDS.2348,group01663
AAA044N04.genome.CDS.2349,group01449
AAA044N04.genome.CDS.2103,group00870
AAA044N04.genome.CDS.2008,group01608
AAA044N04.genome.CDS.2184,group01271
AAA044N04.genome.CDS.2185,group01020
AAA044N04.genome.CDS.2186,group01258
AAA044N04.genome.CDS.2187,group00828
AAA044N04.genome.CDS.2180,group00009
AAA044N04.genome.CDS.2268,group00420
AAA044N04.genome.CDS.2182,group00706
AAA044N04.genome.CDS.2183,group00023
AAA044N04.genome.CDS.2265,group00889
AAA044N04.genome.CDS.2264,group00736
AAA044N04.genome.CDS.2267,group00233
AAA044N04.genome.CDS.2266,group00385
AAA044N04.genome.CDS.2188,group00428
AAA044N04.genome.CDS.2189,group00351
AAA044N04.genome.CDS.2263,group00798
AAA044N04.genome.CDS.2262,group00620
AAA044N04.genome.CDS.1884,group00986
AAA044N04.genome.CDS.1783,group00769
AAA044N04.genome.CDS.1886,group00112
AAA044N04.genome.CDS.1887,group00661
AAA044N04.genome.CDS.1880,group01504
AAA044N04.genome.CDS.1881,group00181
AAA044N04.genome.CDS.1882,group01110
AAA044N04.genome.CDS.2462,group00593
AAA044N04.genome.CDS.1888,group00713
AAA044N04.genome.CDS.1889,group00153
AAA044N04.genome.CDS.1504,group00071
AAA044N04.genome.CDS.2005,group01138
AAA044N04.genome.CDS.2004,group01056
AAA044N04.genome.CDS.2168,group01118
AAA044N04.genome.CDS.2006,group01005
AAA044N04.genome.CDS.2000,group00812
AAA044N04.genome.CDS.2003,group01260
AAA044N04.genome.CDS.2002,group02366
AAA044N04.genome.CDS.2162,group00045
AAA044N04.genome.CDS.2163,group00825
AAA044N04.genome.CDS.2160,group01031
AAA044N04.genome.CDS.2161,group00637
AAA044N04.genome.CDS.2166,group01049
AAA044N04.genome.CDS.2167,group00575
AAA044N04.genome.CDS.2164,group00629
AAA044N04.genome.CDS.2165,group00681
AAA044N04.genome.CDS.2508,group00405
AAA044N04.genome.CDS.2135,group00654
AAA044N04.genome.CDS.2461,group00256
AAA044N04.genome.CDS.2460,group00472
AAA044N04.genome.CDS.2467,group01845
AAA044N04.genome.CDS.2466,group03548
AAA044N04.genome.CDS.2465,group02422
AAA044N04.genome.CDS.2426,group00685
AAA044N04.genome.CDS.2500,group00413
AAA044N04.genome.CDS.2501,group00414
AAA044N04.genome.CDS.2469,group00929
AAA044N04.genome.CDS.2503,group00200
AAA044N04.genome.CDS.2504,group00719
AAA044N04.genome.CDS.2505,group00599
AAA044N04.genome.CDS.2506,group00261
AAA044N04.genome.CDS.2507,group00031
AAA044N04.genome.CDS.1967,group02415
AAA044N04.genome.CDS.1579,group00389
AAA044N04.genome.CDS.2424,group00711
AAA044N04.genome.CDS.1456,group01309
AAA044N04.genome.CDS.1621,group00041
AAA044N04.genome.CDS.2423,group00850
AAA044N04.genome.CDS.1492,group01475
AAA044N04.genome.CDS.1965,group01666
AAA044N04.genome.CDS.2064,group00287
AAA044N04.genome.CDS.2130,group00497
AAA044N04.genome.CDS.2489,group00141
AAA044N04.genome.CDS.1530,group00368
AAA044N04.genome.CDS.2468,group03547
AAA044N04.genome.CDS.2133,group00750
AAA044N04.genome.CDS.1531,group00401
AAA044N04.genome.CDS.2481,group00386
AAA044N04.genome.CDS.2480,group00139
AAA044N04.genome.CDS.2483,group01009
AAA044N04.genome.CDS.2482,group00439
AAA044N04.genome.CDS.2485,group00516
AAA044N04.genome.CDS.2484,group00634
AAA044N04.genome.CDS.2487,group00016
AAA044N04.genome.CDS.2486,group00004
AAA044N04.genome.CDS.1626,group00101
AAA044N04.genome.CDS.2122,group00361
AAA044N04.genome.CDS.1678,group00712
AAA044N04.genome.CDS.1627,group00196
AAA044N04.genome.CDS.2010,group02418
AAA044N04.genome.CDS.2464,group00543
AAA044N04.genome.CDS.2551,group01348
AAA044N04.genome.CDS.2200,group00926
AAA044N04.genome.CDS.1335,group00728
AAA044N04.genome.CDS.1587,group00566
AAA044N04.genome.CDS.1539,group00195
AAA044N04.genome.CDS.1457,group01351
AAA044N04.genome.CDS.2011,group00743
AAA044N04.genome.CDS.1916,group00039
AAA044N04.genome.CDS.1872,group01181
AAA044N04.genome.CDS.2552,group01424
AAA044N04.genome.CDS.2550,group00058
AAA044N04.genome.CDS.1671,group00839
AAA044N04.genome.CDS.1260,group01427
AAA044N04.genome.CDS.1670,group01406
AAA044N04.genome.CDS.2557,group01215
AAA044N04.genome.CDS.2132,group01086
AAA044N04.genome.CDS.1581,group00436
AAA044N04.genome.CDS.1913,group00209
AAA044N04.genome.CDS.1905,group00874
AAA044N04.genome.CDS.1904,group00622
AAA044N04.genome.CDS.1907,group00494
AAA044N04.genome.CDS.1869,group01744
AAA044N04.genome.CDS.1901,group00520
AAA044N04.genome.CDS.2227,group02758
AAA044N04.genome.CDS.1648,group00189
AAA044N04.genome.CDS.1902,group00463
AAA044N04.genome.CDS.1862,group00826
AAA044N04.genome.CDS.1647,group00476
AAA044N04.genome.CDS.1644,group00143
AAA044N04.genome.CDS.1645,group00571
AAA044N04.genome.CDS.1866,group01365
AAA044N04.genome.CDS.1908,group00462
AAA044N04.genome.CDS.1640,group00193
AAA044N04.genome.CDS.1865,group00805
AAA044N04.genome.CDS.1851,group01985
AAA044N04.genome.CDS.1954,group01037
AAA044N04.genome.CDS.2513,group00323
AAA044N04.genome.CDS.1855,group02660
AAA044N04.genome.CDS.1466,group00254
AAA044N04.genome.CDS.1467,group00081
AAA044N04.genome.CDS.1464,group00177
AAA044N04.genome.CDS.1465,group00094
AAA044N04.genome.CDS.1462,group00051
AAA044N04.genome.CDS.2556,group01310
AAA044N04.genome.CDS.1749,group00121
AAA044N04.genome.CDS.1461,group00674
AAA044N04.genome.CDS.1747,group00158
AAA044N04.genome.CDS.1494,group00583
AAA044N04.genome.CDS.1745,group00852
AAA044N04.genome.CDS.1744,group00104
AAA044N04.genome.CDS.1743,group00106
AAA044N04.genome.CDS.1742,group00299
AAA044N04.genome.CDS.1741,group00657
AAA044N04.genome.CDS.1740,group00136
AAA044N04.genome.CDS.1546,group00156
AAA044N04.genome.CDS.1580,group00431
AAA044N04.genome.CDS.1583,group00717
AAA044N04.genome.CDS.1582,group00089
AAA044N04.genome.CDS.1585,group00271
AAA044N04.genome.CDS.1584,group00239
AAA044N04.genome.CDS.1703,group01090
AAA044N04.genome.CDS.1586,group00675
AAA044N04.genome.CDS.1589,group00099
AAA044N04.genome.CDS.1588,group00700
AAA044N04.genome.CDS.1850,group01879
AAA044N04.genome.CDS.2027,group00178
AAA044N04.genome.CDS.2514,group00138
AAA044N04.genome.CDS.1349,group00550
AAA044N04.genome.CDS.1348,group00617
AAA044N04.genome.CDS.1900,group00549
AAA044N04.genome.CDS.1343,group00658
AAA044N04.genome.CDS.1342,group00347
AAA044N04.genome.CDS.1341,group00346
AAA044N04.genome.CDS.1340,group00345
AAA044N04.genome.CDS.1347,group00551
AAA044N04.genome.CDS.1346,group00710
AAA044N04.genome.CDS.1345,group01574
AAA044N04.genome.CDS.1344,group02200
AAA044N04.genome.CDS.1408,group00212
AAA044N04.genome.CDS.1702,group00586
AAA044N04.genome.CDS.2308,group01338
AAA044N04.genome.CDS.1760,group00082
AAA044N04.genome.CDS.2306,group00027
AAA044N04.genome.CDS.2307,group01785
AAA044N04.genome.CDS.390,group00474
AAA044N04.genome.CDS.2518,group00975
AAA044N04.genome.CDS.2302,group01786
AAA044N04.genome.CDS.2303,group01287
AAA044N04.genome.CDS.2300,group01159
AAA044N04.genome.CDS.2301,group01707
AAA044N04.genome.CDS.1469,group02749
AAA044N04.genome.CDS.2111,group02419
AAA044N04.genome.CDS.1518,group00679
AAA044N04.genome.CDS.1519,group00680
AAA044N04.genome.CDS.2350,group03544
AAA044N04.genome.CDS.1512,group00559
AAA044N04.genome.CDS.1513,group01194
AAA044N04.genome.CDS.1510,group00987
AAA044N04.genome.CDS.1511,group01142
AAA044N04.genome.CDS.1516,group00647
AAA044N04.genome.CDS.1517,group00424
AAA044N04.genome.CDS.1514,group01263
AAA044N04.genome.CDS.1515,group00032
AAA044N04.genome.CDS.2531,group00845
AAA044N04.genome.CDS.2530,group00623
AAA044N04.genome.CDS.2124,group00215
AAA044N04.genome.CDS.2125,group00057
AAA044N04.genome.CDS.2535,group00288
AAA044N04.genome.CDS.2123,group00002
AAA044N04.genome.CDS.2537,group00460
AAA044N04.genome.CDS.2288,group00187
AAA044N04.genome.CDS.2539,group02759
AAA044N04.genome.CDS.2286,group00265
AAA044N04.genome.CDS.2285,group00083
AAA044N04.genome.CDS.2284,group00053
AAA044N04.genome.CDS.2283,group00349
AAA044N04.genome.CDS.2282,group00378
AAA044N04.genome.CDS.2128,group00905
AAA044N04.genome.CDS.2280,group00194
AAA044N04.genome.CDS.2544,group00010
AAA044N04.genome.CDS.2545,group01462
AAA044N04.genome.CDS.2546,group01596
AAA044N04.genome.CDS.2231,group00966
AAA044N04.genome.CDS.2540,group01601
AAA044N04.genome.CDS.2541,group02172
AAA044N04.genome.CDS.2542,group01688
AAA044N04.genome.CDS.2235,group00161
AAA044N04.genome.CDS.2238,group00625
AAA044N04.genome.CDS.2239,group00624
AAA044N04.genome.CDS.2397,group01712
AAA044N04.genome.CDS.2396,group01711
AAA044N04.genome.CDS.1367,group01291
AAA044N04.genome.CDS.2488,group00737
AAA044N04.genome.CDS.1699,group01525
AAA044N04.genome.CDS.2363,group00832
AAA044N04.genome.CDS.1751,group00274
AAA044N04.genome.CDS.1770,group00366
AAA044N04.genome.CDS.2018,group00725
AAA044N04.genome.CDS.1333,group01036
AAA044N04.genome.CDS.75,group00579
AAA044N04.genome.CDS.2058,group00176
AAA044N04.genome.CDS.2059,group00979
AAA044N04.genome.CDS.2510,group00499
AAA044N04.genome.CDS.1906,group00667
AAA044N04.genome.CDS.2052,group00668
AAA044N04.genome.CDS.2053,group01001
AAA044N04.genome.CDS.2050,group00029
AAA044N04.genome.CDS.2051,group01247
AAA044N04.genome.CDS.2056,group00730
AAA044N04.genome.CDS.2057,group00784
AAA044N04.genome.CDS.2054,group00590
AAA044N04.genome.CDS.2055,group00052
AAA044N04.genome.CDS.2438,group00197
AAA044N04.genome.CDS.2218,group00510
AAA044N04.genome.CDS.2219,group01261
AAA044N04.genome.CDS.2430,group00783
AAA044N04.genome.CDS.2431,group00210
AAA044N04.genome.CDS.2432,group00278
AAA044N04.genome.CDS.2433,group00632
AAA044N04.genome.CDS.2434,group01058
AAA044N04.genome.CDS.2435,group01376
AAA044N04.genome.CDS.2436,group01419
AAA044N04.genome.CDS.2437,group00664
AAA044N04.genome.CDS.1361,group00755
AAA044N04.genome.CDS.1691,group00185
AAA044N04.genome.CDS.1759,group00150
AAA044N04.genome.CDS.670,group03539
AAA044N04.genome.CDS.2120,group00014
AAA044N04.genome.CDS.2194,group00267
AAA044N04.genome.CDS.1331,group00113
AAA044N04.genome.CDS.2568,group01030
AAA044N04.genome.CDS.1637,group00084
AAA044N04.genome.CDS.1636,group01034
AAA044N04.genome.CDS.1635,group01033
AAA044N04.genome.CDS.1634,group00848
AAA044N04.genome.CDS.1633,group00974
AAA044N04.genome.CDS.1631,group00963
AAA044N04.genome.CDS.1630,group00170
AAA044N04.genome.CDS.2212,group01296
AAA044N04.genome.CDS.1639,group00188
AAA044N04.genome.CDS.1638,group00086
AAA044N04.genome.CDS.1826,group00530
AAA044N04.genome.CDS.1827,group01616
AAA044N04.genome.CDS.1824,group00304
AAA044N04.genome.CDS.1825,group00422
AAA044N04.genome.CDS.1822,group00633
AAA044N04.genome.CDS.1823,group00344
AAA044N04.genome.CDS.1820,group01169
AAA044N04.genome.CDS.1821,group00446
AAA044N04.genome.CDS.1041,group01522
AAA044N04.genome.CDS.1042,group00973
AAA044N04.genome.CDS.1363,group00774
AAA044N04.genome.CDS.1590,group00100
AAA044N04.genome.CDS.1828,group01473
AAA044N04.genome.CDS.1829,group01251
AAA044N04.genome.CDS.1874,group01244
AAA044N04.genome.CDS.2121,group00612
AAA044N04.genome.CDS.1591,group00131
AAA044N04.genome.CDS.1868,group01671
AAA044N04.genome.CDS.1911,group00171
