AAA023J06.genome.CDS.1337,group00850
AAA023J06.genome.CDS.1121,group00014
AAA023J06.genome.CDS.1126,group01096
AAA023J06.genome.CDS.1127,group01751
AAA023J06.genome.CDS.898,group00485
AAA023J06.genome.CDS.899,group00143
AAA023J06.genome.CDS.896,group00591
AAA023J06.genome.CDS.897,group00630
AAA023J06.genome.CDS.894,group00188
AAA023J06.genome.CDS.895,group00193
AAA023J06.genome.CDS.892,group00084
AAA023J06.genome.CDS.893,group00086
AAA023J06.genome.CDS.890,group01596
AAA023J06.genome.CDS.891,group03731
AAA023J06.genome.CDS.1424,group00629
AAA023J06.genome.CDS.1192,group00960
AAA023J06.genome.CDS.133,group03734
AAA023J06.genome.CDS.132,group03735
AAA023J06.genome.CDS.764,group01006
AAA023J06.genome.CDS.765,group00863
AAA023J06.genome.CDS.766,group00216
AAA023J06.genome.CDS.767,group01099
AAA023J06.genome.CDS.760,group00529
AAA023J06.genome.CDS.761,group00605
AAA023J06.genome.CDS.762,group00660
AAA023J06.genome.CDS.763,group00573
AAA023J06.genome.CDS.768,group01464
AAA023J06.genome.CDS.769,group00409
AAA023J06.genome.CDS.884,group00897
AAA023J06.genome.CDS.1081,group01835
AAA023J06.genome.CDS.1080,group01240
AAA023J06.genome.CDS.1083,group01292
AAA023J06.genome.CDS.1082,group00038
AAA023J06.genome.CDS.1085,group01097
AAA023J06.genome.CDS.1084,group01932
AAA023J06.genome.CDS.1087,group00144
AAA023J06.genome.CDS.1086,group00430
AAA023J06.genome.CDS.1089,group00538
AAA023J06.genome.CDS.1088,group00727
AAA023J06.genome.CDS.423,group00583
AAA023J06.genome.CDS.1212,group01016
AAA023J06.genome.CDS.1213,group00539
AAA023J06.genome.CDS.1179,group01308
AAA023J06.genome.CDS.1178,group00012
AAA023J06.genome.CDS.1166,group01634
AAA023J06.genome.CDS.1167,group00012
AAA023J06.genome.CDS.1164,group00957
AAA023J06.genome.CDS.1165,group01106
AAA023J06.genome.CDS.1162,group03715
AAA023J06.genome.CDS.1163,group01202
AAA023J06.genome.CDS.1249,group00518
AAA023J06.genome.CDS.1248,group00107
AAA023J06.genome.CDS.1247,group00527
AAA023J06.genome.CDS.1246,group00556
AAA023J06.genome.CDS.1245,group00415
AAA023J06.genome.CDS.1244,group00493
AAA023J06.genome.CDS.1243,group00600
AAA023J06.genome.CDS.1242,group00585
AAA023J06.genome.CDS.1168,group01281
AAA023J06.genome.CDS.392,group03758
AAA023J06.genome.CDS.869,group00935
AAA023J06.genome.CDS.868,group00906
AAA023J06.genome.CDS.867,group01740
AAA023J06.genome.CDS.866,group00271
AAA023J06.genome.CDS.865,group01791
AAA023J06.genome.CDS.864,group00884
AAA023J06.genome.CDS.863,group00860
AAA023J06.genome.CDS.862,group00000
AAA023J06.genome.CDS.861,group01514
AAA023J06.genome.CDS.860,group01696
AAA023J06.genome.CDS.1227,group00000
AAA023J06.genome.CDS.941,group00992
AAA023J06.genome.CDS.1018,group00268
AAA023J06.genome.CDS.1019,group00445
AAA023J06.genome.CDS.1012,group00519
AAA023J06.genome.CDS.1013,group00720
AAA023J06.genome.CDS.558,group02894
AAA023J06.genome.CDS.1016,group01045
AAA023J06.genome.CDS.1017,group00564
AAA023J06.genome.CDS.1014,group00837
AAA023J06.genome.CDS.1015,group00565
AAA023J06.genome.CDS.913,group00101
AAA023J06.genome.CDS.912,group00196
AAA023J06.genome.CDS.911,group00295
AAA023J06.genome.CDS.910,group00334
AAA023J06.genome.CDS.917,group00041
AAA023J06.genome.CDS.916,group00085
AAA023J06.genome.CDS.915,group00019
AAA023J06.genome.CDS.914,group00077
AAA023J06.genome.CDS.919,group00125
AAA023J06.genome.CDS.918,group00166
AAA023J06.genome.CDS.1423,group00825
AAA023J06.genome.CDS.1422,group02406
AAA023J06.genome.CDS.1421,group02188
AAA023J06.genome.CDS.1420,group01826
AAA023J06.genome.CDS.698,group01405
AAA023J06.genome.CDS.1426,group00266
AAA023J06.genome.CDS.1425,group00857
AAA023J06.genome.CDS.1383,group00254
AAA023J06.genome.CDS.1429,group00290
AAA023J06.genome.CDS.1428,group01333
AAA023J06.genome.CDS.693,group00615
AAA023J06.genome.CDS.1229,group01749
AAA023J06.genome.CDS.1387,group03745
AAA023J06.genome.CDS.878,group01291
AAA023J06.genome.CDS.1385,group00941
AAA023J06.genome.CDS.970,group01639
