Clade,COG,CDS,Total
acI-A,group00311,"AAA024D14.genome.CDS.1030,AAA027M14.genome.CDS.1666,AAA028E20.genome.CDS.1554,AAA028G02.genome.CDS.1775,AAA028I14.genome.CDS.1397,AAA041L13.genome.CDS.2858,AAA044N04.genome.CDS.2105,AAA044O16.genome.CDS.2157,MEint1363.genome.CDS.1048,MEint2297.genome.CDS.1437",3
acI-A,group00315,"AAA024D14.genome.CDS.1225,AAA027M14.genome.CDS.952,AAA028E20.genome.CDS.1487,AAA028G02.genome.CDS.1592,AAA041L13.genome.CDS.2042,AAA044N04.genome.CDS.2271,AAA278O22.genome.CDS.1963,MEint1363.genome.CDS.1247,MEint1363.genome.CDS.1703,MEint2297.genome.CDS.1738",4
acI-A,group00316,"AAA023J06.genome.CDS.1396,AAA027M14.genome.CDS.974,AAA028E20.genome.CDS.49,AAA028G02.genome.CDS.2525,AAA044N04.genome.CDS.1318,AAA044O16.genome.CDS.1652,AAA278O22.genome.CDS.1857,MEint1363.genome.CDS.1297,MEint2297.genome.CDS.2187",2
acI-A,group00318,"AAA028G02.genome.CDS.2089,AAA028I14.genome.CDS.192,AAA041L13.genome.CDS.1768,AAA044N04.genome.CDS.1577,AAA044O16.genome.CDS.2549,AAA278O22.genome.CDS.1524,MEint1363.genome.CDS.1470,MEint2297.genome.CDS.2340",10
acI-A,group00319,"AAA023J06.genome.CDS.1145,AAA028E20.genome.CDS.1783,AAA028I14.genome.CDS.844,AAA041L13.genome.CDS.1675,AAA044N04.genome.CDS.1493,AAA278O22.genome.CDS.1171,MEint1363.genome.CDS.1225,MEint2297.genome.CDS.2469",29
acI-A,group00322,"AAA027M14.genome.CDS.1234,AAA028E20.genome.CDS.1353,AAA028G02.genome.CDS.1801,AAA041L13.genome.CDS.1946,AAA044N04.genome.CDS.2068,AAA044O16.genome.CDS.2193,AAA278O22.genome.CDS.2225,MEint1363.genome.CDS.1130,MEint1363.genome.CDS.1518,MEint2297.genome.CDS.1474",41
acI-A,group00323,"AAA023J06.genome.CDS.1037,AAA028G02.genome.CDS.2361,AAA028I14.genome.CDS.1143,AAA041L13.genome.CDS.2801,AAA044N04.genome.CDS.2513,AAA044O16.genome.CDS.1452,MEint1363.genome.CDS.1332,MEint2297.genome.CDS.2105",1
acI-A,group00327,"AAA027M14.genome.CDS.912,AAA028E20.genome.CDS.1513,AAA028G02.genome.CDS.1638,AAA041L13.genome.CDS.2301,AAA044N04.genome.CDS.2230,AAA044O16.genome.CDS.2115,AAA278O22.genome.CDS.1479,MEint1363.genome.CDS.1889,MEint2297.genome.CDS.1778,MEint2297.genome.CDS.2593",8
acI-A,group00328,"AAA024D14.genome.CDS.1347,AAA028E20.genome.CDS.1385,AAA028G02.genome.CDS.2554,AAA044N04.genome.CDS.1290,AAA044O16.genome.CDS.1685,AAA278O22.genome.CDS.1884",2
acI-A,group00329,"AAA023J06.genome.CDS.986,AAA024D14.genome.CDS.1168,AAA027M14.genome.CDS.1491,AAA028E20.genome.CDS.1304,AAA028G02.genome.CDS.2062,AAA041L13.genome.CDS.2368,AAA044N04.genome.CDS.1550,AAA044O16.genome.CDS.2522,AAA278O22.genome.CDS.1551,MEint1363.genome.CDS.1175,MEint2297.genome.CDS.1538",28
acI-A,group00336,"AAA023J06.genome.CDS.928,AAA024D14.genome.CDS.840,AAA028E20.genome.CDS.1791,AAA028G02.genome.CDS.2123,AAA028I14.genome.CDS.1363,AAA041L13.genome.CDS.1732,AAA044N04.genome.CDS.1613,AAA044O16.genome.CDS.2584,AAA278O22.genome.CDS.1492,MEint1363.genome.CDS.1503,MEint2297.genome.CDS.1594",3
acI-A,group00346,"AAA023J06.genome.CDS.1476,AAA024D14.genome.CDS.1432,AAA027M14.genome.CDS.1187,AAA028E20.genome.CDS.1080,AAA028G02.genome.CDS.1747,AAA041L13.genome.CDS.2467,AAA044N04.genome.CDS.1341,AAA044O16.genome.CDS.1858,AAA278O22.genome.CDS.1321,MEint1363.genome.CDS.1817,MEint2297.genome.CDS.2137",8
acI-A,group00347,"AAA023J06.genome.CDS.1475,AAA024D14.genome.CDS.1433,AAA027M14.genome.CDS.1186,AAA028E20.genome.CDS.1079,AAA028G02.genome.CDS.1746,AAA041L13.genome.CDS.2466,AAA044N04.genome.CDS.1342,AAA044O16.genome.CDS.1859,AAA278O22.genome.CDS.1320,MEint1363.genome.CDS.1816,MEint2297.genome.CDS.2138",3
acI-A,group00348,"AAA027M14.genome.CDS.958,AAA028E20.genome.CDS.1482,AAA028G02.genome.CDS.1587,AAA041L13.genome.CDS.2036,AAA044N04.genome.CDS.2277,AAA278O22.genome.CDS.1957,MEint1363.genome.CDS.1253,MEint2297.genome.CDS.1732",15
acI-A,group00349,"AAA027M14.genome.CDS.964,AAA028E20.genome.CDS.1476,AAA028G02.genome.CDS.1581,AAA041L13.genome.CDS.2030,AAA044N04.genome.CDS.2283,AAA044O16.genome.CDS.2375,AAA278O22.genome.CDS.1951,MEint1363.genome.CDS.1259,MEint2297.genome.CDS.1726",4
acI-A,group00350,"AAA024D14.genome.CDS.1582,AAA027M14.genome.CDS.1056,AAA028G02.genome.CDS.2585,AAA044N04.genome.CDS.2195,AAA044O16.genome.CDS.2472,MEint1363.genome.CDS.946,MEint2297.genome.CDS.1901",21
acI-A,group00352,"AAA024D14.genome.CDS.1023,AAA028G02.genome.CDS.2621,AAA028I14.genome.CDS.1164,AAA041L13.genome.CDS.2586,AAA044N04.genome.CDS.2099,AAA044O16.genome.CDS.1578,AAA278O22.genome.CDS.1208,MEint1363.genome.CDS.1643,MEint2297.genome.CDS.2005,MEint2297.genome.CDS.2257",1
acI-A,group00353,"AAA028E20.genome.CDS.1260,AAA028G02.genome.CDS.2222,AAA028I14.genome.CDS.1228,AAA044N04.genome.CDS.1716,AAA044O16.genome.CDS.2685,AAA278O22.genome.CDS.2104,MEint1363.genome.CDS.1365,MEint2297.genome.CDS.1938",2
acI-A,group00355,"AAA024D14.genome.CDS.797,AAA027M14.genome.CDS.1588,AAA028E20.genome.CDS.1746,AAA028G02.genome.CDS.2169,AAA028I14.genome.CDS.1283,AAA041L13.genome.CDS.1857,AAA044N04.genome.CDS.1658,AAA044O16.genome.CDS.2631,MEint1363.genome.CDS.1416,MEint2297.genome.CDS.1636,MEint2297.genome.CDS.1931",4
acI-A,group00356,"AAA027M14.genome.CDS.1624,AAA028E20.genome.CDS.1601,AAA028G02.genome.CDS.1556,AAA278O22.genome.CDS.2345,MEint2297.genome.CDS.2006,MEint2297.genome.CDS.2256",2
acI-A,group00357,"AAA028E20.genome.CDS.1254,AAA028G02.genome.CDS.2234,AAA028I14.genome.CDS.1222,AAA044N04.genome.CDS.1724,AAA044O16.genome.CDS.2706,AAA278O22.genome.CDS.2136,AAA278O22.genome.CDS.2145,MEint1363.genome.CDS.1794",14
acI-A,group00367,"AAA023J06.genome.CDS.1306,AAA024D14.genome.CDS.1515,AAA027M14.genome.CDS.864,AAA028E20.genome.CDS.1821,AAA028G02.genome.CDS.1997,AAA041L13.genome.CDS.2403,AAA044N04.genome.CDS.2534,AAA044O16.genome.CDS.1792,AAA278O22.genome.CDS.1426,MEint2297.genome.CDS.2453",7
acI-A,group00371,"AAA024D14.genome.CDS.1018,AAA028E20.genome.CDS.1104,AAA028I14.genome.CDS.897,AAA044N04.genome.CDS.2442,AAA044O16.genome.CDS.2759,MEint2297.genome.CDS.1665",56
acI-A,group00372,"AAA027M14.genome.CDS.1227,AAA028E20.genome.CDS.1359,AAA028G02.genome.CDS.1808,AAA041L13.genome.CDS.1940,AAA044N04.genome.CDS.2062,AAA044O16.genome.CDS.2200,AAA278O22.genome.CDS.2232,MEint1363.genome.CDS.1525,MEint2297.genome.CDS.1481",4
acI-A,group00373,"AAA023J06.genome.CDS.983,AAA024D14.genome.CDS.1165,AAA027M14.genome.CDS.1494,AAA028E20.genome.CDS.1007,AAA028G02.genome.CDS.2059,AAA041L13.genome.CDS.2676,AAA044N04.genome.CDS.1547,AAA044O16.genome.CDS.2519,AAA278O22.genome.CDS.1554,MEint1363.genome.CDS.1172,MEint2297.genome.CDS.1541",11
acI-A,group00375,"AAA027M14.genome.CDS.1240,AAA028E20.genome.CDS.1348,AAA028G02.genome.CDS.1796,AAA041L13.genome.CDS.1951,AAA044N04.genome.CDS.2073,AAA044O16.genome.CDS.2188,AAA278O22.genome.CDS.2220,MEint1363.genome.CDS.1135,MEint2297.genome.CDS.1469",1
acI-A,group00379,"AAA028I14.genome.CDS.1121,AAA041L13.genome.CDS.1577,AAA044N04.genome.CDS.2491,AAA044O16.genome.CDS.1432,AAA278O22.genome.CDS.2343,MEint1363.genome.CDS.1353,MEint2297.genome.CDS.1701",97
acI-A,group00380,"AAA024D14.genome.CDS.895,AAA027M14.genome.CDS.1136,AAA028E20.genome.CDS.1029,AAA044N04.genome.CDS.1404,AAA044O16.genome.CDS.1916,AAA278O22.genome.CDS.1269,MEint1363.genome.CDS.1314",65
acI-A,group00381,"AAA027M14.genome.CDS.1413,AAA028E20.genome.CDS.1239,AAA028G02.genome.CDS.2249,AAA028I14.genome.CDS.1207,AAA041L13.genome.CDS.1914,AAA044N04.genome.CDS.1739,AAA044O16.genome.CDS.2721,AAA278O22.genome.CDS.2121,MEint1363.genome.CDS.1779,MEint2297.genome.CDS.2553",19
acI-A,group00382,"AAA027M14.genome.CDS.574,AAA028E20.genome.CDS.1247,AAA028G02.genome.CDS.2241,AAA028I14.genome.CDS.1215,AAA044N04.genome.CDS.1731,AAA044O16.genome.CDS.1315,AAA278O22.genome.CDS.968,MEint1363.genome.CDS.1787,MEint2297.genome.CDS.2561",2
acI-A,group00383,"AAA027M14.genome.CDS.1604,AAA027M14.genome.CDS.706,AAA028E20.genome.CDS.1836,AAA028G02.genome.CDS.1865,AAA041L13.genome.CDS.2252,AAA044N04.genome.CDS.2017,AAA044O16.genome.CDS.2256,AAA278O22.genome.CDS.1694",1
acI-A,group00387,"AAA027M14.genome.CDS.957,AAA028E20.genome.CDS.1483,AAA028G02.genome.CDS.1588,AAA041L13.genome.CDS.592,AAA044N04.genome.CDS.2276,AAA278O22.genome.CDS.1958,MEint1363.genome.CDS.1252,MEint2297.genome.CDS.1733",3
acI-A,group00388,"AAA024D14.genome.CDS.893,AAA027M14.genome.CDS.1138,AAA028E20.genome.CDS.1031,AAA044N04.genome.CDS.1402,AAA044O16.genome.CDS.1914,AAA278O22.genome.CDS.1271,MEint1363.genome.CDS.1074,MEint1363.genome.CDS.1875",117
acI-A,group00391,"AAA023J06.genome.CDS.1335,AAA024D14.genome.CDS.1005,AAA027M14.genome.CDS.1312,AAA028E20.genome.CDS.1121,AAA028I14.genome.CDS.881,AAA041L13.genome.CDS.2643,AAA044N04.genome.CDS.2421,AAA044N04.genome.CDS.2427,AAA044O16.genome.CDS.2782,AAA278O22.genome.CDS.2166,MEint1363.genome.CDS.1593,MEint2297.genome.CDS.2156",2
acI-A,group00392,"AAA023J06.genome.CDS.999,AAA024D14.genome.CDS.1181,AAA027M14.genome.CDS.1473,AAA028G02.genome.CDS.2076,AAA041L13.genome.CDS.2364,AAA044N04.genome.CDS.1564,AAA044O16.genome.CDS.2536,AAA278O22.genome.CDS.1535,MEint1363.genome.CDS.1323,MEint2297.genome.CDS.1523,MEint2297.genome.CDS.2327",34
acI-A,group00393,"AAA023J06.genome.CDS.1495,AAA024D14.genome.CDS.1441,AAA027M14.genome.CDS.1183,AAA028E20.genome.CDS.1068,AAA028G02.genome.CDS.2572,AAA041L13.genome.CDS.2458,AAA044N04.genome.CDS.1350,AAA044O16.genome.CDS.1867,AAA278O22.genome.CDS.1317,MEint1363.genome.CDS.1838,MEint2297.genome.CDS.1683",1
acI-A,group00394,"AAA027M14.genome.CDS.1410,AAA028E20.genome.CDS.1242,AAA028G02.genome.CDS.2246,AAA028I14.genome.CDS.1210,AAA041L13.genome.CDS.1917,AAA044N04.genome.CDS.1736,AAA044O16.genome.CDS.2718,AAA278O22.genome.CDS.2124,MEint1363.genome.CDS.1782,MEint2297.genome.CDS.2556",2
acI-A,group00395,"AAA023J06.genome.CDS.1190,AAA024D14.genome.CDS.911,AAA028E20.genome.CDS.1277,AAA044N04.genome.CDS.1428,AAA278O22.genome.CDS.1187,MEint1363.genome.CDS.1459,MEint2297.genome.CDS.1869",12
acI-A,group00396,"AAA028E20.genome.CDS.1564,AAA028G02.genome.CDS.1653,AAA044N04.genome.CDS.1320,AAA044O16.genome.CDS.2135,AAA278O22.genome.CDS.1325,MEint1363.genome.CDS.1821,MEint2297.genome.CDS.2073",25
acI-A,group00397,"AAA024D14.genome.CDS.1024,AAA027M14.genome.CDS.1260,AAA028G02.genome.CDS.1770,AAA041L13.genome.CDS.2585,AAA044N04.genome.CDS.2100,AAA044O16.genome.CDS.2162,MEint2297.genome.CDS.1442",1
acI-A,group00398,"AAA023J06.genome.CDS.1069,AAA024D14.genome.CDS.980,AAA027M14.genome.CDS.1332,AAA028E20.genome.CDS.1141,AAA028I14.genome.CDS.1071,AAA041L13.genome.CDS.2758,AAA278O22.genome.CDS.2188,MEint1363.genome.CDS.1625,MEint2297.genome.CDS.1817,MEint2297.genome.CDS.2659",9
acI-A,group00399,"AAA023J06.genome.CDS.1202,AAA024D14.genome.CDS.1520,AAA028G02.genome.CDS.2642,AAA041L13.genome.CDS.1483,AAA044N04.genome.CDS.2371,AAA044O16.genome.CDS.1606,AAA278O22.genome.CDS.1577,MEint1363.genome.CDS.1148,MEint2297.genome.CDS.2357",2
acI-A,group00400,"AAA027M14.genome.CDS.1611,AAA028E20.genome.CDS.1777,AAA028G02.genome.CDS.1855,AAA041L13.genome.CDS.2245,AAA044N04.genome.CDS.2024,AAA044O16.genome.CDS.2246,AAA278O22.genome.CDS.1701,MEint1363.genome.CDS.1183,MEint2297.genome.CDS.1923",8
acI-A,group00401,"AAA023J06.genome.CDS.959,AAA024D14.genome.CDS.1149,AAA028G02.genome.CDS.1481,AAA041L13.genome.CDS.1713,AAA044N04.genome.CDS.1531,AAA278O22.genome.CDS.1811,MEint1363.genome.CDS.1810,MEint2297.genome.CDS.1974",1
acI-A,group00402,"AAA023J06.genome.CDS.1398,AAA023J06.genome.CDS.1463,AAA024D14.genome.CDS.1610,AAA024D14.genome.CDS.1596,AAA027M14.genome.CDS.858,AAA028E20.genome.CDS.1815,AAA028G02.genome.CDS.1987,AAA044N04.genome.CDS.1846,AAA044O16.genome.CDS.1758,AAA278O22.genome.CDS.1416,MEint2297.genome.CDS.2430",22
acI-A,group00403,"AAA024D14.genome.CDS.899,AAA028E20.genome.CDS.1025,AAA044N04.genome.CDS.1409,AAA044O16.genome.CDS.1920,AAA278O22.genome.CDS.1263,MEint1363.genome.CDS.1309,MEint2297.genome.CDS.1916",8
acI-A,group00404,"AAA023J06.genome.CDS.1021,AAA028G02.genome.CDS.2350,AAA028I14.genome.CDS.1154,AAA041L13.genome.CDS.2078,AAA044N04.genome.CDS.2524,AAA044O16.genome.CDS.1463,AAA278O22.genome.CDS.1973,MEint2297.genome.CDS.2015",12
acI-A,group00406,"AAA028E20.genome.CDS.1264,AAA028G02.genome.CDS.2218,AAA028I14.genome.CDS.1232,AAA044N04.genome.CDS.1712,AAA044O16.genome.CDS.2681,AAA278O22.genome.CDS.2100,MEint1363.genome.CDS.1368,MEint2297.genome.CDS.2571",18
acI-A,group00408,"AAA024D14.genome.CDS.894,AAA027M14.genome.CDS.1137,AAA028E20.genome.CDS.1030,AAA044N04.genome.CDS.1403,AAA044O16.genome.CDS.1915,AAA278O22.genome.CDS.1270,MEint1363.genome.CDS.1315,MEint1363.genome.CDS.1073",218
acI-A,group00409,"AAA023J06.genome.CDS.769,AAA024D14.genome.CDS.1604,AAA027M14.genome.CDS.1393,AAA028E20.genome.CDS.1626,AAA028G02.genome.CDS.1899,AAA041L13.genome.CDS.2136,AAA044N04.genome.CDS.1927,AAA044O16.genome.CDS.2305,AAA278O22.genome.CDS.2262,MEint2297.genome.CDS.2727",78
acI-A,group00411,"AAA023J06.genome.CDS.1200,AAA024D14.genome.CDS.1522,AAA028G02.genome.CDS.2644,AAA041L13.genome.CDS.1481,AAA044N04.genome.CDS.2373,AAA044O16.genome.CDS.1608,AAA278O22.genome.CDS.1575,MEint1363.genome.CDS.1150,MEint2297.genome.CDS.2360",3
acI-A,group00412,"AAA024D14.genome.CDS.1357,AAA027M14.genome.CDS.1442,AAA028E20.genome.CDS.1211,AAA028G02.genome.CDS.2278,AAA028I14.genome.CDS.1178,AAA041L13.genome.CDS.1885,AAA044N04.genome.CDS.1768,AAA044O16.genome.CDS.1535,AAA278O22.genome.CDS.2046,MEint1363.genome.CDS.1750,MEint2297.genome.CDS.1382",5
acI-A,group00416,"AAA028E20.genome.CDS.1267,AAA028G02.genome.CDS.2215,AAA028I14.genome.CDS.1235,AAA044N04.genome.CDS.1709,AAA044O16.genome.CDS.2678,AAA278O22.genome.CDS.2097,MEint1363.genome.CDS.1371,MEint2297.genome.CDS.2076",20
acI-A,group00417,"AAA023J06.genome.CDS.747,AAA024D14.genome.CDS.1067,AAA027M14.genome.CDS.1353,AAA028E20.genome.CDS.1607,AAA028G02.genome.CDS.1880,AAA028I14.genome.CDS.964,AAA041L13.genome.CDS.1990,AAA044N04.genome.CDS.1951,AAA044O16.genome.CDS.2277,AAA278O22.genome.CDS.1638",7
acI-A,group00418,"AAA023J06.genome.CDS.745,AAA024D14.genome.CDS.1069,AAA027M14.genome.CDS.1350,AAA028E20.genome.CDS.1605,AAA028G02.genome.CDS.1878,AAA028I14.genome.CDS.958,AAA041L13.genome.CDS.1988,AAA044N04.genome.CDS.1953,AAA044O16.genome.CDS.2275,AAA278O22.genome.CDS.1641",1
acI-A,group00419,"AAA024D14.genome.CDS.879,AAA027M14.genome.CDS.1153,AAA028E20.genome.CDS.1045,AAA028G02.genome.CDS.2663,AAA044N04.genome.CDS.1388,AAA044O16.genome.CDS.1900,AAA278O22.genome.CDS.1285,MEint1363.genome.CDS.1088,MEint1363.genome.CDS.1861,MEint2297.genome.CDS.2703",1
acI-A,group00420,"AAA024D14.genome.CDS.1228,AAA027M14.genome.CDS.949,AAA028E20.genome.CDS.1490,AAA028G02.genome.CDS.1595,AAA041L13.genome.CDS.2045,AAA044N04.genome.CDS.2268,AAA278O22.genome.CDS.1966,MEint1363.genome.CDS.1244,MEint1363.genome.CDS.1706,MEint2297.genome.CDS.1741",2
acI-A,group00421,"AAA028G02.genome.CDS.2211,AAA028I14.genome.CDS.1239,AAA041L13.genome.CDS.2389,AAA044N04.genome.CDS.1704,AAA044O16.genome.CDS.2674,AAA278O22.genome.CDS.2092,MEint1363.genome.CDS.1375,MEint2297.genome.CDS.2080",5
acI-A,group00425,"AAA027M14.genome.CDS.1409,AAA028E20.genome.CDS.1243,AAA028G02.genome.CDS.2245,AAA028I14.genome.CDS.1211,AAA041L13.genome.CDS.1918,AAA044N04.genome.CDS.1735,AAA044O16.genome.CDS.2717,AAA278O22.genome.CDS.2125,MEint1363.genome.CDS.1783,MEint2297.genome.CDS.2557",3
acI-A,group00427,"AAA023J06.genome.CDS.757,AAA027M14.genome.CDS.1365,AAA028E20.genome.CDS.1616,AAA028G02.genome.CDS.1889,AAA028I14.genome.CDS.973,AAA041L13.genome.CDS.2099,AAA041L13.genome.CDS.2626,AAA041L13.genome.CDS.2718,AAA044N04.genome.CDS.1939,AAA044O16.genome.CDS.2287,AAA278O22.genome.CDS.1624",40
acI-A,group00430,"AAA023J06.genome.CDS.1086,AAA024D14.genome.CDS.1120,AAA027M14.genome.CDS.1079,AAA028G02.genome.CDS.2607,AAA041L13.genome.CDS.1515,AAA044N04.genome.CDS.2340,AAA044O16.genome.CDS.2446,AAA278O22.genome.CDS.1606,MEint2297.genome.CDS.1878",4
acI-A,group00432,"AAA023J06.genome.CDS.1154,AAA027M14.genome.CDS.1169,AAA028G02.genome.CDS.2406,AAA028I14.genome.CDS.835,AAA041L13.genome.CDS.1667,AAA044N04.genome.CDS.1485,AAA044O16.genome.CDS.1880,AAA278O22.genome.CDS.1304,MEint1363.genome.CDS.1845,MEint2297.genome.CDS.1690",2
acI-A,group00433,"AAA023J06.genome.CDS.1219,AAA024D14.genome.CDS.1506,AAA028E20.genome.CDS.1817,AAA028E20.genome.CDS.1431,AAA044N04.genome.CDS.2312,AAA044O16.genome.CDS.2405,AAA278O22.genome.CDS.1927,MEint2297.genome.CDS.1710,MEint2297.genome.CDS.2432",55
acI-A,group00434,"AAA024D14.genome.CDS.874,AAA027M14.genome.CDS.1571,AAA028E20.genome.CDS.1050,AAA044N04.genome.CDS.1383,AAA044O16.genome.CDS.1895,AAA278O22.genome.CDS.1369,AAA278O22.genome.CDS.1218,AAA278O22.genome.CDS.1290,MEint1363.genome.CDS.1093,MEint1363.genome.CDS.1856,MEint2297.genome.CDS.2401",14
acI-A,group00435,"AAA023J06.genome.CDS.1397,AAA023J06.genome.CDS.963,AAA024D14.genome.CDS.1565,AAA027M14.genome.CDS.859,AAA028E20.genome.CDS.885,AAA028G02.genome.CDS.1988,AAA044N04.genome.CDS.1847,AAA044O16.genome.CDS.1759,AAA278O22.genome.CDS.1417,MEint2297.genome.CDS.2431",5
acI-A,group00436,"AAA028G02.genome.CDS.2094,AAA028I14.genome.CDS.992,AAA041L13.genome.CDS.1764,AAA044N04.genome.CDS.1581,AAA044O16.genome.CDS.2553,AAA278O22.genome.CDS.1520,MEint1363.genome.CDS.1474,MEint2297.genome.CDS.2344",23
acI-A,group00437,"AAA023J06.genome.CDS.989,AAA024D14.genome.CDS.1171,AAA027M14.genome.CDS.1487,AAA028E20.genome.CDS.1308,AAA028G02.genome.CDS.2066,AAA041L13.genome.CDS.2354,AAA044N04.genome.CDS.1554,AAA044O16.genome.CDS.2526,AAA278O22.genome.CDS.1547,MEint1363.genome.CDS.1513,MEint2297.genome.CDS.1534",5
acI-A,group00443,"AAA024D14.genome.CDS.897,AAA027M14.genome.CDS.1134,AAA028E20.genome.CDS.1027,AAA044N04.genome.CDS.1406,AAA044O16.genome.CDS.1918,AAA278O22.genome.CDS.1267,MEint1363.genome.CDS.1312,MEint2297.genome.CDS.1919",5
acI-A,group00448,"AAA027M14.genome.CDS.955,AAA028E20.genome.CDS.1485,AAA028G02.genome.CDS.1590,AAA041L13.genome.CDS.2039,AAA044N04.genome.CDS.2274,AAA278O22.genome.CDS.1960,MEint1363.genome.CDS.1250,MEint2297.genome.CDS.1735",1
acI-A,group00449,"AAA027M14.genome.CDS.131,AAA028E20.genome.CDS.562,AAA028G02.genome.CDS.1589,AAA041L13.genome.CDS.2038,AAA044N04.genome.CDS.2275,AAA278O22.genome.CDS.1959,MEint1363.genome.CDS.1251,MEint2297.genome.CDS.1734",6
acI-A,group00453,"AAA023J06.genome.CDS.1001,AAA024D14.genome.CDS.1483,AAA024D14.genome.CDS.1492,AAA027M14.genome.CDS.1471,AAA028G02.genome.CDS.2078,AAA041L13.genome.CDS.2366,AAA044N04.genome.CDS.1566,AAA044O16.genome.CDS.2538,AAA278O22.genome.CDS.1533,MEint1363.genome.CDS.1321,MEint2297.genome.CDS.1521,MEint2297.genome.CDS.2329",2
acI-A,group00454,"AAA023J06.genome.CDS.1067,AAA024D14.genome.CDS.982,AAA027M14.genome.CDS.1334,AAA028E20.genome.CDS.1139,AAA028I14.genome.CDS.1069,AAA278O22.genome.CDS.2186,MEint1363.genome.CDS.673,MEint2297.genome.CDS.1814,MEint2297.genome.CDS.2661",2
acI-A,group00455,"AAA024D14.genome.CDS.1048,AAA027M14.genome.CDS.1000,AAA028E20.genome.CDS.33,AAA028E20.genome.CDS.32,AAA028G02.genome.CDS.2509,AAA041L13.genome.CDS.1643,AAA044N04.genome.CDS.2134,AAA044O16.genome.CDS.1636,MEint1363.genome.CDS.1021,MEint2297.genome.CDS.2203,MEint2297.genome.CDS.2697",16
acI-A,group00456,"AAA023J06.genome.CDS.901,AAA024D14.genome.CDS.809,AAA028E20.genome.CDS.1735,AAA028G02.genome.CDS.2157,AAA028I14.genome.CDS.1295,AAA041L13.genome.CDS.1869,AAA044N04.genome.CDS.1646,AAA044O16.genome.CDS.2619,MEint1363.genome.CDS.1110,MEint2297.genome.CDS.1622",5
acI-A,group00457,"AAA028E20.genome.CDS.1537,AAA028G02.genome.CDS.2542,AAA044N04.genome.CDS.1301,AAA044O16.genome.CDS.1669,AAA278O22.genome.CDS.1874,MEint1363.genome.CDS.1280,MEint2297.genome.CDS.2170",3
acI-A,group00458,"AAA027M14.genome.CDS.1297,AAA028G02.genome.CDS.2443,AAA028I14.genome.CDS.1086,AAA041L13.genome.CDS.1542,AAA044O16.genome.CDS.7,AAA278O22.genome.CDS.2203,MEint1363.genome.CDS.1579,MEint1363.genome.CDS.1640,MEint2297.genome.CDS.1832",4
acI-A,group00459,"AAA027M14.genome.CDS.1232,AAA028E20.genome.CDS.1355,AAA028G02.genome.CDS.1803,AAA041L13.genome.CDS.1944,AAA044N04.genome.CDS.2066,AAA044O16.genome.CDS.2195,AAA278O22.genome.CDS.2227,MEint1363.genome.CDS.1128,MEint1363.genome.CDS.1520,MEint2297.genome.CDS.115",2
acI-A,group00460,"AAA023J06.genome.CDS.1472,AAA024D14.genome.CDS.1564,AAA024D14.genome.CDS.708,AAA027M14.genome.CDS.861,AAA028E20.genome.CDS.1818,AAA028G02.genome.CDS.1994,AAA041L13.genome.CDS.2400,AAA044N04.genome.CDS.2537,AAA044O16.genome.CDS.1789,AAA278O22.genome.CDS.1423",4
acI-A,group00461,"AAA023J06.genome.CDS.1023,AAA028G02.genome.CDS.2352,AAA028I14.genome.CDS.1152,AAA041L13.genome.CDS.2080,AAA044N04.genome.CDS.2522,AAA044O16.genome.CDS.1461,AAA278O22.genome.CDS.1971,MEint2297.genome.CDS.2013",39
acI-A,group00462,"AAA023J06.genome.CDS.788,AAA024D14.genome.CDS.935,AAA027M14.genome.CDS.1374,AAA028E20.genome.CDS.1645,AAA028G02.genome.CDS.1918,AAA028I14.genome.CDS.1428,AAA041L13.genome.CDS.2117,AAA044N04.genome.CDS.1908,AAA278O22.genome.CDS.2243,MEint2297.genome.CDS.2034,MEint2297.genome.CDS.2607",4
acI-A,group00463,"AAA023J06.genome.CDS.794,AAA024D14.genome.CDS.941,AAA027M14.genome.CDS.1368,AAA028E20.genome.CDS.1651,AAA028G02.genome.CDS.1925,AAA028I14.genome.CDS.1422,AAA041L13.genome.CDS.2111,AAA044N04.genome.CDS.1902,AAA044O16.genome.CDS.2746,AAA278O22.genome.CDS.1621,MEint2297.genome.CDS.2599",5
acI-A,group00465,"AAA023J06.genome.CDS.1236,AAA028G02.genome.CDS.2326,AAA028I14.genome.CDS.1591,AAA041L13.genome.CDS.1782,AAA044N04.genome.CDS.1818,AAA044O16.genome.CDS.1485,AAA278O22.genome.CDS.1997,MEint2297.genome.CDS.1423",3
acI-A,group00473,"AAA023J06.genome.CDS.1355,AAA024D14.genome.CDS.906,AAA028E20.genome.CDS.1019,AAA044N04.genome.CDS.1416,AAA044O16.genome.CDS.1927,AAA278O22.genome.CDS.1256,MEint1363.genome.CDS.1302,MEint2297.genome.CDS.1569",7
acI-A,group00476,"AAA023J06.genome.CDS.902,AAA024D14.genome.CDS.11,AAA028E20.genome.CDS.1736,AAA028G02.genome.CDS.2158,AAA028I14.genome.CDS.1294,AAA041L13.genome.CDS.1868,AAA044N04.genome.CDS.1647,AAA044O16.genome.CDS.2620,MEint1363.genome.CDS.1111,MEint2297.genome.CDS.260",4
acI-A,group00483,"AAA028G02.genome.CDS.2202,AAA028I14.genome.CDS.1250,AAA041L13.genome.CDS.2378,AAA044N04.genome.CDS.1693,AAA044O16.genome.CDS.2665,AAA278O22.genome.CDS.2079,MEint1363.genome.CDS.1384,MEint2297.genome.CDS.2314",3
