cpd00290_c,D_fructose_1_6_bisphosphate
cpd00293_c,N_Acetyl_D_glucosamine_6_phosphate
cpd11564_c,12_methyl_trans_tridec_2_enoyl_ACP
cpd03572_c,S_3_Hydroxyisobutyryl_CoA
cpd00938_c,4_Carboxymuconolactone
cpd00087_c,Tetrahydrofolate
cpd15678_c,1_2_dianteisoheptadecanoyl_sn_glycerol_3_phosphate
cpd01324_c,L_Histidinal
cpd00142_c,Acetoacetate
cpd00065_c,L_Tryptophan
cpd01080_c,ocdca
cpd00129_c,L_Proline
cpd00402_c,CDPglycerol
cpd02826_c,5_Phosphoribosylformylglycinamidine
cpd11485_c,3_oxohexadecanoyl_acp
cpd15771_c,Anteisopentadecanoyllipoteichoic_acid_n24__linked__N_acetyl_D_glucosamine
cpd00040_c,Glyoxalate
cpd00498_c,2_Aceto_2_hydroxybutanoate
cpd00699_c,5_Dehydroquinate
cpd15752_c,Isopentadecanoyllipoteichoic_acid_n24__linked__unsubstituted
cpd00492_c,N_Acetyl_D_mannosamine
cpd02507_c,5_Carboxy_2_oxohept_3_enedioate
cpd00006_c,NADP
cpd11528_c,7_methyl_octanoyl_ACP
cpd00249_c,Uridine
cpd02255_c,3_oxoadipate_enol_lactone
cpd14702_c,2_Methyl_1_hydroxybutyl_TPP
cpd01882_c,Isovaleryl_CoA
cpd00123_c,3_Methyl_2_oxobutanoate
cpd02197_c,5_Formyltetrahydrofolate
cpd01507_c,3_Oxoadipyl_CoA
cpd15769_c,Isotetradecanoyllipoteichoic_acid_n24__linked__N_acetyl_D_glucosamine
cpd11546_c,4_methyl_3_oxo_pentanoyl_ACP
cpd02498_c,2_3_Dihydroxy_isovalerate
cpd15683_c,CDP_1_2_diisoheptadecanoylglycerol
cpd00046_c,CMP
cpd11588_c,gly_pro_L
cpd00083_c,GDP_mannose
cpd00002_c,ATP
cpd03470_c,Iminoaspartate
cpd00330_c,Dihydrofolate
cpd15326_c,1_hexadec_9_enoyl_sn_glycerol_3_phosphate
cpd08288_c,2_phospho_4__cytidine5_diphospho_2_C_methyl_D_erythritol
cpd00089_c,Glucose_1_phosphate
cpd01270_c,FMNH2
cpd01973_c,4_Guanidinobutanamide
cpd11556_c,8_methyl_trans_non_2_enoyl_ACP
cpd00069_c,L_Tyrosine
cpd11469_c,2E_Dodecenoyl_acp
cpd00347_c,5_10_Methenyltetrahydrofolate
cpd00082_c,D_Fructose
cpd00408_c,Pantoate
cpd14700_c,2_Methyl_1_hydroxypropyl_TPP
cpd15756_c,Myristoyllipoteichoic_acid_n24__linked__glucose_substituted
cpd00387_c,ADPglucose
cpd00327_c,strcoa
cpd00024_c,2_Oxoglutarate
cpd00261_c,L_Lyxulose
cpd00307_c,Cytosine
cpd03407_c,gamma_Glutamyl_beta_cyanoalanine
cpd15750_c,Anteisoheptadecanoyllipoteichoic_acid_n24__linked__unsubstituted
cpd00102_c,Glyceraldehyde3_phosphate
cpd00222_c,GLCN
cpd00026_c,UDP_glucose
cpd11518_c,14_methyl_trans_hexa_dec_2_enoyl_ACP
cpd11520_c,isovaleryl_ACP
cpd03491_c,Undecaprenyl_diphospho_N_acetylmuramoyl_N_acetylglucosamine_L_alanyl_gamma_D_glutamyl_L_lysyl_D_alanyl_D_alanine
cpd15671_c,1_isoheptadecanoyl_sn_glycerol_3_phosphate
cpd00186_c,D_Glutamate
cpd03920_c,Adenosylcobinamide_GDP
cpd16540_c,5_Deoxy_glucuronic_acid
cpd11420_c,trdox
cpd00126_c,GMP
cpd00022_c,Acetyl_CoA
cpd00184_c,Thymidine
cpd15754_c,Isohexadecanoyllipoteichoic_acid_n24__linked__unsubstituted
cpd03326_c,2_Hydroxyhepta_2_4_dienedioate
cpd02566_c,2_3_Dihydroxy_2_3_dihydrobenzoate
cpd02656_c,6_7_Dimethyl_8__1_D_ribityllumazine
cpd00930_c,imidazole_acetol_phosphate
cpd02978_c,7_8_Dihydroneopterin_3_triphosphate
cpd00588_c,Sorbitol
cpd03495_c,Undecaprenyl_diphospho_N_acetylmuramoyl__N_acetylglucosamine_L_ala_D_glu_meso_2_6_diaminopimeloyl_D_ala_D_ala
cpd16335_c,2_Succinyl_5_enolpyruvyl_6_hydroxy_3_cyclohexene_1_carboxylate
cpd02678_c,N_Formyl_GAR
cpd02113_c,dTDP_rhamnose
cpd11504_c,8_methyl_3_oxo_decanoyl_ACP
cpd00020_c,Pyruvate
cpd03187_c,Oxalosuccinate
cpd02227_c,S_Ribosylhomocysteine
cpd00851_c,trans_4_Hydroxy_L_proline
cpd02666_c,R_4_Phosphopantothenoyl_L_cysteine
cpd08210_c,ADC
cpd15758_c,Isoheptadecanoyllipoteichoic_acid_n24__linked__glucose_substituted
cpd02333_c,Quinolinate
cpd03734_c,Acetamide
cpd00830_c,4_Hydroxy_2_oxoglutarate
cpd11498_c,4_methyl_trans_hex_2_enoyl_ACP
cpd00061_c,Phosphoenolpyruvate
cpd01298_c,Aminoacetone
cpd00522_c,dTDP_4_oxo_L_rhamnose
cpd15269_c,octadecenoate
cpd03847_c,Myristic_acid
cpd15675_c,1_anteisopentadecanoyl_sn_glycerol_3_phosphate
cpd00911_c,6_phospho_D_glucono_1_5_lactone
cpd03752_c,Galactitol_1_phosphate
cpd00348_c,D_Galactose_1_phosphate
cpd00207_c,Guanine
cpd15673_c,1_isotetradecanoyl_sn_glycerol_3_phosphate
cpd12848_c,Holo_carboxylase
cpd00653_c,D_Galactonate
cpd00180_c,Oxalate
cpd12689_c,3_Oxotetradecanoyl_CoA
cpd11483_c,R_3_Hydroxyoctanoyl_acyl_carrier_protein
cpd00859_c,Pseudouridine_5_phosphate
cpd11591_c,Gly_Met
cpd00139_c,Glycolate
cpd00836_c,S_Acetyldihydrolipoamide
cpd00203_c,1_3_Bisphospho_D_glycerate
cpd00246_c,Inosine
cpd00890_c,UDP_N_acetylmuramoyl_L_alanine
cpd00510_c,deoxyribose_5_phosphate
cpd00447_c,Betaine_aldehyde
cpd03114_c,3_Oxopalmitoyl_CoA
cpd11525_c,7_methyl_3_oxo_octanoyl_ACP
cpd03116_c,S_3_Hydroxydodecanoyl_CoA
cpd02920_c,2_Amino_4_hydroxy_6_hydroxymethyl_7_8_dihydropteridinediphosphate
cpd02235_c,1_Pyrroline_2_carboxylate
cpd00182_c,Adenosine
cpd00008_c,ADP
cpd11225_c,3_4_dihydroxy_2_butanone4_phosphate
cpd11510_c,10_methyl_trans_dodec_2_enoyl_ACP
cpd15677_c,1_2_diisoheptadecanoyl_sn_glycerol_3_phosphate
cpd02961_c,Dihydroneopterin
cpd02210_c,Indoleglycerol_phosphate
cpd00004_c,NADH
cpd00201_c,10_Formyltetrahydrofolate
cpd00817_c,D_Arabinose5_phosphate
cpd03118_c,S_Hydroxydecanoyl_CoA
cpd00226_c,HYXN
cpd15543_c,Phosphatidylglycerophosphate_ditetradecanoyl
cpd00309_c,XAN
cpd11487_c,3_oxodecanoyl_acp
cpd02175_c,cis_4_Hydroxy_D_proline
cpd11465_c,But_2_enoyl_acyl_carrier_protein
cpd00029_c,Acetate
cpd00516_c,meso_2_6_Diaminopimelate
cpd02394_c,GAR
cpd00224_c,L_Arabinose
cpd15499_c,Menaquinol_8
cpd15547_c,Phosphatidylglycerophosphate_dioctadecanoyl
cpd02295_c,1_4_Dihydroxy_2_naphthoate
cpd02740_c,Guanosine_5_triphosphate_3_diphosphate
cpd03205_c,Phytoene
cpd01974_c,4_Hydroxy_L_glutamate
cpd00220_c,Riboflavin
cpd15679_c,1_2_diisotetradecanoyl_sn_glycerol_3_phosphate
cpd03861_c,L_Xylulose_1_phosphate
cpd00164_c,Glucuronate
cpd00108_c,Galactose
cpd00092_c,Uracil
cpd11558_c,10_methyl_3_oxo_undecanoyl_ACP
cpd00712_c,2_Dehydropantoate
cpd02569_c,2_Oxo_3_hydroxyisovalerate
cpd03524_c,10_Formyl_THF_L_glutamate
cpd02991_c,phosphoribulosylformimino_AICAR_phosphate
cpd00793_c,Thiamine_phosphate
cpd00176_c,2_keto_3_deoxygluconate
cpd02361_c,4_Hydroxyphenylacetaldehyde
cpd01749_c,N_Formylkynurenine
cpd11593_c,ala_L_asp_L
cpd11484_c,HMA
cpd00096_c,CDP
cpd00485_c,D_Mannose1_phosphate
cpd00367_c,Cytidine
cpd00287_c,3_Oxo_2_methylpropanoate
cpd00170_c,Gluconolactone
cpd00616_c,Pretyrosine
cpd00090_c,IDP
cpd03119_c,3_Oxodecanoyl_CoA
cpd11503_c,6_methyl_octanoyl_ACP
cpd00497_c,XMP
cpd00894_c,2_Dehydro_3_deoxy_D_galactonate
cpd11481_c,R_3_hydroxypalmitoyl_acyl_carrierprotein_
cpd11912_c,tRNA_Glu
cpd11551_c,6_methyl_3_hydroxy_heptanoyl_ACP
cpd06227_c,THF_L_glutamate
cpd11489_c,3_oxododecanoyl_acp
cpd11477_c,2E_Hexadecenoyl_acp
cpd00722_c,O_Acetyl_L_serine
cpd11486_c,3_Oxohexanoyl_acp
cpd15605_c,Gly_Phe
cpd10162_c,R_3_Hydroxy_3_methyl_2_oxopentanoate
cpd00363_c,Ethanol
cpd00493_c,Pyridoxamine_phosphate
cpd02016_c,N_Ribosylnicotinamide
cpd11563_c,12_methyl_3_hydroxy_tridecanoyl_ACP
cpd00342_c,N_Acetylornithine
cpd00003_c,NAD
cpd11521_c,5_methyl_3_oxo_hexanoyl_ACP
cpd14703_c,S_2_Methylbutanoyl_dihydrolipoamide_E
cpd15419_c,CDP_1_2_dihexadecanoylglycerol
cpd00655_c,Dephospho_CoA
cpd11468_c,Dodecanoyl_ACP
cpd02345_c,L_Glutamate1_semialdehyde
cpd00344_c,N_Formimino_L_glutamate
cpd02605_c,2_isopropyl_3_oxosuccinate
cpd00281_c,GABA
cpd01242_c,Thyminose
cpd00567_c,D_Proline
cpd00382_c,Melitose
cpd00078_c,Succinyl_CoA
cpd15763_c,Isohexadecanoyllipoteichoic_acid_n24__linked__glucose_substituted
cpd00153_c,Benzoate
cpd01630_c,cis_cis_Muconate
cpd02465_c,tetrahydrodipicolinate
cpd11530_c,9_methyl_3_hydroxy_decanoyl_ACP
cpd02152_c,L_Argininosuccinate
cpd00094_c,2_Oxobutyrate
cpd01646_c,2_Isopropylmalate
cpd02760_c,cellobiose_6_phoshate
cpd00280_c,D_Galacturonate
cpd00157_c,Glycerone
cpd00834_c,Phosphopantetheine
cpd00415_c,Quinol
cpd00946_c,Undecaprenyl_diphospho_N_acetyl_glucosamine
cpd00349_c,Sedoheptulose_1_7_bisphosphate
cpd02843_c,D_erythro_imidazol_glycerol_phosphate
cpd00260_c,Isocitrate
cpd11571_c,3_Hydroxyoctodecanoyl_ACP
cpd00039_c,L_Lysine
cpd00843_c,Tartronate_semialdehyde
cpd11561_c,10_methyl_undecanoyl_ACP
cpd02211_c,L_2_Amino_acetoacetate
cpd02835_c,UDP_2_3_bis3_hydroxytetradecanoylglucosamine
cpd11552_c,6_methyl_trans_hept_2_enoyl_ACP
cpd00703_c,Indoleacetate
cpd02968_c,UDP_N_acetylmuramoyl_L_alanyl_D_glutamyl_6_carboxy_L_lysyl_D_alanyl__D_alanine
cpd00791_c,ProtoporphyrinogenIX
cpd00114_c,IMP
cpd15417_c,CDP_1_2_didodecanoylglycerol
cpd00154_c,Xylose
cpd11550_c,6_methyl_3_oxo_heptanoyl_ACP
cpd00831_c,L_Rhamnulose_1_phosphate
cpd03919_c,Adenosyl_cobinamide_phosphate
cpd15268_c,Octadecanoyl_ACP
cpd15420_c,CDP_1_2_dioctadec_11_enoylglycerol
cpd01747_c,Indole_3_acetamide
cpd00288_c,D_Glucosamine_phosphate
cpd02090_c,Glycerophosphoglycerol
cpd11480_c,D_3_Hydroxydodecanoyl_acp
cpd00658_c,Isochorismate
cpd11554_c,8_methyl_3_oxo_nonanoyl_ACP
cpd06707_c,Benzamide
cpd02964_c,UDP_N_acetylmuramoyl_L_alanyl_D_gamma_glutamyl_meso_2_6_diaminopimelate
