,AAA023D18,AAA023J06,AAA024D14,AAA027J17,AAA027L06,AAA027M14,AAA028A23,AAA028E20,AAA028G02,AAA028I14,AAA041L13,AAA044D11,AAA044N04,AAA044O16,AAA278I18,AAA278O22,AB141P03,BIN_10,MEint1363,MEint2297,MEint283,MEint3864,MEint4252,MEint885,TBepi2057,TBepi2754,TBepi3207,TBepi3475,TBepi4208,TBhypo2152,TBhypo3463,TBhypo3838,TBhypo680,acIB-AMD-6,acIB-AMD-7,bin_7_acI-B2
group00799,AAA023D18.genome.CDS.1427,,AAA024D14.genome.CDS.1622,,AAA027L06.genome.CDS.1287,AAA027M14.genome.CDS.616,AAA028A23.genome.CDS.879,AAA028E20.genome.CDS.286,AAA028G02.genome.CDS.944,,AAA041L13.genome.CDS.437,AAA044D11.genome.CDS.1599,AAA044N04.genome.CDS.488,AAA044O16.genome.CDS.1530,AAA278I18.genome.CDS.1092,AAA278O22.genome.CDS.2041,AB141P03.genome.CDS.921,BIN_10.genome.CDS.2163,MEint1363.genome.CDS.1745,MEint2297.genome.CDS.1377,MEint283.genome.CDS.912,MEint3864.genome.CDS.1464,MEint4252.genome.CDS.2145,MEint885.genome.CDS.1566,TBepi2057.genome.CDS.1887,TBepi2754.genome.CDS.1494,TBepi3207.genome.CDS.1402,TBepi3475.genome.CDS.1383,TBepi4208.genome.CDS.1059,TBhypo2152.genome.CDS.1218,TBhypo3463.genome.CDS.1855,,TBhypo680.genome.CDS.1698,,,
group00800,AAA023D18.genome.CDS.1439,,AAA024D14.genome.CDS.1496,AAA027J17.genome.CDS.1678,AAA027L06.genome.CDS.2006,,AAA028A23.genome.CDS.1274,AAA028E20.genome.CDS.1421,AAA028G02.genome.CDS.2455,,,AAA044D11.genome.CDS.1408,,AAA044O16.genome.CDS.2416,AAA278I18.genome.CDS.1840,AAA278O22.genome.CDS.1917,,BIN_10.genome.CDS.1321,,,MEint283.genome.CDS.1255,,MEint4252.genome.CDS.1344,,TBepi2057.genome.CDS.1331,TBepi2754.genome.CDS.1527,,,,TBhypo2152.genome.CDS.1556,TBhypo3463.genome.CDS.2467,,,,,bin_7_acI-B2.genome.CDS.3595
group00801,AAA023D18.genome.CDS.820,AAA023J06.genome.CDS.778,AAA024D14.genome.CDS.925,AAA027J17.genome.CDS.1572,AAA027L06.genome.CDS.2101,AAA027M14.genome.CDS.1384,AAA028A23.genome.CDS.1626,AAA028E20.genome.CDS.1635,AAA028G02.genome.CDS.1908,AAA028I14.genome.CDS.1395,AAA041L13.genome.CDS.2127,AAA044D11.genome.CDS.1873,AAA044N04.genome.CDS.1918,AAA044O16.genome.CDS.2424,AAA278I18.genome.CDS.1381,AAA278O22.genome.CDS.2253,AB141P03.genome.CDS.995,BIN_10.genome.CDS.1759,,MEint2297.genome.CDS.2617,MEint283.genome.CDS.1424,,MEint4252.genome.CDS.2184,,TBepi2057.genome.CDS.1893,TBepi2754.genome.CDS.2773,TBepi3207.genome.CDS.2156,,TBepi4208.genome.CDS.1454,TBhypo2152.genome.CDS.1812,TBhypo3463.genome.CDS.2474,TBhypo3838.genome.CDS.912,TBhypo680.genome.CDS.2110,,acIB-AMD-7.genome.CDS.1719,bin_7_acI-B2.genome.CDS.3543
group00802,,,,AAA027J17.genome.CDS.1202,AAA027L06.genome.CDS.2369,,AAA028A23.genome.CDS.1140,AAA028E20.genome.CDS.1270,AAA028G02.genome.CDS.2213,AAA028I14.genome.CDS.1237,,,AAA044N04.genome.CDS.1706,AAA044O16.genome.CDS.2676,,AAA278O22.genome.CDS.2094,,BIN_10.genome.CDS.2132,MEint1363.genome.CDS.1373,MEint2297.genome.CDS.2078,MEint283.genome.CDS.1502,MEint3864.genome.CDS.871,MEint4252.genome.CDS.1946,,,TBepi2754.genome.CDS.2661,TBepi3207.genome.CDS.1328,,TBepi4208.genome.CDS.1276,TBhypo2152.genome.CDS.1523,,,TBhypo680.genome.CDS.1931,,acIB-AMD-7.genome.CDS.1694,bin_7_acI-B2.genome.CDS.3322
group00803,AAA023D18.genome.CDS.1106,AAA023J06.genome.CDS.1198,AAA024D14.genome.CDS.908,AAA027J17.genome.CDS.966,AAA027L06.genome.CDS.2110,,AAA028A23.genome.CDS.1162,AAA028E20.genome.CDS.1017,,,,AAA044D11.genome.CDS.1675,AAA044N04.genome.CDS.1418,AAA044O16.genome.CDS.1929,AAA278I18.genome.CDS.1135,AAA278O22.genome.CDS.1254,,BIN_10.genome.CDS.1342,MEint1363.genome.CDS.1660,MEint2297.genome.CDS.1567,,MEint3864.genome.CDS.1141,MEint4252.genome.CDS.1976,MEint885.genome.CDS.844,TBepi2057.genome.CDS.1234,TBepi2754.genome.CDS.1905,TBepi3207.genome.CDS.1376,TBepi3475.genome.CDS.1446,,TBhypo2152.genome.CDS.1015,,,TBhypo680.genome.CDS.1816,,,bin_7_acI-B2.genome.CDS.3123
group00804,,,,AAA027J17.genome.CDS.1192,AAA027L06.genome.CDS.2379,,AAA028A23.genome.CDS.1130,AAA028E20.genome.CDS.1261,AAA028G02.genome.CDS.2221,AAA028I14.genome.CDS.1229,,AAA044D11.genome.CDS.2286,AAA044N04.genome.CDS.1715,AAA044O16.genome.CDS.2684,,AAA278O22.genome.CDS.2103,,BIN_10.genome.CDS.2141,,MEint2297.genome.CDS.2568,MEint283.genome.CDS.1229,,MEint4252.genome.CDS.1952,MEint885.genome.CDS.850,TBepi2057.genome.CDS.1861,TBepi2754.genome.CDS.2654,TBepi3207.genome.CDS.1334,TBepi3475.genome.CDS.1280,TBepi4208.genome.CDS.1267,,,,TBhypo680.genome.CDS.1924,,,bin_7_acI-B2.genome.CDS.3314
group00805,AAA023D18.genome.CDS.861,AAA023J06.genome.CDS.1113,,AAA027J17.genome.CDS.1485,AAA027L06.genome.CDS.1638,AAA027M14.genome.CDS.853,AAA028A23.genome.CDS.1441,AAA028E20.genome.CDS.1810,AAA028G02.genome.CDS.1982,,AAA041L13.genome.CDS.2716,AAA044D11.genome.CDS.1703,AAA044N04.genome.CDS.1841;AAA044N04.genome.CDS.1865,,,AAA278O22.genome.CDS.1411;AAA278O22.genome.CDS.1405,AB141P03.genome.CDS.955,BIN_10.genome.CDS.270,,,,,,,,,,,,,,,,,acIB-AMD-7.genome.CDS.1056,
group00806,,,,AAA027J17.genome.CDS.48,AAA027L06.genome.CDS.46,AAA027M14.genome.CDS.1059,AAA028A23.genome.CDS.999,,AAA028G02.genome.CDS.2588,,,AAA044D11.genome.CDS.433,AAA044N04.genome.CDS.2198,AAA044O16.genome.CDS.2469,AAA278I18.genome.CDS.1461,,,BIN_10.genome.CDS.1851,MEint1363.genome.CDS.943,MEint2297.genome.CDS.530,MEint283.genome.CDS.1441,,MEint4252.genome.CDS.1492,MEint885.genome.CDS.1649,TBepi2057.genome.CDS.1467,TBepi2754.genome.CDS.1574,TBepi3207.genome.CDS.2084,TBepi3475.genome.CDS.1262,TBepi4208.genome.CDS.1253;TBepi4208.genome.CDS.1381,TBhypo2152.genome.CDS.1295;TBhypo2152.genome.CDS.1680,TBhypo3463.genome.CDS.1576,TBhypo3838.genome.CDS.376,TBhypo680.genome.CDS.1369,,acIB-AMD-7.genome.CDS.121,
group00807,,,AAA024D14.genome.CDS.1248,,,AAA027M14.genome.CDS.930,,AAA028E20.genome.CDS.1292,,,AAA041L13.genome.CDS.2743,,AAA044N04.genome.CDS.2248,,,AAA278O22.genome.CDS.2268,,,,MEint2297.genome.CDS.2575,,,,,TBepi2057.genome.CDS.1829,TBepi2754.genome.CDS.2557,TBepi3207.genome.CDS.1923,TBepi3475.genome.CDS.1178,,TBhypo2152.genome.CDS.1205,TBhypo3463.genome.CDS.1763,TBhypo3838.genome.CDS.349,TBhypo680.genome.CDS.2433,,,bin_7_acI-B2.genome.CDS.3391
group00808,,,,,,AAA027M14.genome.CDS.879,,,AAA028G02.genome.CDS.2008,,AAA041L13.genome.CDS.2569,AAA044D11.genome.CDS.1914,,AAA044O16.genome.CDS.1804,,AAA278O22.genome.CDS.1441,,,,MEint2297.genome.CDS.2501;MEint2297.genome.CDS.1548,,,,,TBepi2057.genome.CDS.1011,TBepi2754.genome.CDS.1793,TBepi3207.genome.CDS.2351,TBepi3475.genome.CDS.1163,TBepi4208.genome.CDS.1390,,TBhypo3463.genome.CDS.2403,,TBhypo680.genome.CDS.1500,,,bin_7_acI-B2.genome.CDS.3157
group00809,AAA023D18.genome.CDS.1102,AAA023J06.genome.CDS.1418;AAA023J06.genome.CDS.1353,AAA024D14.genome.CDS.904,AAA027J17.genome.CDS.1544,AAA027L06.genome.CDS.2113,,AAA028A23.genome.CDS.1165,AAA028E20.genome.CDS.1021,,,,AAA044D11.genome.CDS.1671,AAA044N04.genome.CDS.1414,AAA044O16.genome.CDS.1925;AAA044O16.genome.CDS.2078,AAA278I18.genome.CDS.1139,AAA278O22.genome.CDS.1258,,BIN_10.genome.CDS.1346,MEint1363.genome.CDS.1304,MEint2297.genome.CDS.1571,,MEint3864.genome.CDS.1145,MEint4252.genome.CDS.1972,MEint885.genome.CDS.1699;MEint885.genome.CDS.848,TBepi2057.genome.CDS.1238,TBepi2754.genome.CDS.1900;TBepi2754.genome.CDS.2226,TBepi3207.genome.CDS.2019,,TBepi4208.genome.CDS.1288,TBhypo2152.genome.CDS.1703,,TBhypo3838.genome.CDS.909,TBhypo680.genome.CDS.1766,,acIB-AMD-7.genome.CDS.1863,bin_7_acI-B2.genome.CDS.3127
group00810,AAA023D18.genome.CDS.1409,,AAA024D14.genome.CDS.1239,AAA027J17.genome.CDS.1825,AAA027L06.genome.CDS.1370,AAA027M14.genome.CDS.938,AAA028A23.genome.CDS.1576,AAA028E20.genome.CDS.1301,AAA028G02.genome.CDS.1609,,AAA041L13.genome.CDS.2591,AAA044D11.genome.CDS.1331,AAA044N04.genome.CDS.2257,,AAA278I18.genome.CDS.1706,,AB141P03.genome.CDS.1016,BIN_10.genome.CDS.183,MEint1363.genome.CDS.1044,MEint2297.genome.CDS.1752;MEint2297.genome.CDS.2722,MEint283.genome.CDS.1455,,MEint4252.genome.CDS.1442,,TBepi2057.genome.CDS.1383,TBepi2754.genome.CDS.2056,TBepi3207.genome.CDS.1855;TBepi3207.genome.CDS.1915,TBepi3475.genome.CDS.1561,TBepi4208.genome.CDS.1641,TBhypo2152.genome.CDS.1197,TBhypo3463.genome.CDS.1771,TBhypo3838.genome.CDS.569,TBhypo680.genome.CDS.2425,,acIB-AMD-7.genome.CDS.1250,bin_7_acI-B2.genome.CDS.3399
group00811,,,,,AAA027L06.genome.CDS.1299,AAA027M14.genome.CDS.1460,AAA028A23.genome.CDS.891,,AAA028G02.genome.CDS.2296,AAA028I14.genome.CDS.1560,AAA041L13.genome.CDS.1812,AAA044D11.genome.CDS.1609,AAA044N04.genome.CDS.1788,AAA044O16.genome.CDS.1515,AAA278I18.genome.CDS.1105,AAA278O22.genome.CDS.2027,AB141P03.genome.CDS.909,BIN_10.genome.CDS.2150,MEint1363.genome.CDS.1731,MEint2297.genome.CDS.1364,MEint283.genome.CDS.900,MEint3864.genome.CDS.1476,MEint4252.genome.CDS.1686,,TBepi2057.genome.CDS.1104,TBepi2754.genome.CDS.1483,TBepi3207.genome.CDS.1412,TBepi3475.genome.CDS.1393,,TBhypo2152.genome.CDS.1070,TBhypo3463.genome.CDS.1865,,TBhypo680.genome.CDS.1687,acIB-AMD-6.genome.CDS.1016;acIB-AMD-6.genome.CDS.825,acIB-AMD-7.genome.CDS.1064,bin_7_acI-B2.genome.CDS.3734
group00812,,,,,,,,,AAA028G02.genome.CDS.1960,AAA028I14.genome.CDS.927,,,AAA044N04.genome.CDS.2000,AAA044O16.genome.CDS.1730,,,,,,,,,,,,TBepi2754.genome.CDS.2628,,,,,,,TBhypo680.genome.CDS.2524,,,
group00813,,AAA023J06.genome.CDS.1161,,AAA027J17.genome.CDS.1890,AAA027L06.genome.CDS.1698,AAA027M14.genome.CDS.1094,,AAA028E20.genome.CDS.1705,AAA028G02.genome.CDS.1527,AAA028I14.genome.CDS.827,AAA041L13.genome.CDS.2264;AAA041L13.genome.CDS.2277,AAA044D11.genome.CDS.1795,AAA044N04.genome.CDS.1478,AAA044O16.genome.CDS.2030,,AAA278O22.genome.CDS.1600,,,,MEint2297.genome.CDS.1796,MEint283.genome.CDS.1157,MEint3864.genome.CDS.1425,,MEint885.genome.CDS.1692,TBepi2057.genome.CDS.1853,,,TBepi3475.genome.CDS.1576,,TBhypo2152.genome.CDS.1359,,TBhypo3838.genome.CDS.957,,,,bin_7_acI-B2.genome.CDS.2410;bin_7_acI-B2.genome.CDS.3746
group00814,AAA023D18.genome.CDS.768,,,,AAA027L06.genome.CDS.1346,AAA027M14.genome.CDS.1589;AAA027M14.genome.CDS.914,AAA028A23.genome.CDS.1469,AAA028E20.genome.CDS.1515,AAA028G02.genome.CDS.1636,,AAA041L13.genome.CDS.2292,AAA044D11.genome.CDS.1304,AAA044N04.genome.CDS.2232,AAA044O16.genome.CDS.2113,AAA278I18.genome.CDS.1523,AAA278O22.genome.CDS.1481,,BIN_10.genome.CDS.1889,MEint1363.genome.CDS.1887,MEint2297.genome.CDS.1776;MEint2297.genome.CDS.2591,MEint283.genome.CDS.779,MEint3864.genome.CDS.1552,MEint4252.genome.CDS.1469,MEint885.genome.CDS.1441,TBepi2057.genome.CDS.1408,TBepi2754.genome.CDS.2542,TBepi3207.genome.CDS.1903,TBepi3475.genome.CDS.1845,TBepi4208.genome.CDS.1379,TBhypo2152.genome.CDS.1795,TBhypo3463.genome.CDS.2089,TBhypo3838.genome.CDS.819,TBhypo680.genome.CDS.2448,,acIB-AMD-7.genome.CDS.1448;acIB-AMD-7.genome.CDS.1505,bin_7_acI-B2.genome.CDS.2434
group00815,,,AAA024D14.genome.CDS.1110,AAA027J17.genome.CDS.1050,AAA027L06.genome.CDS.1255,AAA027M14.genome.CDS.1071,AAA028A23.genome.CDS.989,,AAA028G02.genome.CDS.2602,,AAA041L13.genome.CDS.1527,,AAA044N04.genome.CDS.2328,AAA044O16.genome.CDS.2454,AAA278I18.genome.CDS.1452,AAA278O22.genome.CDS.1615,AB141P03.genome.CDS.770;AB141P03.genome.CDS.852,,,MEint2297.genome.CDS.1886,MEint283.genome.CDS.805,,,,TBepi2057.genome.CDS.1792,TBepi2754.genome.CDS.2077,TBepi3207.genome.CDS.1646,TBepi3475.genome.CDS.1502,TBepi4208.genome.CDS.1395,TBhypo2152.genome.CDS.1690,,,,,acIB-AMD-7.genome.CDS.1100,bin_7_acI-B2.genome.CDS.2559;bin_7_acI-B2.genome.CDS.2721;bin_7_acI-B2.genome.CDS.2781
group00816,AAA023D18.genome.CDS.1263,AAA023J06.genome.CDS.1320,,AAA027J17.genome.CDS.1401,,AAA027M14.genome.CDS.1210,AAA028A23.genome.CDS.1304,AAA028E20.genome.CDS.1552,AAA028G02.genome.CDS.1824,,AAA041L13.genome.CDS.1926,,AAA044N04.genome.CDS.2048,AAA044O16.genome.CDS.1555;AAA044O16.genome.CDS.2215,,AAA278O22.genome.CDS.1722,AB141P03.genome.CDS.706,BIN_10.genome.CDS.1990,MEint1363.genome.CDS.1541,MEint2297.genome.CDS.2517;MEint2297.genome.CDS.2436,MEint283.genome.CDS.1208,MEint3864.genome.CDS.1091,MEint4252.genome.CDS.1164;MEint4252.genome.CDS.1816,,,,,,TBepi4208.genome.CDS.1713,,,,,,acIB-AMD-7.genome.CDS.1582,
group00817,AAA023D18.genome.CDS.1367,,,AAA027J17.genome.CDS.1763,AAA027L06.genome.CDS.2294,,,AAA028E20.genome.CDS.1567,AAA028G02.genome.CDS.1655,,,,AAA044N04.genome.CDS.1322,AAA044O16.genome.CDS.2137,AAA278I18.genome.CDS.1616,AAA278O22.genome.CDS.1327,,,MEint1363.genome.CDS.1823,MEint2297.genome.CDS.1240;MEint2297.genome.CDS.2071,MEint283.genome.CDS.927,MEint3864.genome.CDS.1317,MEint4252.genome.CDS.1710;MEint4252.genome.CDS.1906,,TBepi2057.genome.CDS.1533,TBepi2754.genome.CDS.2044,TBepi3207.genome.CDS.1514,TBepi3475.genome.CDS.1641,TBepi4208.genome.CDS.1877,TBhypo2152.genome.CDS.1506,TBhypo3463.genome.CDS.1240,TBhypo3838.genome.CDS.598,TBhypo680.genome.CDS.1674,,,bin_7_acI-B2.genome.CDS.3217
group00818,,,,,,,,,,,,,,,,,,,,,,,,,,TBepi2754.genome.CDS.1821,TBepi3207.genome.CDS.1844,,TBepi4208.genome.CDS.1315,TBhypo2152.genome.CDS.981,TBhypo3463.genome.CDS.2173,,TBhypo680.genome.CDS.1894,,,
group00819,,,AAA024D14.genome.CDS.1335,AAA027J17.genome.CDS.1656,AAA027L06.genome.CDS.1722,,AAA028A23.genome.CDS.1664,AAA028E20.genome.CDS.1397,AAA028G02.genome.CDS.2566,,,AAA044D11.genome.CDS.1431,,AAA044O16.genome.CDS.1710,AAA278I18.genome.CDS.1971,AAA278O22.genome.CDS.1896,,BIN_10.genome.CDS.1361,,,,,,,,,,,,,TBhypo3463.genome.CDS.2445,,,,,
group00820,,,AAA024D14.genome.CDS.1341,AAA027J17.genome.CDS.1650,AAA027L06.genome.CDS.1728,,AAA028A23.genome.CDS.1064,AAA028E20.genome.CDS.1391,AAA028G02.genome.CDS.2560,,,AAA044D11.genome.CDS.1437,AAA044N04.genome.CDS.1284,AAA044O16.genome.CDS.1716,,AAA278O22.genome.CDS.1890,,BIN_10.genome.CDS.1369,,,,,,,,,TBepi3207.genome.CDS.2500,,,,TBhypo3463.genome.CDS.1327,,,,,bin_7_acI-B2.genome.CDS.2646
group00821,,,,AAA027J17.genome.CDS.1123,AAA027L06.genome.CDS.2202,,,AAA028E20.genome.CDS.1678;AAA028E20.genome.CDS.782,AAA028G02.genome.CDS.1714,AAA028I14.genome.CDS.829,,AAA044D11.genome.CDS.1710,,,AAA278I18.genome.CDS.1892;AAA278I18.genome.CDS.1912,AAA278O22.genome.CDS.1183,,,MEint1363.genome.CDS.1462,MEint2297.genome.CDS.1794,,MEint3864.genome.CDS.1409,,,TBepi2057.genome.CDS.1806,,TBepi3207.genome.CDS.1710,TBepi3475.genome.CDS.1351,TBepi4208.genome.CDS.1093,TBhypo2152.genome.CDS.964,TBhypo3463.genome.CDS.1431,TBhypo3838.genome.CDS.787,TBhypo680.genome.CDS.1890;TBhypo680.genome.CDS.1889,,,bin_7_acI-B2.genome.CDS.2137;bin_7_acI-B2.genome.CDS.2749
group00822,AAA023D18.genome.CDS.1162;AAA023D18.genome.CDS.1514,AAA023J06.genome.CDS.1457,AAA024D14.genome.CDS.1544,AAA027J17.genome.CDS.1001,AAA027L06.genome.CDS.1203,,AAA028A23.genome.CDS.1012,,AAA028G02.genome.CDS.2497,,AAA041L13.genome.CDS.1629,AAA044D11.genome.CDS.1192,AAA044N04.genome.CDS.2148;AAA044N04.genome.CDS.2571,AAA044O16.genome.CDS.1624,AAA278I18.genome.CDS.1813,,AB141P03.genome.CDS.1119,BIN_10.genome.CDS.1630,MEint1363.genome.CDS.1006;MEint1363.genome.CDS.997,MEint2297.genome.CDS.2212,MEint283.genome.CDS.1172,,,,,TBepi2754.genome.CDS.1951,TBepi3207.genome.CDS.2332,,TBepi4208.genome.CDS.1790,,TBhypo3463.genome.CDS.1889,,TBhypo680.genome.CDS.2398,acIB-AMD-6.genome.CDS.583,acIB-AMD-7.genome.CDS.1489;acIB-AMD-7.genome.CDS.1289,
group00823,AAA023D18.genome.CDS.1062,,,,AAA027L06.genome.CDS.1540,,AAA028A23.genome.CDS.1392,,,AAA028I14.genome.CDS.1129,AAA041L13.genome.CDS.1585,AAA044D11.genome.CDS.1552,AAA044N04.genome.CDS.2499,AAA044O16.genome.CDS.1439,AAA278I18.genome.CDS.1773,,,BIN_10.genome.CDS.1125,MEint1363.genome.CDS.1346,MEint2297.genome.CDS.2092,MEint283.genome.CDS.1405,MEint3864.genome.CDS.1596,MEint4252.genome.CDS.1192,MEint885.genome.CDS.907;MEint885.genome.CDS.1384,TBepi2057.genome.CDS.1264,TBepi2754.genome.CDS.1682,TBepi3207.genome.CDS.1481,TBepi3475.genome.CDS.1094,TBepi4208.genome.CDS.1829,,TBhypo3463.genome.CDS.2347,,TBhypo680.genome.CDS.1416,acIB-AMD-6.genome.CDS.623,acIB-AMD-7.genome.CDS.1594;acIB-AMD-7.genome.CDS.1959,bin_7_acI-B2.genome.CDS.3657
group00824,,,AAA024D14.genome.CDS.1342,AAA027J17.genome.CDS.1649,AAA027L06.genome.CDS.1729,,AAA028A23.genome.CDS.1063,AAA028E20.genome.CDS.1390,AAA028G02.genome.CDS.2559,,,AAA044D11.genome.CDS.1438,AAA044N04.genome.CDS.1285,AAA044O16.genome.CDS.1690,,AAA278O22.genome.CDS.1889,,BIN_10.genome.CDS.1370,,,,,,,,,TBepi3207.genome.CDS.2501,TBepi3475.genome.CDS.1930,,,TBhypo3463.genome.CDS.1326,,,,,bin_7_acI-B2.genome.CDS.2647
group00825,AAA023D18.genome.CDS.1152;AAA023D18.genome.CDS.1505,AAA023J06.genome.CDS.1423,AAA024D14.genome.CDS.1606;AAA024D14.genome.CDS.1597,AAA027J17.genome.CDS.1011,AAA027L06.genome.CDS.1213,AAA027M14.genome.CDS.1024,AAA028A23.genome.CDS.1002,,AAA028G02.genome.CDS.2482,,AAA041L13.genome.CDS.1614,AAA044D11.genome.CDS.1180,AAA044N04.genome.CDS.2163,,AAA278I18.genome.CDS.1823,,AB141P03.genome.CDS.1129,BIN_10.genome.CDS.1409,MEint1363.genome.CDS.983,MEint2297.genome.CDS.2298,MEint283.genome.CDS.1182,,MEint4252.genome.CDS.1386,,,TBepi2754.genome.CDS.1603,,TBepi3475.genome.CDS.974,TBepi4208.genome.CDS.997,TBhypo2152.genome.CDS.1150,TBhypo3463.genome.CDS.1501,,TBhypo680.genome.CDS.1340,acIB-AMD-6.genome.CDS.572,acIB-AMD-7.genome.CDS.1624,bin_7_acI-B2.genome.CDS.2795
group00826,,AAA023J06.genome.CDS.1117,,,,AAA027M14.genome.CDS.850,,,AAA028G02.genome.CDS.1978,,AAA041L13.genome.CDS.2712,AAA044D11.genome.CDS.1824,AAA044N04.genome.CDS.1862,AAA044O16.genome.CDS.1748,,AAA278O22.genome.CDS.1408,,BIN_10.genome.CDS.1252,,MEint2297.genome.CDS.2421,MEint283.genome.CDS.1227,MEint3864.genome.CDS.1186,MEint4252.genome.CDS.2266;MEint4252.genome.CDS.2033,,TBepi2057.genome.CDS.1961,,TBepi3207.genome.CDS.1669,TBepi3475.genome.CDS.1683,TBepi4208.genome.CDS.1585,,TBhypo3463.genome.CDS.1609,TBhypo3838.genome.CDS.748,,,,
group00827,,,,,AAA027L06.genome.CDS.1868,,,AAA028E20.genome.CDS.1522,AAA028G02.genome.CDS.1403,AAA028I14.genome.CDS.907,AAA041L13.genome.CDS.2237,AAA044D11.genome.CDS.1719,AAA044N04.genome.CDS.2452,AAA044O16.genome.CDS.2356,AAA278I18.genome.CDS.1294,AAA278O22.genome.CDS.1738,AB141P03.genome.CDS.1264,BIN_10.genome.CDS.1553,,,MEint283.genome.CDS.1480,MEint3864.genome.CDS.1005,MEint4252.genome.CDS.2066,MEint885.genome.CDS.270,TBepi2057.genome.CDS.1761,TBepi2754.genome.CDS.2102,TBepi3207.genome.CDS.1305,TBepi3475.genome.CDS.1249,TBepi4208.genome.CDS.1103,TBhypo2152.genome.CDS.1429,TBhypo3463.genome.CDS.1619,TBhypo3838.genome.CDS.899,TBhypo680.genome.CDS.1713,acIB-AMD-6.genome.CDS.1044,acIB-AMD-7.genome.CDS.1780,bin_7_acI-B2.genome.CDS.2630
group00828,,,,AAA027J17.genome.CDS.1030,AAA027L06.genome.CDS.1234,AAA027M14.genome.CDS.1048,,,,,,,AAA044N04.genome.CDS.2187,AAA044O16.genome.CDS.2480,AAA278I18.genome.CDS.1472,,AB141P03.genome.CDS.1309,BIN_10.genome.CDS.1432,MEint1363.genome.CDS.954,MEint2297.genome.CDS.1909;MEint2297.genome.CDS.2681,MEint283.genome.CDS.1089,,MEint4252.genome.CDS.1409,MEint885.genome.CDS.1637;MEint885.genome.CDS.1104,TBepi2057.genome.CDS.1936,TBepi2754.genome.CDS.1585,TBepi3207.genome.CDS.1838,TBepi3475.genome.CDS.1206,TBepi4208.genome.CDS.1019,TBhypo2152.genome.CDS.1713,TBhypo3463.genome.CDS.1809,,TBhypo680.genome.CDS.1358,acIB-AMD-6.genome.CDS.551,acIB-AMD-7.genome.CDS.1676,bin_7_acI-B2.genome.CDS.2705
group00829,,AAA023J06.genome.CDS.1374,,,,,,AAA028E20.genome.CDS.1603,,,AAA041L13.genome.CDS.2390,,AAA044N04.genome.CDS.1856,,,AAA278O22.genome.CDS.1747,,,MEint1363.genome.CDS.1238,,,,,,TBepi2057.genome.CDS.1138,TBepi2754.genome.CDS.2697;TBepi2754.genome.CDS.2703,TBepi3207.genome.CDS.2202;TBepi3207.genome.CDS.1957,,,,TBhypo3463.genome.CDS.2071;TBhypo3463.genome.CDS.2166,,TBhypo680.genome.CDS.1900;TBhypo680.genome.CDS.1859;TBhypo680.genome.CDS.2558,,,
group00830,AAA023D18.genome.CDS.1045,AAA023J06.genome.CDS.1034,,,AAA027L06.genome.CDS.1520,,,,AAA028G02.genome.CDS.2358,AAA028I14.genome.CDS.1146,AAA041L13.genome.CDS.2798,AAA044D11.genome.CDS.1953,AAA044N04.genome.CDS.2516,AAA044O16.genome.CDS.1455,,,,BIN_10.genome.CDS.1611,MEint1363.genome.CDS.1329,MEint2297.genome.CDS.2108,MEint283.genome.CDS.1317,,MEint4252.genome.CDS.1208,,TBepi2057.genome.CDS.1754,TBepi2754.genome.CDS.1699,TBepi3207.genome.CDS.1464,TBepi3475.genome.CDS.942,TBepi4208.genome.CDS.1933,TBhypo2152.genome.CDS.1045,TBhypo3463.genome.CDS.2364,,,acIB-AMD-6.genome.CDS.606,acIB-AMD-7.genome.CDS.1643;acIB-AMD-7.genome.CDS.1336,bin_7_acI-B2.genome.CDS.3675
group00831,,,,,AAA027L06.genome.CDS.1298,AAA027M14.genome.CDS.1459,AAA028A23.genome.CDS.890,,AAA028G02.genome.CDS.2295,AAA028I14.genome.CDS.1559,AAA041L13.genome.CDS.1813,AAA044D11.genome.CDS.1932,AAA044N04.genome.CDS.1787,AAA044O16.genome.CDS.1516,AAA278I18.genome.CDS.1103,AAA278O22.genome.CDS.2028,AB141P03.genome.CDS.910,BIN_10.genome.CDS.2151,MEint1363.genome.CDS.1732,MEint2297.genome.CDS.1365,MEint283.genome.CDS.899,MEint3864.genome.CDS.1475,,MEint885.genome.CDS.1578,,TBepi2754.genome.CDS.2521,,TBepi3475.genome.CDS.1819,,TBhypo2152.genome.CDS.1365,,,TBhypo680.genome.CDS.2469,acIB-AMD-6.genome.CDS.1015;acIB-AMD-6.genome.CDS.826,acIB-AMD-7.genome.CDS.1063,
group00832,AAA023D18.genome.CDS.1137,AAA023J06.genome.CDS.1210,AAA024D14.genome.CDS.1140,AAA027J17.genome.CDS.1910,AAA027L06.genome.CDS.1433,AAA027M14.genome.CDS.1106,AAA028A23.genome.CDS.1348,,AAA028G02.genome.CDS.2634,,AAA041L13.genome.CDS.1491,AAA044D11.genome.CDS.1809,AAA044N04.genome.CDS.2363,AAA044O16.genome.CDS.1598,AAA278I18.genome.CDS.1798,AAA278O22.genome.CDS.1585,,BIN_10.genome.CDS.1573,MEint1363.genome.CDS.1064,MEint2297.genome.CDS.2488,,MEint3864.genome.CDS.1075,MEint4252.genome.CDS.1564,MEint885.genome.CDS.1453,TBepi2057.genome.CDS.1843,,,TBepi3475.genome.CDS.1583,TBepi4208.genome.CDS.1700,,,TBhypo3838.genome.CDS.738,,acIB-AMD-6.genome.CDS.1056,,
